game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Domantas Sabonis,Al Horford,,,,,,,Al Horford,,Marcus Smart,,,,jump ball,,,,,,Jump Ball Horford vs. Sabonis: Tip to Smart
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,2,00:11:37,00:00:23,00:00:23,8,BOS,shot,,,,,,,,,,Jayson Tatum,2,,,made,,Turnaround Fadeaway ,12,-106,62,14.4,82.8,Tatum 12' Turnaround Fadeaway (2 PTS)
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,2,00:11:18,00:00:42,00:00:19,9,IND,turnover,,,,,,,,,,Darren Collison,,,bad pass ,,Marcus Smart,bad pass ,,,,,,"Collison Bad Pass Turnover (P1.T1), Smart STEAL (1 STL)"
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:11:13,00:00:47,00:00:05,11,BOS,shot,Al Horford,,,,,,,,,Jayson Tatum,2,,,made,,Running Finger Roll Layup,1,6,-5,25.6,89.5,Tatum 1' Running Finger Roll Layup (4 PTS) (Horford 1 AST)
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:10:56,00:01:04,00:00:17,13,IND,miss,,,,,,,,,,Domantas Sabonis,0,,,missed,,Jump Shot,22,-109,193,35.9,24.3,MISS Sabonis 22' Jump Shot
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:10:54,00:01:06,00:00:02,14,BOS,rebound,,,,,,,,,,Marcus Morris,,,,,,rebound defensive,,,,,,Morris REBOUND (Off:0 Def:1)
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:10:43,00:01:17,00:00:11,15,BOS,miss,,,,,,,,,,Marcus Morris,0,,,missed,,Fadeaway Jumper,13,-133,-4,11.7,89.4,MISS Morris 13' Fadeaway Jumper
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:10:41,00:01:19,00:00:02,16,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound defensive,,,,,,Sabonis REBOUND (Off:0 Def:1)
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,3,4,00:10:33,00:01:27,00:00:08,17,IND,shot,Domantas Sabonis,,,,,,,,,Victor Oladipo,3,,,made,,Pullup Jump Shot,26,39,261,21.1,31.1,Oladipo 26' 3PT Pullup Jump Shot (3 PTS) (Sabonis 1 AST)
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,3,6,00:10:18,00:01:42,00:00:15,19,BOS,shot,,,,,,,,,,Kyrie Irving,2,,,made,,Driving Finger Roll Layup,2,19,15,26.9,87.5,Irving 2' Driving Finger Roll Layup (2 PTS)
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,6,00:10:07,00:01:53,00:00:11,20,IND,shot,Domantas Sabonis,,,,,,,,,Bojan Bogdanovic,3,,,made,,Jump Shot,24,235,64,1.5,11.4,Bogdanovic 24' 3PT Jump Shot (3 PTS) (Sabonis 2 AST)
"=""0021800607""",2018-2019 Regular Season,2019-01-09,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,8,00:09:51,00:02:09,00:00:16,22,BOS,shot,Al Horford,,,,,,,,,Jayson Tatum,2,,,made,,Driving Finger Roll Layup,2,-16,13,23.4,87.7,Tatum 2' Driving Finger Roll Layup (6 PTS) (Horford 2 AST)
