game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Joel Embiid,Thomas Bryant,,,,,,,Thomas Bryant,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Bryant vs. Embiid: Tip to Simmons
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,2,0,00:11:47,00:00:13,00:00:13,8,PHI,shot,Joel Embiid,,,,,,,,,Wilson Chandler,2,,,made,,Alley Oop Layup,2,7,17,24.3,6.7,Chandler 2' Alley Oop Layup (2 PTS) (Embiid 1 AST)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,2,0,00:11:30,00:00:30,00:00:17,10,WAS,miss,,,,,,,,,,Trevor Ariza,0,,,missed,,Running Jump Shot,1,6,-4,25.6,89.4,MISS Ariza 1' Running Jump Shot
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,2,0,00:11:27,00:00:33,00:00:03,11,WAS,rebound,,,,,,,,,,Trevor Ariza,,,,,,rebound offensive,,,,,,Ariza REBOUND (Off:1 Def:0)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,2,2,00:11:27,00:00:33,00:00:00,12,WAS,shot,,,,,,,,,,Trevor Ariza,2,,,made,,unknown,1,0,-6,25.0,89.6,Ariza 1' Tip Layup Shot (2 PTS)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,2,00:11:19,00:00:41,00:00:08,13,PHI,shot,Furkan Korkmaz,,,,,,,,,Joel Embiid,2,,,made,,Driving Hook Shot,2,-19,6,26.9,5.6,Embiid 2' Driving Hook Shot (2 PTS) (Korkmaz 1 AST)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:11:05,00:00:55,00:00:14,15,WAS,shot,,,,,,,,,,Bradley Beal,3,,,made,,Step Back Jump Shot,26,11,258,26.1,63.2,Beal 26' 3PT Step Back Jump Shot (3 PTS)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:10:49,00:01:11,00:00:16,16,PHI,miss,,,,,,,,,,Ben Simmons,0,,,missed,,Turnaround Fadeaway ,16,157,41,9.3,9.1,MISS Simmons 16' Turnaround Fadeaway Shot
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:10:45,00:01:15,00:00:04,17,WAS,rebound,,,,,,,,,,Trevor Ariza,,,,,,rebound defensive,,,,,,Ariza REBOUND (Off:1 Def:1)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:10:33,00:01:27,00:00:12,19,WAS,miss,,,,,,,,,,Tomas Satoransky,0,,,missed,,Pullup Jump Shot,13,49,115,29.9,77.5,MISS Satoransky 13' Pullup Jump Shot
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:10:29,00:01:31,00:00:04,20,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:10:18,00:01:42,00:00:11,21,PHI,miss,,,,,,,,,,Furkan Korkmaz,0,,,missed,,Jump Shot,27,46,263,20.4,31.3,MISS Korkmaz 27' 3PT Jump Shot
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:10:15,00:01:45,00:00:03,22,WAS,rebound,,,,,,,,,,Jeff Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:10:10,00:01:50,00:00:05,23,WAS,turnover,,,,,,,,,,Bradley Beal,,,bad pass ,,Furkan Korkmaz,bad pass ,,,,,,"Korkmaz STEAL (1 STL), Beal Bad Pass Turnover (P1.T1)"
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:10:03,00:01:57,00:00:07,25,PHI,turnover,,,,,,,,,,Ben Simmons,,,,,,unknown,,,,,,Simmons Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:09:50,00:02:10,00:00:13,26,WAS,turnover,,,,,,,,,,Tomas Satoransky,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Satoransky Out of Bounds Lost Ball Turnover (P1.T2)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:09:38,00:02:22,00:00:12,27,WAS,foul,,,,,,,,Joel Embiid,,Thomas Bryant,,,p.foul,,,p.foul,,,,,,Bryant P.FOUL (P1.T1) (D.Richardson)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,4,5,00:09:25,00:02:35,00:00:13,29,WAS,foul,,,,,,,,Joel Embiid,,Trevor Ariza,,,s.foul,,,s.foul,,,,,,Ariza S.FOUL (P1.T2) (D.Richardson)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,5,5,00:09:25,00:02:35,00:00:00,31,PHI,free throw,,,,,,,1,,2,Joel Embiid,1,,,made,,Free Throw 1 of 2,,,,,,Embiid Free Throw 1 of 2 (3 PTS)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,6,5,00:09:25,00:02:35,00:00:00,32,PHI,free throw,,,,,,,2,,2,Joel Embiid,1,,,made,,Free Throw 2 of 2,,,,,,Embiid Free Throw 2 of 2 (4 PTS)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,6,8,00:09:09,00:02:51,00:00:16,34,WAS,shot,Trevor Ariza,,,,,,,,,Bradley Beal,3,,,made,,Jump Shot,25,-36,244,21.4,64.6,Beal 25' 3PT Jump Shot (6 PTS) (Ariza 1 AST)
"=""0021800608""",2018-2019 Regular Season,2019-01-09,Jimmy Butler,Wilson Chandler,Joel Embiid,Furkan Korkmaz,Ben Simmons,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,8,8,00:08:52,00:03:08,00:00:17,36,PHI,shot,Ben Simmons,,,,,,,,,Joel Embiid,2,,,made,,Layup,2,7,22,24.3,7.2,Embiid 2' Layup (6 PTS) (Simmons 1 AST)
