game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,0,0,0:12:00,0:00:00,0:00:00,4,HOU,jump ball,,Brook Lopez,Clint Capela,,,,,,,Clint Capela,,PJ Tucker,,,,jump ball,,,,,,Jump Ball Capela vs. Lopez: Tip to Tucker
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,0,0,0:11:41,0:00:19,0:00:19,7,HOU,miss,,,,,,,,,,Clint Capela,0,,,missed,,Hook Shot,8,-15,83,23.5,80.7,MISS Capela 8' Hook Shot
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,0,0,0:11:40,0:00:20,0:00:01,8,HOU,rebound,,,,,,,,,,PJ Tucker,,,,,,rebound offensive,,,,,,Tucker REBOUND (Off:1 Def:0)
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,0,0,0:11:40,0:00:20,0:00:00,9,HOU,miss,,,,,,,,,,PJ Tucker,0,,,missed,,unknown,1,0,-6,25,89.6,MISS Tucker 1' Tip Layup Shot
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,0,0,0:11:39,0:00:21,0:00:01,10,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:1)
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,0,0,0:11:22,0:00:38,0:00:17,11,HOU,foul,,,,,,,,Brook Lopez,,PJ Tucker,,,p.foul,,,p.foul,,,,,,Tucker P.FOUL (P1.T1) (T.Washington)
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,2,0,0:11:13,0:00:47,0:00:09,13,MIL,shot,Eric Bledsoe,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Layup,2,-7,16,25.7,6.6,Antetokounmpo 2' Layup (2 PTS) (Bledsoe 1 AST)
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,2,2,0:10:58,0:01:02,0:00:15,15,HOU,shot,Austin Rivers,,,,,,,,,Clint Capela,2,,,made,,Hook Shot,9,25,90,27.5,80,Capela 9' Hook Shot (2 PTS) (Rivers 1 AST)
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,4,2,0:10:46,0:01:14,0:00:12,17,MIL,shot,Malcolm Brogdon,,,,,,,,,Eric Bledsoe,2,,,made,,unknown,2,-13,11,26.3,6.1,Bledsoe 2' Driving Layup (2 PTS) (Brogdon 1 AST)
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,4,2,0:10:24,0:01:36,0:00:22,19,HOU,miss,,,,,,,,,,Danuel House Jr.,0,,,missed,,Driving Hook Shot,6,29,52,27.9,83.8,MISS House Jr. 6' Driving Hook Shot
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,4,2,0:10:23,0:01:37,0:00:01,20,MIL,rebound,,,,,,,,,,Brook Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,4,2,0:10:08,0:01:52,0:00:15,21,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,Jump Shot,26,-182,184,43.2,23.4,MISS Antetokounmpo 26' 3PT Jump Shot
0021800610,2018-2019 Regular Season,1/9/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,4,2,0:10:06,0:01:54,0:00:02,22,HOU,rebound,,,,,,,,,,James Harden,,,,,,rebound defensive,,,,,,Harden REBOUND (Off:0 Def:1)
