game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Wendell Carter Jr.,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,CJ McCollum,,,,jump ball,,,,,,Jump Ball Nurkic vs. Carter Jr.: Tip to McCollum
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:39,00:00:21,00:00:21,7,POR,shot,,,,,,,,,,CJ McCollum,2,,,made,,unknown,6,57,1,30.7,88.9,McCollum 6' Driving Floating Jump Shot (2 PTS)
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:21,00:00:39,00:00:18,8,POR,foul,,,,,,,,Lauri Markkanen,,CJ McCollum,,,p.foul,,,p.foul,,,,,,McCollum P.FOUL (P1.T1) (J.Goldenberg)
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:14,00:00:46,00:00:07,10,CHI,miss,,,,,,,,,,Zach LaVine,0,,,missed,,unknown,1,8,-1,24.2,4.9,MISS LaVine 1' Driving Layup
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:11,00:00:49,00:00:03,11,CHI,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound offensive,,,,,,Carter Jr. REBOUND (Off:1 Def:0)
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:11:11,00:00:49,00:00:00,12,CHI,shot,,,,,,,,,,Wendell Carter Jr.,2,,,made,,unknown,1,0,-6,25.0,4.4,Carter Jr. 1' Tip Layup Shot (2 PTS)
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,4,00:11:02,00:00:58,00:00:09,13,POR,shot,Damian Lillard,,,,,,,,,Jusuf Nurkic,2,,,made,,unknown,3,22,24,27.2,86.6,Nurkic 3' Cutting Layup Shot (2 PTS) (Lillard 1 AST)
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:50,00:01:10,00:00:12,15,CHI,shot,Lauri Markkanen,,,,,,,,,Kris Dunn,2,,,made,,Pullup Jump Shot,21,-137,164,38.7,21.4,Dunn 21' Pullup Jump Shot (2 PTS) (Markkanen 1 AST)
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:34,00:01:26,00:00:16,16,POR,miss,,,,,,,,,,Jake Layman,0,,,missed,,Jump Shot,12,-36,116,21.4,77.4,MISS Layman 12' Jump Shot
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:32,00:01:28,00:00:02,17,CHI,rebound,,,,,,,,,,Kris Dunn,,,,,,rebound defensive,,,,,,Dunn REBOUND (Off:0 Def:1)
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:28,00:01:32,00:00:04,18,CHI,miss,,,,,,,,,,Zach LaVine,0,,,missed,,unknown,2,-16,5,26.6,5.5,MISS LaVine 2' Driving Layup
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:28,00:01:32,00:00:00,20,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:19,00:01:41,00:00:09,21,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,Jump Shot,28,0,281,25.0,60.9,MISS McCollum 28' 3PT Jump Shot
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:14,00:01:46,00:00:05,22,CHI,rebound,,,,,,,,,,Chandler Hutchison,,,,,,rebound defensive,,,,,,Hutchison REBOUND (Off:0 Def:1)
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:08,00:01:52,00:00:06,23,CHI,miss,,,,,,,,,,Kris Dunn,0,,,missed,,Pullup Jump Shot,27,86,251,16.4,30.1,MISS Dunn 27' 3PT Pullup Jump Shot
"=""0021800615""",2018-2019 Regular Season,2019-01-09,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:04,00:01:56,00:00:04,24,POR,rebound,,,,,,,,,,Damian Lillard,,,,,,rebound defensive,,,,,,Lillard REBOUND (Off:0 Def:1)
