game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800622""",2018-2019 Regular Season,2019-01-11,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800622""",2018-2019 Regular Season,2019-01-11,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Brook Lopez,Thomas Bryant,,,,,,,Thomas Bryant,,Ersan Ilyasova,,,,jump ball,,,,,,Jump Ball Bryant vs. Lopez: Tip to Ilyasova
"=""0021800622""",2018-2019 Regular Season,2019-01-11,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,3,0,00:11:36,00:00:24,00:00:24,7,MIL,shot,Malcolm Brogdon,,,,,,,,,Brook Lopez,3,,,made,,Jump Shot,32,-203,241,45.3,29.1,Lopez 32' 3PT Jump Shot (3 PTS) (Brogdon 1 AST)
"=""0021800622""",2018-2019 Regular Season,2019-01-11,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,3,2,00:11:18,00:00:42,00:00:18,9,WAS,shot,Trevor Ariza,,,,,,,,,Bradley Beal,2,,,made,,Floating Jump Shot,7,49,53,29.9,83.7,Beal 7' Floating Jump Shot (2 PTS) (Ariza 1 AST)
"=""0021800622""",2018-2019 Regular Season,2019-01-11,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,3,2,00:11:09,00:00:51,00:00:09,11,MIL,miss,,,,,,,,,,Malcolm Brogdon,0,,,missed,,Floating Jump Shot,8,-2,79,25.2,12.9,MISS Brogdon 8' Floating Jump Shot
"=""0021800622""",2018-2019 Regular Season,2019-01-11,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,3,2,00:11:08,00:00:52,00:00:01,12,WAS,rebound,,,,,,,,,,Tomas Satoransky,,,,,,rebound defensive,,,,,,Satoransky REBOUND (Off:0 Def:1)
"=""0021800622""",2018-2019 Regular Season,2019-01-11,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,3,4,00:11:01,00:00:59,00:00:07,13,WAS,shot,,,,,,,,,,Tomas Satoransky,2,,,made,,Pullup Jump Shot,16,81,136,33.1,75.4,Satoransky 16' Pullup Jump Shot (2 PTS)
"=""0021800622""",2018-2019 Regular Season,2019-01-11,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,5,4,00:10:45,00:01:15,00:00:16,14,MIL,shot,Eric Bledsoe,,,,,,,,,Ersan Ilyasova,2,,,made,,unknown,2,-16,5,26.6,5.5,Ilyasova 2' Cutting Layup Shot (2 PTS) (Bledsoe 1 AST)
"=""0021800622""",2018-2019 Regular Season,2019-01-11,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,5,6,00:10:24,00:01:36,00:00:21,16,WAS,shot,,,,,,,,,,Jeff Green,2,,,made,,Pullup Jump Shot,19,175,80,42.5,81.0,Green 19' Pullup Jump Shot (2 PTS)
"=""0021800622""",2018-2019 Regular Season,2019-01-11,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,5,6,00:10:09,00:01:51,00:00:15,17,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,unknown,5,-30,38,28.0,8.8,MISS Bledsoe 5' Driving Layup
