game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800625""",2018-2019 Regular Season,2019-01-11,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800625""",2018-2019 Regular Season,2019-01-11,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,0,0,00:12:00,00:00:00,00:00:00,4,HOU,jump ball,,Tristan Thompson,Clint Capela,,,,,,,Clint Capela,,PJ Tucker,,,,jump ball,,,,,,Jump Ball Capela vs. Thompson: Tip to Tucker
"=""0021800625""",2018-2019 Regular Season,2019-01-11,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,0,0,00:11:47,00:00:13,00:00:13,7,HOU,turnover,,,,,,,,,,James Harden,,,bad pass ,,Collin Sexton,bad pass ,,,,,,"Sexton STEAL (1 STL), Harden Bad Pass Turnover (P1.T1)"
"=""0021800625""",2018-2019 Regular Season,2019-01-11,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,2,0,00:11:33,00:00:27,00:00:14,9,CLE,shot,Collin Sexton,,,,,,,,,Tristan Thompson,2,,,made,,unknown,7,52,52,19.8,10.2,Thompson 7' Driving Floating Jump Shot (2 PTS) (Sexton 1 AST)
"=""0021800625""",2018-2019 Regular Season,2019-01-11,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,2,0,00:11:11,00:00:49,00:00:22,13,HOU,miss,,,,,,,,,,Austin Rivers,0,,,missed,,Jump Shot,23,-230,36,2.0,85.4,MISS Rivers  3PT Jump Shot
"=""0021800625""",2018-2019 Regular Season,2019-01-11,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,2,0,00:11:09,00:00:51,00:00:02,14,CLE,rebound,,,,,,,,,,Alec Burks,,,,,,rebound defensive,,,,,,Burks REBOUND (Off:0 Def:1)
"=""0021800625""",2018-2019 Regular Season,2019-01-11,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,5,0,00:10:51,00:01:09,00:00:18,15,CLE,shot,,,,,,,,,,Alec Burks,3,,,made,,Jump Shot,26,-224,128,47.4,17.8,Burks 26' 3PT Jump Shot (3 PTS)
"=""0021800625""",2018-2019 Regular Season,2019-01-11,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,5,0,00:10:34,00:01:26,00:00:17,16,HOU,miss,,,,,,,,,,James Harden,0,,,missed,,unknown,8,-63,51,18.7,83.9,MISS Harden 8' Driving Floating Jump Shot
"=""0021800625""",2018-2019 Regular Season,2019-01-11,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,5,0,00:10:32,00:01:28,00:00:02,17,HOU,rebound,,,,,,,,,,Clint Capela,,,,,,rebound offensive,,,,,,Capela REBOUND (Off:1 Def:0)
"=""0021800625""",2018-2019 Regular Season,2019-01-11,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,1,5,0,00:10:29,00:01:31,00:00:03,18,HOU,miss,,,,,,,,,,Danuel House Jr.,0,,,missed,,Jump Shot,28,100,260,35.0,63.0,MISS House Jr. 28' 3PT Jump Shot
