game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800626""",2018-2019 Regular Season,2019-01-11,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800626""",2018-2019 Regular Season,2019-01-11,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,DeAndre Jordan,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Taj Gibson,,,,jump ball,,,,,,Jump Ball Towns vs. Jordan: Tip to Gibson
"=""0021800626""",2018-2019 Regular Season,2019-01-11,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:52,00:00:08,00:00:08,7,MIN,turnover,,,,,,,,,,Jeff Teague,,,,,,unknown,,,,,,Teague Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800626""",2018-2019 Regular Season,2019-01-11,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:35,00:00:25,00:00:17,8,DAL,miss,,,,,,,,,,Luka Doncic,0,,,missed,,Jump Shot,25,43,246,20.7,29.6,MISS Doncic 25' 3PT Jump Shot
"=""0021800626""",2018-2019 Regular Season,2019-01-11,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:32,00:00:28,00:00:03,9,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TIMBERWOLVES Rebound
"=""0021800626""",2018-2019 Regular Season,2019-01-11,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:13,00:00:47,00:00:19,11,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,unknown,4,32,24,28.2,86.6,MISS Wiggins 4' Driving Layup
"=""0021800626""",2018-2019 Regular Season,2019-01-11,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:10,00:00:50,00:00:03,12,MIN,rebound,,,,,,,,,,Andrew Wiggins,,,,,,rebound offensive,,,,,,Wiggins REBOUND (Off:1 Def:0)
"=""0021800626""",2018-2019 Regular Season,2019-01-11,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:08,00:00:52,00:00:02,13,MIN,miss,,,,,,,,,,Jeff Teague,0,,,missed,,Jump Shot,28,71,267,32.1,62.3,MISS Teague 28' 3PT Jump Shot
"=""0021800626""",2018-2019 Regular Season,2019-01-11,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:08,00:00:52,00:00:00,14,MIN,rebound,,,,,,,,,,Taj Gibson,,,,,,rebound offensive,,,,,,Gibson REBOUND (Off:1 Def:0)
"=""0021800626""",2018-2019 Regular Season,2019-01-11,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:04,00:00:56,00:00:04,15,MIN,miss,,,,,,,,,,Taj Gibson,0,,,missed,,Layup,2,1,21,25.1,86.9,MISS Gibson 2' Layup
