game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800627,2018-2019 Regular Season,1/11/2019,Brandon Ingram,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800627,2018-2019 Regular Season,1/11/2019,Brandon Ingram,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,0:12:00,0:00:00,0:00:00,4,LAL,jump ball,,JaVale McGee,Rudy Gobert,,,,,,,Rudy Gobert,,Brandon Ingram,,,,jump ball,,,,,,Jump Ball Gobert vs. McGee: Tip to Ingram
0021800627,2018-2019 Regular Season,1/11/2019,Brandon Ingram,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,0:11:41,0:00:19,0:00:19,8,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Jump Shot,23,232,1,1.8,5.1,MISS Kuzma  3PT Jump Shot
0021800627,2018-2019 Regular Season,1/11/2019,Brandon Ingram,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,0:11:37,0:00:23,0:00:04,9,UTA,rebound,,,,,,,,,,Joe Ingles,,,,,,rebound defensive,,,,,,Ingles REBOUND (Off:0 Def:1)
0021800627,2018-2019 Regular Season,1/11/2019,Brandon Ingram,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,3,0:11:19,0:00:41,0:00:18,10,UTA,shot,Donovan Mitchell,,,,,,,,,Royce O'Neale,3,,,made,,Jump Shot,25,-190,162,6,72.8,O'Neale 25' 3PT Jump Shot (3 PTS) (Mitchell 1 AST)
0021800627,2018-2019 Regular Season,1/11/2019,Brandon Ingram,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,3,0:11:10,0:00:50,0:00:09,12,LAL,shot,,,,,,,,,,Josh Hart,2,,,made,,unknown,11,29,104,22.1,15.4,Hart 11' Driving Floating Jump Shot (2 PTS)
0021800627,2018-2019 Regular Season,1/11/2019,Brandon Ingram,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,3,0:10:56,0:01:04,0:00:14,13,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Jump Bank Shot,10,67,68,31.7,82.2,MISS Mitchell 10' Jump Bank Shot
0021800627,2018-2019 Regular Season,1/11/2019,Brandon Ingram,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,3,0:10:53,0:01:07,0:00:03,14,LAL,rebound,,,,,,,,,,Brandon Ingram,,,,,,rebound defensive,,,,,,Ingram REBOUND (Off:0 Def:1)
0021800627,2018-2019 Regular Season,1/11/2019,Brandon Ingram,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,3,0:10:52,0:01:08,0:00:01,15,UTA,foul,,,,,,,,Brandon Ingram,,Joe Ingles,,,s.foul,,,s.foul,,,,,,Ingles S.FOUL (P1.T1) (K.Cutler)
0021800627,2018-2019 Regular Season,1/11/2019,Brandon Ingram,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,3,3,0:10:52,0:01:08,0:00:00,17,LAL,free throw,,,,,,,1,,2,Brandon Ingram,1,,,made,,Free Throw 1 of 2,,,,,,Ingram Free Throw 1 of 2 (1 PTS)
