game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Bismack Biyombo,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Al-Farouq Aminu,,,,jump ball,,,,,,Jump Ball Nurkic vs. Biyombo: Tip to Aminu
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:43,00:00:17,00:00:17,7,POR,shot,Jusuf Nurkic,,,,,,,,,Damian Lillard,2,,,made,,Pullup Jump Shot,19,130,139,38.0,75.1,Lillard 19' Pullup Jump Shot (2 PTS) (Nurkic 1 AST)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:13,00:00:47,00:00:30,9,CHA,miss,,,,,,,,,,Nicolas Batum,0,,,missed,,Pullup Jump Shot,25,-52,245,30.2,29.5,MISS Batum 25' 3PT Pullup Jump Shot
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:11,00:00:49,00:00:02,10,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:07,00:00:53,00:00:04,11,CHA,foul,,,,,,,,Damian Lillard,,Nicolas Batum,,,s.foul,,,s.foul,,,,,,Batum S.FOUL (P1.T1) (R.Mott)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,3,00:11:07,00:00:53,00:00:00,13,POR,free throw,,,,,,,1,,2,Damian Lillard,1,,,made,,Free Throw 1 of 2,,,,,,Lillard Free Throw 1 of 2 (3 PTS)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,4,00:11:07,00:00:53,00:00:00,14,POR,free throw,,,,,,,2,,2,Damian Lillard,1,,,made,,Free Throw 2 of 2,,,,,,Lillard Free Throw 2 of 2 (4 PTS)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,4,00:10:54,00:01:06,00:00:13,15,CHA,shot,Kemba Walker,,,,,,,,,Marvin Williams,3,,,made,,Jump Shot,23,-221,45,47.1,9.5,Williams  3PT Jump Shot (3 PTS) (Walker 1 AST)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,4,00:10:28,00:01:32,00:00:26,17,POR,miss,,,,,,,,,,Al-Farouq Aminu,0,,,missed,,unknown,2,14,6,26.4,88.4,MISS Aminu 2' Driving Layup
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,4,00:10:26,00:01:34,00:00:02,18,CHA,rebound,,,,,,,,,,Marvin Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,4,00:10:10,00:01:50,00:00:16,19,CHA,turnover,,,,,,,,,,Kemba Walker,,,lost ball ,,Al-Farouq Aminu,lost ball ,,,,,,"Walker Lost Ball Turnover (P1.T1), Aminu STEAL (1 STL)"
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:10:07,00:01:53,00:00:03,21,POR,shot,,,,,,,,,,Al-Farouq Aminu,2,,,made,,Running Dunk,0,0,1,25.0,88.9,Aminu  Running Dunk (2 PTS)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:54,00:02:06,00:00:13,22,CHA,miss,,,,Damian Lillard,,,,,,Marvin Williams,0,,,missed,,Hook Shot,3,-8,27,25.8,7.7,"MISS Williams 3' Hook Shot, Lillard BLOCK (1 BLK)"
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:52,00:02:08,00:00:02,24,POR,rebound,,,,,,,,,,CJ McCollum,,,,,,rebound defensive,,,,,,McCollum REBOUND (Off:0 Def:1)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:49,00:02:11,00:00:03,25,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,Pullup Jump Shot,14,100,101,35.0,78.9,MISS McCollum 14' Pullup Jump Shot
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:45,00:02:15,00:00:04,26,CHA,rebound,,,,,,,,,,Bismack Biyombo,,,,,,rebound defensive,,,,,,Biyombo REBOUND (Off:0 Def:1)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:41,00:02:19,00:00:04,27,POR,foul,,,,,,,,Kemba Walker,,CJ McCollum,,,p.foul,,,p.foul,,,,,,McCollum P.FOUL (P1.T1) (S.Wall)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:34,00:02:26,00:00:07,29,CHA,miss,,,,,,,,,,Jeremy Lamb,0,,,missed,,unknown,5,30,43,22.0,9.3,MISS Lamb 5' Driving Floating Jump Shot
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:33,00:02:27,00:00:01,30,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:2)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:28,00:02:32,00:00:05,31,POR,miss,,,,,,,,,,Damian Lillard,0,,,missed,,Pullup Jump Shot,28,85,263,33.5,62.7,MISS Lillard 28' 3PT Pullup Jump Shot
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:26,00:02:34,00:00:02,32,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound offensive,,,,,,Nurkic REBOUND (Off:1 Def:2)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:25,00:02:35,00:00:01,33,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Layup,2,11,12,26.1,87.8,MISS Nurkic 2' Layup
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:25,00:02:35,00:00:00,34,CHA,rebound,,,,,,,,,,Marvin Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:2)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:16,00:02:44,00:00:09,35,CHA,miss,,,,,,,,,,Jeremy Lamb,0,,,missed,,unknown,3,-22,27,27.2,7.7,MISS Lamb 3' Driving Floating Jump Shot
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:09:14,00:02:46,00:00:02,36,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:1 Def:3)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,8,00:09:07,00:02:53,00:00:07,37,POR,shot,Damian Lillard,,,,,,,,,Jusuf Nurkic,2,,,made,,Turnaround Hook Shot,3,2,32,25.2,85.8,Nurkic 3' Turnaround Hook Shot (2 PTS) (Lillard 1 AST)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,8,00:08:52,00:03:08,00:00:15,39,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Pullup Jump Shot,17,82,148,16.8,19.8,MISS Walker 17' Pullup Jump Shot
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,8,00:08:51,00:03:09,00:00:01,40,POR,rebound,,,,,,,,,,Jake Layman,,,,,,rebound defensive,,,,,,Layman REBOUND (Off:0 Def:1)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,10,00:08:43,00:03:17,00:00:08,41,POR,shot,,,,,,,,,,Damian Lillard,2,,,made,,unknown,1,-9,0,24.1,89.0,Lillard 1' Driving Layup (6 PTS)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,10,00:08:23,00:03:37,00:00:20,42,CHA,miss,,,,,,,,,,Bismack Biyombo,0,,,missed,,unknown,3,25,11,22.5,6.1,MISS Biyombo 3' Driving Layup
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,10,00:08:20,00:03:40,00:00:03,43,POR,rebound,,,,,,,,,,CJ McCollum,,,,,,rebound defensive,,,,,,McCollum REBOUND (Off:0 Def:2)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,13,00:08:17,00:03:43,00:00:03,44,POR,shot,,,,,,,,,,CJ McCollum,3,,,made,,unknown,25,-8,254,24.2,63.6,McCollum 25' 3PT Running Pull-Up Jump Shot (3 PTS)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,13,00:08:17,00:03:43,00:00:00,45,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Hornets Timeout: Regular (Reg.1 Short 0)
"=""0021800628""",2018-2019 Regular Season,2019-01-11,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,5,13,00:08:04,00:03:56,00:00:13,46,CHA,shot,Bismack Biyombo,,,,,,,,,Jeremy Lamb,2,,,made,,unknown,1,-5,-5,25.5,4.5,Lamb 1' Driving Layup (2 PTS) (Biyombo 1 AST)
