game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Marc Gasol,Bam Adebayo,,,,,,,Bam Adebayo,,Jaren Jackson Jr.,,,,jump ball,,,,,,Jump Ball Adebayo vs. Gasol: Tip to Jackson Jr.
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,2,0,00:11:41,00:00:19,00:00:19,7,MEM,shot,,,,,,,,,,Marc Gasol,2,,,made,,Turnaround Hook Shot,7,3,70,24.7,12.0,Gasol 7' Turnaround Hook Shot (2 PTS)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,2,0,00:11:24,00:00:36,00:00:17,8,MIA,turnover,,,,,,,,,,Bam Adebayo,,,bad pass ,,Kyle Anderson,bad pass ,,,,,,"Anderson STEAL (1 STL), Adebayo Bad Pass Turnover (P1.T1)"
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,5,0,00:11:17,00:00:43,00:00:07,10,MEM,shot,Mike Conley,,,,,,,,,Garrett Temple,3,,,made,,Jump Shot,23,-231,13,48.1,6.3,Temple  3PT Jump Shot (3 PTS) (Conley 1 AST)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,5,3,00:10:54,00:01:06,00:00:23,13,MIA,shot,James Johnson,,,,,,,,,Justise Winslow,3,,,made,,Jump Shot,25,159,197,40.9,69.3,Winslow 25' 3PT Jump Shot (3 PTS) (Johnson 1 AST)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,7,3,00:10:39,00:01:21,00:00:15,15,MEM,shot,Mike Conley,,,,,,,,,Marc Gasol,2,,,made,,Jump Shot,13,-128,13,37.8,6.3,Gasol 13' Jump Shot (4 PTS) (Conley 2 AST)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,7,3,00:10:33,00:01:27,00:00:06,17,MIA,turnover,,,,,,,,,,Justise Winslow,,,bad pass ,,Mike Conley,bad pass ,,,,,,"Conley STEAL (1 STL), Winslow Bad Pass Turnover (P1.T2)"
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,7,3,00:10:24,00:01:36,00:00:09,19,MEM,miss,,,,James Johnson,,,,,,Jaren Jackson Jr.,0,,,missed,,Turnaround Hook Shot,4,-3,44,25.3,9.4,"MISS Jackson Jr. 4' Turnaround Hook Shot, Johnson BLOCK (1 BLK)"
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,7,3,00:10:20,00:01:40,00:00:04,21,MIA,rebound,,,,,,,,,,Josh Richardson,,,,,,rebound defensive,,,,,,Richardson REBOUND (Off:0 Def:1)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,7,6,00:10:15,00:01:45,00:00:05,22,MIA,shot,Josh Richardson,,,,,,,,,Justise Winslow,3,,,made,,Jump Shot,29,30,287,28.0,60.3,Winslow 29' 3PT Jump Shot (6 PTS) (Richardson 1 AST)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,9,6,00:09:53,00:02:07,00:00:22,24,MEM,shot,Jaren Jackson Jr.,,,,,,,,,Garrett Temple,2,,,made,,unknown,1,-6,12,25.6,6.2,Temple 1' Cutting Layup Shot (5 PTS) (Jackson Jr. 1 AST)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,9,6,00:09:45,00:02:15,00:00:08,26,MEM,foul,,,,,,,,James Johnson,,Jaren Jackson Jr.,,,s.foul,,,s.foul,,,,,,Jackson Jr. S.FOUL (P1.T1) (J.Phillips)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,9,7,00:09:45,00:02:15,00:00:00,28,MIA,free throw,,,,,,,1,,2,James Johnson,1,,,made,,Free Throw 1 of 2,,,,,,Johnson Free Throw 1 of 2 (1 PTS)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,9,7,00:09:45,00:02:15,00:00:00,29,MIA,free throw,,,,,,,2,,2,James Johnson,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Johnson Free Throw 2 of 2
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,9,7,00:09:42,00:02:18,00:00:03,30,MEM,rebound,,,,,,,,,,Garrett Temple,,,,,,rebound defensive,,,,,,Temple REBOUND (Off:0 Def:1)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,12,7,00:09:21,00:02:39,00:00:21,31,MEM,shot,Mike Conley,,,,,,,,,Garrett Temple,3,,,made,,Jump Shot,23,227,15,2.3,6.5,Temple  3PT Jump Shot (8 PTS) (Conley 3 AST)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,12,7,00:09:02,00:02:58,00:00:19,33,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Pullup Jump Shot,18,85,156,33.5,73.4,MISS Richardson 18' Pullup Jump Shot
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,12,7,00:09:00,00:03:00,00:00:02,34,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,14,7,00:08:42,00:03:18,00:00:18,35,MEM,shot,,,,,,,,,,Jaren Jackson Jr.,2,,,made,,Driving Hook Shot,7,-49,43,29.9,9.3,Jackson Jr. 7' Driving Hook Shot (2 PTS)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,14,7,00:08:25,00:03:35,00:00:17,36,MIA,miss,,,,,,,,,,Bam Adebayo,0,,,missed,,unknown,2,8,19,25.8,87.1,MISS Adebayo 2' Cutting Layup Shot
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,14,7,00:08:21,00:03:39,00:00:04,38,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound offensive,,,,,,Adebayo REBOUND (Off:1 Def:0)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,14,7,00:08:18,00:03:42,00:00:03,39,MIA,turnover,,,,,,,,,,Bam Adebayo,,,bad pass ,,Jaren Jackson Jr.,bad pass ,,,,,,"Jackson Jr. STEAL (1 STL), Adebayo Bad Pass Turnover (P2.T3)"
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,14,7,00:08:15,00:03:45,00:00:03,41,MIA,foul,,,,,,,,Marc Gasol,,James Johnson,,,p.foul,,,p.foul,,,,,,Johnson P.FOUL (P1.T1) (B.Barnaky)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,16,7,00:08:07,00:03:53,00:00:08,43,MEM,shot,,,,,,,,,,Mike Conley,2,,,made,,unknown,1,6,11,24.4,6.1,Conley 1' Driving Layup (2 PTS)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,16,7,00:08:07,00:03:53,00:00:00,44,MIA,foul,,,,,,,,Mike Conley,,Rodney McGruder,,,s.foul,,,s.foul,,,,,,McGruder S.FOUL (P1.T2) (H.Workman)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,17,7,00:08:07,00:03:53,00:00:00,46,MEM,free throw,,,,,,,1,,1,Mike Conley,1,,,made,,Free Throw 1 of 1,,,,,,Conley Free Throw 1 of 1 (3 PTS)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,17,7,00:07:59,00:04:01,00:00:08,47,MIA,miss,,,,,,,,,,James Johnson,0,,,missed,,Pullup Jump Shot,25,-160,188,9.0,70.2,MISS Johnson 25' 3PT Pullup Jump Shot
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,17,7,00:07:56,00:04:04,00:00:03,48,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:2)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,17,7,00:07:40,00:04:20,00:00:16,49,MIA,foul,,,,,,,,Jaren Jackson Jr.,,James Johnson,,,s.foul,,,s.foul,,,,,,Johnson S.FOUL (P2.T3) (B.Barnaky)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,18,7,00:07:40,00:04:20,00:00:00,51,MEM,free throw,,,,,,,1,,2,Jaren Jackson Jr.,1,,,made,,Free Throw 1 of 2,,,,,,Jackson Jr. Free Throw 1 of 2 (3 PTS)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,19,7,00:07:40,00:04:20,00:00:00,52,MEM,free throw,,,,,,,2,,2,Jaren Jackson Jr.,1,,,made,,Free Throw 2 of 2,,,,,,Jackson Jr. Free Throw 2 of 2 (4 PTS)
"=""0021800631""",2018-2019 Regular Season,2019-01-12,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Rodney McGruder,James Johnson,Bam Adebayo,Josh Richardson,Justise Winslow,1,19,7,00:07:38,00:04:22,00:00:02,53,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,HEAT Timeout: Regular (Full 1 Short 0)
