game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Al Horford,Nikola Vucevic,,,,,,,Nikola Vucevic,,Kyrie Irving,,,,jump ball,,,,,,Jump Ball Vucevic vs. Horford: Tip to Irving
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:45,00:00:15,00:00:15,7,BOS,miss,,,,Aaron Gordon,,,,,,Jayson Tatum,0,,,missed,,Layup,2,14,20,23.6,7.0,"MISS Tatum 2' Layup, Gordon BLOCK (1 BLK)"
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:43,00:00:17,00:00:02,9,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound offensive,,,,,,Tatum REBOUND (Off:1 Def:0)
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:43,00:00:17,00:00:00,10,ORL,foul,,,,,,,,Jayson Tatum,,Aaron Gordon,,,s.foul,,,s.foul,,,,,,Gordon S.FOUL (P1.T1) (N.Sago)
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,1,0,00:11:43,00:00:17,00:00:00,12,BOS,free throw,,,,,,,1,,2,Jayson Tatum,1,,,made,,Free Throw 1 of 2,,,,,,Tatum Free Throw 1 of 2 (1 PTS)
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:43,00:00:17,00:00:00,13,BOS,free throw,,,,,,,2,,2,Jayson Tatum,1,,,made,,Free Throw 2 of 2,,,,,,Tatum Free Throw 2 of 2 (2 PTS)
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:24,00:00:36,00:00:19,14,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,Pullup Jump Shot,19,-73,173,17.7,71.7,MISS Gordon 19' Pullup Jump Shot
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:21,00:00:39,00:00:03,15,BOS,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:1)
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:16,00:00:44,00:00:05,16,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Pullup Jump Shot,26,77,248,17.3,29.8,MISS Irving 26' 3PT Pullup Jump Shot
"=""0021800632""",2018-2019 Regular Season,2019-01-12,Marcus Morris,Jayson Tatum,Al Horford,Marcus Smart,Kyrie Irving,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:14,00:00:46,00:00:02,17,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound offensive,,,,,,Horford REBOUND (Off:1 Def:0)
