game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800633""",2018-2019 Regular Season,2019-01-12,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800633""",2018-2019 Regular Season,2019-01-12,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Anthony Davis,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Elfrid Payton,,,,jump ball,,,,,,Jump Ball Towns vs. Davis: Tip to Payton
"=""0021800633""",2018-2019 Regular Season,2019-01-12,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,2,0,00:11:45,00:00:15,00:00:15,7,NOP,shot,Jrue Holiday,,,,,,,,,Anthony Davis,2,,,made,,unknown,1,-5,6,25.5,5.6,Davis 1' Cutting Dunk Shot (2 PTS) (Holiday 1 AST)
"=""0021800633""",2018-2019 Regular Season,2019-01-12,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,2,2,00:11:15,00:00:45,00:00:30,9,MIN,shot,,,,,,,,,,Josh Okogie,2,,,made,,Driving Finger Roll Layup,3,1,32,25.1,85.8,Okogie 3' Driving Finger Roll Layup (2 PTS)
"=""0021800633""",2018-2019 Regular Season,2019-01-12,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,5,2,00:11:06,00:00:54,00:00:09,10,NOP,shot,E'Twaun Moore,,,,,,,,,Anthony Davis,3,,,made,,Pullup Jump Shot,26,26,258,22.4,30.8,Davis 26' 3PT Pullup Jump Shot (5 PTS) (Moore 1 AST)
"=""0021800633""",2018-2019 Regular Season,2019-01-12,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,5,2,00:10:52,00:01:08,00:00:14,12,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Jump Shot,25,-15,253,23.5,63.7,MISS Towns 25' 3PT Jump Shot
"=""0021800633""",2018-2019 Regular Season,2019-01-12,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,5,2,00:10:49,00:01:11,00:00:03,13,NOP,rebound,,,,,,,,,,E'Twaun Moore,,,,,,rebound defensive,,,,,,Moore REBOUND (Off:0 Def:1)
"=""0021800633""",2018-2019 Regular Season,2019-01-12,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,5,2,00:10:46,00:01:14,00:00:03,14,NOP,turnover,,,,,,,,,,Anthony Davis,,,traveling ,,,traveling ,,,,,,Davis Traveling Turnover (P1.T1)
"=""0021800633""",2018-2019 Regular Season,2019-01-12,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,5,2,00:10:35,00:01:25,00:00:11,15,MIN,miss,,,,Jrue Holiday,,,,,,Andrew Wiggins,0,,,missed,,Jump Shot,25,-131,208,11.9,68.2,"Holiday BLOCK (1 BLK), MISS Wiggins 25' 3PT Jump Shot"
"=""0021800633""",2018-2019 Regular Season,2019-01-12,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,5,2,00:10:32,00:01:28,00:00:03,17,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
