game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:12:00,00:00:00,00:00:00,4,PHX,jump ball,,Nikola Jokic,Deandre Ayton,,,,,,,Deandre Ayton,,T.J. Warren,,,,jump ball,,,,,,Jump Ball Ayton vs. Jokic: Tip to Warren
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:11:41,00:00:19,00:00:19,7,PHX,miss,,,,Nikola Jokic,,,,,,Deandre Ayton,0,,,missed,,Turnaround Jump Shot,9,2,89,25.2,80.1,"Jokic BLOCK (1 BLK), MISS Ayton 9' Turnaround Jump Shot"
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:11:41,00:00:19,00:00:00,9,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,SUNS Rebound
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:11:37,00:00:23,00:00:04,10,PHX,jump ball,,Nikola Jokic,Deandre Ayton,,,,,,,Deandre Ayton,,T.J. Warren,,,,jump ball,,,,,,Jump Ball Ayton vs. Jokic: Tip to Warren
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:11:33,00:00:27,00:00:04,13,PHX,miss,,,,,,,,,,De'Anthony Melton,0,,,missed,,Pullup Jump Shot,25,-158,193,9.2,69.7,MISS Melton 25' 3PT Pullup Jump Shot
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:11:30,00:00:30,00:00:03,14,DEN,rebound,,,,,,,,,,Jamal Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:11:18,00:00:42,00:00:12,15,DEN,turnover,,,,,,,,,,Torrey Craig,,,bad pass ,,Josh Jackson,bad pass ,,,,,,"Craig Bad Pass Turnover (P1.T1), Jackson STEAL (1 STL)"
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:11:13,00:00:47,00:00:05,17,PHX,miss,,,,,,,,,,Josh Jackson,0,,,missed,,Step Back Jump Shot,19,-2,194,24.8,69.6,MISS Jackson 19' Step Back Jump Shot
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:11:09,00:00:51,00:00:04,18,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:10:54,00:01:06,00:00:15,19,DEN,miss,,,,,,,,,,Torrey Craig,0,,,missed,,Jump Shot,23,-234,-2,48.4,4.8,MISS Craig  3PT Jump Shot
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:10:51,00:01:09,00:00:03,20,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:10:38,00:01:22,00:00:13,21,PHX,turnover,,,,,,,,,,De'Anthony Melton,,,bad pass ,,Torrey Craig,bad pass ,,,,,,"Craig STEAL (1 STL), Melton Bad Pass Turnover (P1.T1)"
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,0,00:10:34,00:01:26,00:00:04,23,DEN,turnover,,,,,,,,,,Paul Millsap,,,bad pass ,,T.J. Warren,bad pass ,,,,,,"Millsap Bad Pass Turnover (P1.T2), Warren STEAL (1 STL)"
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,2,00:10:29,00:01:31,00:00:05,25,PHX,shot,Josh Jackson,,,,,,,,,Deandre Ayton,2,,,made,,Running Dunk,0,4,1,25.4,88.9,Ayton  Running Dunk (2 PTS) (Jackson 1 AST)
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,0,2,00:10:17,00:01:43,00:00:12,27,PHX,foul,,,,,,,,,,T.J. Warren,,,t.foul def. 3 sec,,,t.foul def. 3 sec,,,,,,SUNS T.Foul (Def. 3 Sec Warren ) (M.Lindsay)
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,1,2,00:10:17,00:01:43,00:00:00,28,DEN,free throw,,,,,,,1,,1,Jamal Murray,1,,,made,,Free Throw Technical,,,,,,Murray Free Throw Technical (1 PTS)
"=""0021800635""",2018-2019 Regular Season,2019-01-12,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Josh Jackson,De'Anthony Melton,1,1,2,00:10:10,00:01:50,00:00:07,29,DEN,miss,,,,Deandre Ayton,,,,,,Jamal Murray,0,,,missed,,unknown,6,-64,1,31.4,5.1,"MISS Murray 6' Driving Layup, Ayton BLOCK (1 BLK)"
