game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800638""",2018-2019 Regular Season,2019-01-13,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800638""",2018-2019 Regular Season,2019-01-13,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Joel Embiid,Noah Vonleh,,,,,,,Noah Vonleh,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Vonleh vs. Embiid: Tip to Simmons
"=""0021800638""",2018-2019 Regular Season,2019-01-13,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:11:45,00:00:15,00:00:15,7,PHI,miss,,,,,,,,,,Jimmy Butler,0,,,missed,,Step Back Jump Shot,13,98,89,15.2,13.9,MISS Butler 13' Step Back Jump Shot
"=""0021800638""",2018-2019 Regular Season,2019-01-13,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:11:40,00:00:20,00:00:05,8,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound offensive,,,,,,Simmons REBOUND (Off:1 Def:0)
"=""0021800638""",2018-2019 Regular Season,2019-01-13,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Emmanuel Mudiay,1,2,0,00:11:35,00:00:25,00:00:05,9,PHI,shot,Wilson Chandler,,,,,,,,,Joel Embiid,2,,,made,,Hook Shot,4,1,36,24.9,8.6,Embiid 4' Hook Shot (2 PTS) (Chandler 1 AST)
"=""0021800638""",2018-2019 Regular Season,2019-01-13,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Emmanuel Mudiay,1,2,2,00:11:22,00:00:38,00:00:13,11,NYK,shot,,,,,,,,,,Kevin Knox,2,,,made,,Floating Jump Shot,7,37,59,28.7,83.1,Knox 7' Floating Jump Shot (2 PTS)
"=""0021800638""",2018-2019 Regular Season,2019-01-13,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Emmanuel Mudiay,1,5,2,00:11:15,00:00:45,00:00:07,12,PHI,shot,Ben Simmons,,,,,,,,,JJ Redick,3,,,made,,Jump Shot,24,-177,168,42.7,21.8,Redick 24' 3PT Jump Shot (3 PTS) (Simmons 1 AST)
"=""0021800638""",2018-2019 Regular Season,2019-01-13,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Emmanuel Mudiay,1,5,2,00:11:03,00:00:57,00:00:12,14,NYK,miss,,,,,,,,,,Noah Vonleh,0,,,missed,,Jump Shot,26,27,258,27.7,63.2,MISS Vonleh 26' 3PT Jump Shot
"=""0021800638""",2018-2019 Regular Season,2019-01-13,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Emmanuel Mudiay,1,5,2,00:11:02,00:00:58,00:00:01,15,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:1 Def:1)
"=""0021800638""",2018-2019 Regular Season,2019-01-13,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Emmanuel Mudiay,1,7,2,00:10:52,00:01:08,00:00:10,16,PHI,shot,,,,,,,,,,Wilson Chandler,2,,,made,,Reverse Layup,1,5,10,24.5,6.0,Chandler 1' Reverse Layup (2 PTS)
