game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800641""",2018-2019 Regular Season,2019-01-13,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800641""",2018-2019 Regular Season,2019-01-13,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,HOU,jump ball,,Clint Capela,Nikola Vucevic,,,,,,,Nikola Vucevic,,PJ Tucker,,,,jump ball,,,,,,Jump Ball Vucevic vs. Capela: Tip to Tucker
"=""0021800641""",2018-2019 Regular Season,2019-01-13,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:43,00:00:17,00:00:17,7,HOU,miss,,,,,,,,,,James Harden,0,,,missed,,unknown,10,-1,95,25.1,14.5,MISS Harden 10' Driving Floating Jump Shot
"=""0021800641""",2018-2019 Regular Season,2019-01-13,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:40,00:00:20,00:00:03,8,HOU,rebound,,,,,,,,,,James Harden,,,,,,rebound offensive,,,,,,Harden REBOUND (Off:1 Def:0)
"=""0021800641""",2018-2019 Regular Season,2019-01-13,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:31,00:00:29,00:00:09,9,HOU,miss,,,,,,,,,,James Harden,0,,,missed,,Jump Shot,25,198,157,5.2,20.7,MISS Harden 25' 3PT Jump Shot
"=""0021800641""",2018-2019 Regular Season,2019-01-13,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:28,00:00:32,00:00:03,10,ORL,rebound,,,,,,,,,,Jonathan Isaac,,,,,,rebound defensive,,,,,,Isaac REBOUND (Off:0 Def:1)
"=""0021800641""",2018-2019 Regular Season,2019-01-13,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:23,00:00:37,00:00:05,11,ORL,shot,,,,,,,,,,D.J. Augustin,2,,,made,,unknown,1,-3,9,24.7,88.1,Augustin 1' Driving Layup (2 PTS)
"=""0021800641""",2018-2019 Regular Season,2019-01-13,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:00,00:01:00,00:00:23,12,HOU,miss,,,,,,,,,,PJ Tucker,0,,,missed,,Jump Shot,27,14,270,23.6,32.0,MISS Tucker 27' 3PT Jump Shot
"=""0021800641""",2018-2019 Regular Season,2019-01-13,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:10:57,00:01:03,00:00:03,13,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021800641""",2018-2019 Regular Season,2019-01-13,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:10:44,00:01:16,00:00:13,14,ORL,miss,,,,,,,,,,Jonathan Isaac,0,,,missed,,Floating Jump Shot,13,-125,4,12.5,88.6,MISS Isaac 13' Floating Jump Shot
