game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800643""",2018-2019 Regular Season,2019-01-13,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800643""",2018-2019 Regular Season,2019-01-13,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Jusuf Nurkic,Nikola Jokic,,,,,,,Nikola Jokic,,Al-Farouq Aminu,,,,jump ball,,,,,,Jump Ball Jokic vs. Nurkic: Tip to Aminu
"=""0021800643""",2018-2019 Regular Season,2019-01-13,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:11:43,00:00:17,00:00:17,7,POR,shot,Jusuf Nurkic,,,,,,,,,Jake Layman,2,,,made,,Alley Oop Dunk,1,-1,12,25.1,6.2,Layman 1' Alley Oop Dunk (2 PTS) (Nurkic 1 AST)
"=""0021800643""",2018-2019 Regular Season,2019-01-13,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:11:32,00:00:28,00:00:11,9,POR,foul,,,,,,,,Nikola Jokic,,Jusuf Nurkic,,,p.foul,,,p.foul,,,,,,Nurkic P.FOUL (P1.T1) (T.Brothers)
"=""0021800643""",2018-2019 Regular Season,2019-01-13,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:11:24,00:00:36,00:00:08,11,DEN,turnover,,,,,,,,,,Jamal Murray,,,bad pass ,,Al-Farouq Aminu,bad pass ,,,,,,"Aminu STEAL (1 STL), Murray Bad Pass Turnover (P1.T1)"
"=""0021800643""",2018-2019 Regular Season,2019-01-13,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,5,0,00:11:16,00:00:44,00:00:08,13,POR,shot,,,,,,,,,,Damian Lillard,3,,,made,,Pullup Jump Shot,26,-157,211,40.7,26.1,Lillard 26' 3PT Pullup Jump Shot (3 PTS)
"=""0021800643""",2018-2019 Regular Season,2019-01-13,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,5,2,00:10:57,00:01:03,00:00:19,14,DEN,shot,,,,,,,,,,Nikola Jokic,2,,,made,,Driving Finger Roll Layup,2,22,8,27.2,88.2,Jokic 2' Driving Finger Roll Layup (2 PTS)
"=""0021800643""",2018-2019 Regular Season,2019-01-13,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,5,2,00:10:35,00:01:25,00:00:22,15,POR,miss,,,,,,,,,,Al-Farouq Aminu,0,,,missed,,Pullup Jump Shot,25,-149,205,39.9,25.5,MISS Aminu 25' 3PT Pullup Jump Shot
"=""0021800643""",2018-2019 Regular Season,2019-01-13,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,5,2,00:10:33,00:01:27,00:00:02,16,DEN,rebound,,,,,,,,,,Paul Millsap,,,,,,rebound defensive,,,,,,Millsap REBOUND (Off:0 Def:1)
"=""0021800643""",2018-2019 Regular Season,2019-01-13,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,5,2,00:10:11,00:01:49,00:00:22,17,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,Hook Shot,5,24,41,27.4,84.9,MISS Jokic 5' Hook Shot
