game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Marc Gasol,Nene,,,,,,,Nene,,Jaren Jackson Jr.,,,,jump ball,,,,,,Jump Ball Nene vs. Gasol: Tip to Jackson Jr.
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,0,0,00:11:38,00:00:22,00:00:22,7,MEM,miss,,,,,,,,,,Jevon Carter,0,,,missed,,Jump Shot,25,25,251,22.5,30.1,MISS Carter 25' 3PT Jump Shot
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,0,0,00:11:36,00:00:24,00:00:02,8,HOU,rebound,,,,,,,,,,Danuel House Jr.,,,,,,rebound defensive,,,,,,House Jr. REBOUND (Off:0 Def:1)
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,0,2,00:11:27,00:00:33,00:00:09,9,HOU,shot,,,,,,,,,,James Harden,2,,,made,,Fadeaway Jumper,10,97,-6,34.7,89.6,Harden 10' Fadeaway Jumper (2 PTS)
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,2,2,00:11:10,00:00:50,00:00:17,10,MEM,shot,Garrett Temple,,,,,,,,,Jaren Jackson Jr.,2,,,made,,Hook Shot,5,-47,16,29.7,6.6,Jackson Jr. 5' Hook Shot (2 PTS) (Temple 1 AST)
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,2,2,00:10:54,00:01:06,00:00:16,12,HOU,miss,,,,,,,,,,James Harden,0,,,missed,,unknown,4,-23,34,22.7,85.6,MISS Harden 4' Driving Floating Bank Jump Shot
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,2,2,00:10:53,00:01:07,00:00:01,13,MEM,rebound,,,,,,,,,,Jevon Carter,,,,,,rebound defensive,,,,,,Carter REBOUND (Off:0 Def:1)
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,2,2,00:10:49,00:01:11,00:00:04,14,HOU,foul,,,,,,,,Jaren Jackson Jr.,,PJ Tucker,,,p.foul,,,p.foul,,,,,,Tucker P.FOUL (P1.T1) (G.Petraitis)
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,2,2,00:10:40,00:01:20,00:00:09,16,MEM,miss,,,,,,,,,,Garrett Temple,0,,,missed,,Jump Shot,23,234,6,1.6,5.6,MISS Temple  3PT Jump Shot
"=""0021800646""",2018-2019 Regular Season,2019-01-14,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Jevon Carter,Mike Conley,Danuel House Jr.,PJ Tucker,Nene,Austin Rivers,James Harden,1,2,2,00:10:39,00:01:21,00:00:01,17,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound offensive,,,,,,Gasol REBOUND (Off:1 Def:0)
