game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Jusuf Nurkic,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Al-Farouq Aminu,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Nurkic: Tip to Aminu
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:11:47,00:00:13,00:00:13,7,POR,shot,,,,,,,,,,Damian Lillard,3,,,made,,Jump Shot,25,13,246,23.7,29.6,Lillard 25' 3PT Jump Shot (3 PTS)
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:11:29,00:00:31,00:00:18,8,SAC,miss,,,,,,,,,,Nemanja Bjelica,0,,,missed,,Jump Shot,25,189,165,43.9,72.5,MISS Bjelica 25' 3PT Jump Shot
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:11:26,00:00:34,00:00:03,9,POR,rebound,,,,,,,,,,Jake Layman,,,,,,rebound defensive,,,,,,Layman REBOUND (Off:0 Def:1)
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:11:18,00:00:42,00:00:08,10,POR,miss,,,,,,,,,,Damian Lillard,0,,,missed,,Driving Reverse Layup,2,13,11,23.7,6.1,MISS Lillard 2' Driving Reverse Layup
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:11:16,00:00:44,00:00:02,11,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:11:03,00:00:57,00:00:13,12,SAC,turnover,,,,,,,,,,Willie Cauley-Stein,,,traveling ,,,traveling ,,,,,,Cauley-Stein Traveling Turnover (P1.T1)
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:10:47,00:01:13,00:00:16,13,POR,turnover,,,,,,,,,,Damian Lillard,,,bad pass ,,Willie Cauley-Stein,bad pass ,,,,,,"Lillard Bad Pass Turnover (P1.T1), Cauley-Stein STEAL (1 STL)"
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:10:42,00:01:18,00:00:05,15,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Jump Shot,23,-228,18,2.2,87.2,MISS Fox  3PT Jump Shot
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:10:41,00:01:19,00:00:01,16,SAC,rebound,,,,,,,,,,Nemanja Bjelica,,,,,,rebound offensive,,,,,,Bjelica REBOUND (Off:1 Def:0)
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:10:37,00:01:23,00:00:04,17,SAC,miss,,,,,,,,,,Iman Shumpert,0,,,missed,,Jump Shot,20,-2,200,24.8,69.0,MISS Shumpert 20' Jump Shot
"=""0021800649""",2018-2019 Regular Season,2019-01-14,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,0,00:10:34,00:01:26,00:00:03,18,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
