game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,IND,jump ball,,Deandre Ayton,Myles Turner,,,,,,,Myles Turner,,Thaddeus Young,,,,jump ball,,,,,,Jump Ball Turner vs. Ayton: Tip to Young
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,2,00:11:38,00:00:22,00:00:22,7,IND,shot,,,,,,,,,,Bojan Bogdanovic,2,,,made,,unknown,5,52,4,30.2,88.6,Bogdanovic 5' Turnaround Fadeaway Bank Jump Shot (2 PTS)
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,2,00:11:38,00:00:22,00:00:00,8,PHX,foul,,,,,,,,Bojan Bogdanovic,,Devin Booker,,,s.foul,,,s.foul,,,,,,Booker S.FOUL (P1.T1) (M.Ayotte)
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:11:38,00:00:22,00:00:00,10,IND,free throw,,,,,,,1,,1,Bojan Bogdanovic,1,,,made,,Free Throw 1 of 1,,,,,,Bogdanovic Free Throw 1 of 1 (3 PTS)
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:11:21,00:00:39,00:00:17,11,PHX,turnover,,,,,,,,,,Mikal Bridges,,,bad pass ,,Victor Oladipo,bad pass ,,,,,,"Bridges Bad Pass Turnover (P1.T1), Oladipo STEAL (1 STL)"
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:11:16,00:00:44,00:00:05,13,IND,miss,,,,,,,,,,Victor Oladipo,0,,,missed,,Driving Finger Roll Layup,0,0,-4,25.0,89.4,MISS Oladipo  Driving Finger Roll Layup
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:11:14,00:00:46,00:00:02,14,PHX,rebound,,,,,,,,,,Mikal Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:11:08,00:00:52,00:00:06,15,PHX,miss,,,,,,,,,,Deandre Ayton,0,,,missed,,Turnaround Jump Shot,3,-10,29,26.0,7.9,MISS Ayton 3' Turnaround Jump Shot
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:11:07,00:00:53,00:00:01,16,PHX,rebound,,,,,,,,,,De'Anthony Melton,,,,,,rebound offensive,,,,,,Melton REBOUND (Off:1 Def:0)
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:11:07,00:00:53,00:00:00,57,PHX,miss,,,,,,,,,,De'Anthony Melton,0,,,missed,,unknown,2,-3,21,25.3,7.1,MISS Melton 2' Tip Layup Shot
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:11:06,00:00:54,00:00:01,58,IND,rebound,,,,,,,,,,Thaddeus Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:10:58,00:01:02,00:00:08,17,IND,miss,,,,,,,,,,Myles Turner,0,,,missed,,Jump Shot,26,231,118,48.1,77.2,MISS Turner 26' 3PT Jump Shot
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:10:55,00:01:05,00:00:03,18,PHX,rebound,,,,,,,,,,De'Anthony Melton,,,,,,rebound defensive,,,,,,Melton REBOUND (Off:1 Def:1)
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:10:44,00:01:16,00:00:11,19,PHX,miss,,,,,,,,,,T.J. Warren,0,,,missed,,unknown,6,57,20,19.3,7.0,MISS Warren 6' Driving Floating Bank Jump Shot
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:10:39,00:01:21,00:00:05,20,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound offensive,,,,,,Ayton REBOUND (Off:1 Def:0)
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,2,3,00:10:39,00:01:21,00:00:00,21,PHX,shot,,,,,,,,,,Deandre Ayton,2,,,made,,Putback Layup,1,0,-6,25.0,4.4,Ayton 1' Putback Layup (2 PTS)
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,2,3,00:10:16,00:01:44,00:00:23,22,IND,miss,,,,Deandre Ayton,,,,,,Darren Collison,0,,,missed,,Fadeaway Jumper,19,190,11,44.0,87.9,"Ayton BLOCK (1 BLK), MISS Collison 19' Fadeaway Jumper"
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,2,3,00:10:13,00:01:47,00:00:03,24,PHX,rebound,,,,,,,,,,Mikal Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:2)
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,2,3,00:10:07,00:01:53,00:00:06,25,PHX,miss,,,,,,,,,,De'Anthony Melton,0,,,missed,,Pullup Jump Shot,14,-35,132,28.5,18.2,MISS Melton 14' Pullup Jump Shot
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,2,3,00:10:07,00:01:53,00:00:00,27,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Suns Rebound
"=""0021800651""",2018-2019 Regular Season,2019-01-15,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,2,3,00:10:01,00:01:59,00:00:06,29,PHX,miss,,,,,,,,,,Devin Booker,0,,,missed,,Jump Shot,26,-128,226,37.8,27.6,MISS Booker 26' 3PT Jump Shot
