game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800656""",2018-2019 Regular Season,2019-01-15,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Brandon Ingram,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800656""",2018-2019 Regular Season,2019-01-15,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Brandon Ingram,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Wendell Carter Jr.,Tyson Chandler,,,,,,,Tyson Chandler,,Kris Dunn,,,,jump ball,,,,,,Jump Ball Chandler vs. Carter Jr.: Tip to Dunn
"=""0021800656""",2018-2019 Regular Season,2019-01-15,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Brandon Ingram,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:39,00:00:21,00:00:21,7,CHI,miss,,,,,,,,,,Wendell Carter Jr.,0,,,missed,,Jump Shot,22,-220,4,47.0,5.4,MISS Carter Jr.  3PT Jump Shot
"=""0021800656""",2018-2019 Regular Season,2019-01-15,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Brandon Ingram,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:36,00:00:24,00:00:03,8,LAL,rebound,,,,,,,,,,Brandon Ingram,,,,,,rebound defensive,,,,,,Ingram REBOUND (Off:0 Def:1)
"=""0021800656""",2018-2019 Regular Season,2019-01-15,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Brandon Ingram,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:20,00:00:40,00:00:16,9,LAL,miss,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,Jump Shot,25,222,106,47.2,78.4,MISS Caldwell-Pope 25' 3PT Jump Shot
"=""0021800656""",2018-2019 Regular Season,2019-01-15,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Brandon Ingram,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:16,00:00:44,00:00:04,10,LAL,rebound,,,,,,,,,,Lonzo Ball,,,,,,rebound offensive,,,,,,Ball REBOUND (Off:1 Def:0)
"=""0021800656""",2018-2019 Regular Season,2019-01-15,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Brandon Ingram,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Lonzo Ball,1,0,2,00:11:13,00:00:47,00:00:03,11,LAL,shot,Lonzo Ball,,,,,,,,,Kyle Kuzma,2,,,made,,unknown,1,-3,8,24.7,88.2,Kuzma 1' Driving Dunk (2 PTS) (Ball 1 AST)
"=""0021800656""",2018-2019 Regular Season,2019-01-15,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Brandon Ingram,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Lonzo Ball,1,0,2,00:10:50,00:01:10,00:00:23,13,CHI,miss,,,,,,,,,,Chandler Hutchison,0,,,missed,,Jump Shot,26,208,157,4.2,20.7,MISS Hutchison 26' 3PT Jump Shot
"=""0021800656""",2018-2019 Regular Season,2019-01-15,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Brandon Ingram,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Lonzo Ball,1,0,2,00:10:47,00:01:13,00:00:03,14,LAL,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:1)
"=""0021800656""",2018-2019 Regular Season,2019-01-15,Chandler Hutchison,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Kris Dunn,Brandon Ingram,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Lonzo Ball,1,0,2,00:10:38,00:01:22,00:00:09,15,LAL,miss,,,,,,,,,,Brandon Ingram,0,,,missed,,Jump Shot,27,-70,258,18.0,63.2,MISS Ingram 27' 3PT Jump Shot
