game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800661""",2018-2019 Regular Season,2019-01-16,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800661""",2018-2019 Regular Season,2019-01-16,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,4,DAL,jump ball,,LaMarcus Aldridge,DeAndre Jordan,,,,,,,DeAndre Jordan,,Luka Doncic,,,,jump ball,,,,,,Jump Ball Jordan vs. Aldridge: Tip to Doncic
"=""0021800661""",2018-2019 Regular Season,2019-01-16,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,1,0,2,00:11:42,00:00:18,00:00:18,7,DAL,shot,,,,,,,,,,Wesley Matthews,2,,,made,,Step Back Jump Shot,14,-98,99,15.2,79.1,Matthews 14' Step Back Jump Shot (2 PTS)
"=""0021800661""",2018-2019 Regular Season,2019-01-16,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,1,0,2,00:11:29,00:00:31,00:00:13,8,SAS,turnover,,,,,,,,,,DeMar DeRozan,,,double dribble turnover,,,double dribble turnover,,,,,,DeRozan Double Dribble Turnover (P1.T1)
"=""0021800661""",2018-2019 Regular Season,2019-01-16,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,1,0,2,00:11:09,00:00:51,00:00:20,9,SAS,foul,,,,,,,,Luka Doncic,,LaMarcus Aldridge,,,s.foul,,,s.foul,,,,,,Aldridge S.FOUL (P1.T1) (R.Mott)
"=""0021800661""",2018-2019 Regular Season,2019-01-16,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,1,0,3,00:11:09,00:00:51,00:00:00,11,DAL,free throw,,,,,,,1,,2,Luka Doncic,1,,,made,,Free Throw 1 of 2,,,,,,Doncic Free Throw 1 of 2 (1 PTS)
"=""0021800661""",2018-2019 Regular Season,2019-01-16,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,1,0,4,00:11:09,00:00:51,00:00:00,12,DAL,free throw,,,,,,,2,,2,Luka Doncic,1,,,made,,Free Throw 2 of 2,,,,,,Doncic Free Throw 2 of 2 (2 PTS)
"=""0021800661""",2018-2019 Regular Season,2019-01-16,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,1,0,4,00:10:56,00:01:04,00:00:13,13,SAS,turnover,,,,,,,,,,Rudy Gay,,,lost ball ,,Maxi Kleber,lost ball ,,,,,,"Gay Lost Ball Turnover (P1.T2), Kleber STEAL (1 STL)"
"=""0021800661""",2018-2019 Regular Season,2019-01-16,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,1,0,4,00:10:45,00:01:15,00:00:11,15,DAL,turnover,,,,,,,,,,Maxi Kleber,,,bad pass ,,Derrick White,bad pass ,,,,,,"White STEAL (1 STL), Kleber Bad Pass Turnover (P1.T1)"
"=""0021800661""",2018-2019 Regular Season,2019-01-16,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Harrison Barnes,Maxi Kleber,DeAndre Jordan,Wesley Matthews,Luka Doncic,1,2,4,00:10:37,00:01:23,00:00:08,17,SAS,shot,Bryn Forbes,,,,,,,,,Derrick White,2,,,made,,unknown,10,-52,84,30.2,13.4,White 10' Driving Floating Jump Shot (2 PTS) (Forbes 1 AST)
