game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800663""",2018-2019 Regular Season,2019-01-16,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800663""",2018-2019 Regular Season,2019-01-16,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Anthony Davis,Kevin Durant,,,,,,,Kevin Durant,,E'Twaun Moore,,,,jump ball,,,,,,Jump Ball Durant vs. Davis: Tip to Moore
"=""0021800663""",2018-2019 Regular Season,2019-01-16,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,3,0,00:11:48,00:00:12,00:00:12,7,NOP,shot,Anthony Davis,,,,,,,,,Jrue Holiday,3,,,made,,Jump Shot,26,142,221,10.8,27.1,Holiday 26' 3PT Jump Shot (3 PTS) (Davis 1 AST)
"=""0021800663""",2018-2019 Regular Season,2019-01-16,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,3,0,00:11:40,00:00:20,00:00:08,9,GSW,turnover,,,,,,,,,,Draymond Green,,,,,,unknown,,,,,,Green Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800663""",2018-2019 Regular Season,2019-01-16,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,3,0,00:11:14,00:00:46,00:00:26,13,NOP,miss,,,,,,,,,,Anthony Davis,0,,,missed,,Floating Jump Shot,21,132,161,11.8,21.1,MISS Davis 21' Floating Jump Shot
"=""0021800663""",2018-2019 Regular Season,2019-01-16,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,3,0,00:11:12,00:00:48,00:00:02,14,NOP,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound offensive,,,,,,Payton REBOUND (Off:1 Def:0)
"=""0021800663""",2018-2019 Regular Season,2019-01-16,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,5,0,00:11:05,00:00:55,00:00:07,15,NOP,shot,,,,,,,,,,Elfrid Payton,2,,,made,,Turnaround Hook Shot,10,-51,87,30.1,13.7,Payton 10' Turnaround Hook Shot (2 PTS)
"=""0021800663""",2018-2019 Regular Season,2019-01-16,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,5,3,00:10:53,00:01:07,00:00:12,16,GSW,shot,Draymond Green,,,,,,,,,Kevin Durant,3,,,made,,Pullup Jump Shot,27,141,228,39.1,66.2,Durant 27' 3PT Pullup Jump Shot (3 PTS) (Green 1 AST)
"=""0021800663""",2018-2019 Regular Season,2019-01-16,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,7,3,00:10:38,00:01:22,00:00:15,18,NOP,shot,,,,,,,,,,Julius Randle,2,,,made,,Fadeaway Jumper,11,33,100,21.7,15.0,Randle 11' Fadeaway Jumper (2 PTS)
"=""0021800663""",2018-2019 Regular Season,2019-01-16,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,7,5,00:10:31,00:01:29,00:00:07,19,GSW,shot,Draymond Green,,,,,,,,,Klay Thompson,2,,,made,,unknown,2,-6,15,24.4,87.5,Thompson 2' Cutting Layup Shot (2 PTS) (Green 2 AST)
