game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Willie Cauley-Stein,Bismack Biyombo,,,,,,,Bismack Biyombo,,Marvin Williams,,,,jump ball,,,,,,Jump Ball Biyombo vs. Cauley-Stein: Tip to Williams
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,0,3,00:11:47,00:00:13,00:00:13,7,CHA,shot,Kemba Walker,,,,,,,,,Jeremy Lamb,3,,,made,,Jump Shot,26,161,200,41.1,69.0,Lamb 26' 3PT Jump Shot (3 PTS) (Walker 1 AST)
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,2,3,00:11:25,00:00:35,00:00:22,9,SAC,shot,De'Aaron Fox,,,,,,,,,Iman Shumpert,2,,,made,,Pullup Jump Shot,18,-144,111,39.4,16.1,Shumpert 18' Pullup Jump Shot (2 PTS) (Fox 1 AST)
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,2,3,00:10:59,00:01:01,00:00:26,11,CHA,miss,,,,,,,,,,Jeremy Lamb,0,,,missed,,Jump Shot,23,223,32,47.3,85.8,MISS Lamb  3PT Jump Shot
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,2,3,00:10:56,00:01:04,00:00:03,12,SAC,rebound,,,,,,,,,,De'Aaron Fox,,,,,,rebound defensive,,,,,,Fox REBOUND (Off:0 Def:1)
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,2,3,00:10:50,00:01:10,00:00:06,13,SAC,miss,,,,,,,,,,Iman Shumpert,0,,,missed,,Jump Shot,23,-225,20,47.5,7.0,MISS Shumpert  3PT Jump Shot
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,2,3,00:10:47,00:01:13,00:00:03,14,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound offensive,,,,,,Cauley-Stein REBOUND (Off:1 Def:0)
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,5,3,00:10:46,00:01:14,00:00:01,15,SAC,shot,De'Aaron Fox,,,,,,,,,Buddy Hield,3,,,made,,Jump Shot,24,110,215,14.0,26.5,Hield 24' 3PT Jump Shot (3 PTS) (Fox 2 AST)
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,5,3,00:10:33,00:01:27,00:00:13,17,SAC,foul,,,,,,,,Bismack Biyombo,,Willie Cauley-Stein,,,p.foul,,,p.foul,,,,,,Cauley-Stein P.FOUL (P1.T1) (J.Goldenberg)
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,5,3,00:10:14,00:01:46,00:00:19,19,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Driving Finger Roll Layup,3,0,26,25.0,86.4,MISS Walker 3' Driving Finger Roll Layup
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,5,3,00:10:14,00:01:46,00:00:00,21,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Kings Rebound
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,7,3,00:10:04,00:01:56,00:00:10,22,SAC,shot,Nemanja Bjelica,,,,,,,,,Willie Cauley-Stein,2,,,made,,Alley Oop Layup,2,-11,15,26.1,6.5,Cauley-Stein 2' Alley Oop Layup (2 PTS) (Bjelica 1 AST)
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,7,3,00:09:46,00:02:14,00:00:18,24,CHA,miss,,,,,,,,,,Nicolas Batum,0,,,missed,,Fadeaway Jumper,14,135,34,38.5,85.6,MISS Batum 14' Fadeaway Jumper
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,7,3,00:09:43,00:02:17,00:00:03,25,CHA,rebound,,,,,,,,,,Bismack Biyombo,,,,,,rebound offensive,,,,,,Biyombo REBOUND (Off:1 Def:0)
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,7,3,00:09:33,00:02:27,00:00:10,27,CHA,miss,,,,,,,,,,Jeremy Lamb,0,,,missed,,Pullup Jump Shot,27,-78,258,17.2,63.2,MISS Lamb 27' 3PT Pullup Jump Shot
"=""0021800666""",2018-2019 Regular Season,2019-01-17,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,1,7,3,00:09:31,00:02:29,00:00:02,28,SAC,rebound,,,,,,,,,,Nemanja Bjelica,,,,,,rebound defensive,,,,,,Bjelica REBOUND (Off:0 Def:1)
