game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800667""",2018-2019 Regular Season,2019-01-17,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800667""",2018-2019 Regular Season,2019-01-17,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Joel Embiid,Myles Turner,,,,,,,Myles Turner,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Turner vs. Embiid: Tip to Simmons
"=""0021800667""",2018-2019 Regular Season,2019-01-17,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:11:37,00:00:23,00:00:23,7,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,Pullup Jump Shot,31,150,273,10.0,32.3,MISS Embiid 31' 3PT Pullup Jump Shot
"=""0021800667""",2018-2019 Regular Season,2019-01-17,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:11:34,00:00:26,00:00:03,8,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
"=""0021800667""",2018-2019 Regular Season,2019-01-17,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:11:30,00:00:30,00:00:04,9,IND,miss,,,,,,,,,,Darren Collison,0,,,missed,,unknown,1,-6,4,24.4,88.6,MISS Collison 1' Driving Floating Jump Shot
"=""0021800667""",2018-2019 Regular Season,2019-01-17,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:11:27,00:00:33,00:00:03,10,PHI,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
"=""0021800667""",2018-2019 Regular Season,2019-01-17,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:11:24,00:00:36,00:00:03,11,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Pullup Jump Shot,27,201,183,4.9,23.3,MISS Redick 27' 3PT Pullup Jump Shot
"=""0021800667""",2018-2019 Regular Season,2019-01-17,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:11:21,00:00:39,00:00:03,12,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:2)
"=""0021800667""",2018-2019 Regular Season,2019-01-17,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:11:00,00:01:00,00:00:21,13,IND,shot,Victor Oladipo,,,,,,,,,Myles Turner,3,,,made,,Jump Shot,27,81,253,33.1,63.7,Turner 27' 3PT Jump Shot (3 PTS) (Oladipo 1 AST)
"=""0021800667""",2018-2019 Regular Season,2019-01-17,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,3,00:10:43,00:01:17,00:00:17,15,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,Jump Shot,14,-124,68,37.4,11.8,MISS Embiid 14' Jump Shot
