game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800668""",2018-2019 Regular Season,2019-01-17,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800668""",2018-2019 Regular Season,2019-01-17,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,4,PHX,jump ball,,Deandre Ayton,Serge Ibaka,,,,,,,Serge Ibaka,,T.J. Warren,,,,jump ball,,,,,,Jump Ball Ibaka vs. Ayton: Tip to Warren
"=""0021800668""",2018-2019 Regular Season,2019-01-17,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:39,00:00:21,00:00:21,7,PHX,miss,,,,,,,,,,Devin Booker,0,,,missed,,unknown,13,14,129,23.6,17.9,MISS Booker 13' Driving Floating Jump Shot
"=""0021800668""",2018-2019 Regular Season,2019-01-17,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:37,00:00:23,00:00:02,8,TOR,rebound,,,,,,,,,,Pascal Siakam,,,,,,rebound defensive,,,,,,Siakam REBOUND (Off:0 Def:1)
"=""0021800668""",2018-2019 Regular Season,2019-01-17,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:21,00:00:39,00:00:16,9,TOR,miss,,,,,,,,,,Serge Ibaka,0,,,missed,,Jump Shot,20,123,153,37.3,73.7,MISS Ibaka 20' Jump Shot
"=""0021800668""",2018-2019 Regular Season,2019-01-17,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:18,00:00:42,00:00:03,10,PHX,rebound,,,,,,,,,,Mikal Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
"=""0021800668""",2018-2019 Regular Season,2019-01-17,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:02,00:00:58,00:00:16,11,PHX,miss,,,,Pascal Siakam,,,,,,Mikal Bridges,0,,,missed,,Jump Shot,23,226,-1,2.4,4.9,"MISS Bridges  3PT Jump Shot, Siakam BLOCK (1 BLK)"
"=""0021800668""",2018-2019 Regular Season,2019-01-17,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:10:59,00:01:01,00:00:03,13,TOR,rebound,,,,,,,,,,Fred VanVleet,,,,,,rebound defensive,,,,,,VanVleet REBOUND (Off:0 Def:1)
"=""0021800668""",2018-2019 Regular Season,2019-01-17,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:10:39,00:01:21,00:00:20,14,TOR,miss,,,,,,,,,,Danny Green,0,,,missed,,Jump Shot,23,232,1,48.2,88.9,MISS Green  3PT Jump Shot
"=""0021800668""",2018-2019 Regular Season,2019-01-17,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:10:38,00:01:22,00:00:01,15,TOR,rebound,,,,,,,,,,Serge Ibaka,,,,,,rebound offensive,,,,,,Ibaka REBOUND (Off:1 Def:0)
