game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800669""",2018-2019 Regular Season,2019-01-17,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800669""",2018-2019 Regular Season,2019-01-17,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Bobby Portis,Nikola Jokic,,,,,,,Nikola Jokic,,Lauri Markkanen,,,,jump ball,,,,,,Jump Ball Jokic vs. Portis: Tip to Markkanen
"=""0021800669""",2018-2019 Regular Season,2019-01-17,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:11:42,00:00:18,00:00:18,7,CHI,shot,Zach LaVine,,,,,,,,,Bobby Portis,2,,,made,,Jump Shot,15,-30,142,28.0,19.2,Portis 15' Jump Shot (2 PTS) (LaVine 1 AST)
"=""0021800669""",2018-2019 Regular Season,2019-01-17,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:11:15,00:00:45,00:00:27,9,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,Jump Shot,23,142,176,39.2,71.4,MISS Murray 23' Jump Shot
"=""0021800669""",2018-2019 Regular Season,2019-01-17,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:11:11,00:00:49,00:00:04,10,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:1)
"=""0021800669""",2018-2019 Regular Season,2019-01-17,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:11:09,00:00:51,00:00:02,11,DEN,foul,,,,,,,,Zach LaVine,,Paul Millsap,,,p.foul,,,p.foul,,,,,,Millsap P.FOUL (P1.T1) (K.Lane)
"=""0021800669""",2018-2019 Regular Season,2019-01-17,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:11:01,00:00:59,00:00:08,13,CHI,miss,,,,Torrey Craig,,,,,,Zach LaVine,0,,,missed,,Fadeaway Jumper,17,168,26,8.2,7.6,"MISS LaVine 17' Fadeaway Jumper, Craig BLOCK (1 BLK)"
"=""0021800669""",2018-2019 Regular Season,2019-01-17,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:10:57,00:01:03,00:00:04,15,DEN,rebound,,,,,,,,,,Torrey Craig,,,,,,rebound defensive,,,,,,Craig REBOUND (Off:0 Def:1)
"=""0021800669""",2018-2019 Regular Season,2019-01-17,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:10:45,00:01:15,00:00:12,16,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,Hook Shot,4,-3,43,24.7,84.7,MISS Jokic 4' Hook Shot
"=""0021800669""",2018-2019 Regular Season,2019-01-17,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,0,00:10:42,00:01:18,00:00:03,17,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:2)
