game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Marc Gasol,Al Horford,,,,,,,Al Horford,,Mike Conley,,,,jump ball,,,,,,Jump Ball Horford vs. Gasol: Tip to Conley
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:11:37,00:00:23,00:00:23,7,MEM,miss,,,,,,,,,,Garrett Temple,0,,,missed,,Jump Shot,26,169,194,8.1,24.4,MISS Temple 26' 3PT Jump Shot
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:11:36,00:00:24,00:00:01,8,BOS,rebound,,,,,,,,,,Marcus Morris,,,,,,rebound defensive,,,,,,Morris REBOUND (Off:0 Def:1)
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,2,00:11:14,00:00:46,00:00:22,9,BOS,shot,Jayson Tatum,,,,,,,,,Marcus Morris,2,,,made,,Fadeaway Jumper,21,-179,105,7.1,78.5,Morris 21' Fadeaway Jumper (2 PTS) (Tatum 1 AST)
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,2,00:11:04,00:00:56,00:00:10,11,MEM,miss,,,,,,,,,,Justin Holiday,0,,,missed,,Jump Shot,23,230,24,2.0,7.4,MISS Holiday  3PT Jump Shot
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,2,00:11:03,00:00:57,00:00:01,12,BOS,rebound,,,,,,,,,,Marcus Morris,,,,,,rebound defensive,,,,,,Morris REBOUND (Off:0 Def:2)
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,2,00:10:57,00:01:03,00:00:06,13,MEM,foul,,,,,,,,Jayson Tatum,,Garrett Temple,,,s.foul,,,s.foul,,,,,,Temple S.FOUL (P1.T1) (B.Taylor)
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,3,00:10:57,00:01:03,00:00:00,15,BOS,free throw,,,,,,,1,,2,Jayson Tatum,1,,,made,,Free Throw 1 of 2,,,,,,Tatum Free Throw 1 of 2 (1 PTS)
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:10:57,00:01:03,00:00:00,16,BOS,free throw,,,,,,,2,,2,Jayson Tatum,1,,,made,,Free Throw 2 of 2,,,,,,Tatum Free Throw 2 of 2 (2 PTS)
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:10:44,00:01:16,00:00:13,17,MEM,miss,,,,,,,,,,Mike Conley,0,,,missed,,Jump Shot,16,17,164,23.3,21.4,MISS Conley 16' Jump Shot
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:10:43,00:01:17,00:00:01,18,MEM,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound offensive,,,,,,Holiday REBOUND (Off:1 Def:0)
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:10:39,00:01:21,00:00:04,19,MEM,miss,,,,,,,,,,Jaren Jackson Jr.,0,,,missed,,unknown,6,-22,51,27.2,10.1,MISS Jackson Jr. 6' Driving Floating Jump Shot
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:10:38,00:01:22,00:00:01,20,MEM,rebound,,,,,,,,,,Jaren Jackson Jr.,,,,,,rebound offensive,,,,,,Jackson Jr. REBOUND (Off:1 Def:0)
"=""0021800671""",2018-2019 Regular Season,2019-01-18,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,2,4,00:10:35,00:01:25,00:00:03,21,MEM,shot,,,,,,,,,,Jaren Jackson Jr.,2,,,made,,Putback Layup,2,1,22,24.9,7.2,Jackson Jr. 2' Putback Layup (2 PTS)
