game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800682""",2018-2019 Regular Season,2019-01-19,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Jonathan Isaac,Jonathon Simmons,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800682""",2018-2019 Regular Season,2019-01-19,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Jonathan Isaac,Jonathon Simmons,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Brook Lopez,Nikola Vucevic,,,,,,,Nikola Vucevic,,Jonathon Simmons,,,,jump ball,,,,,,Jump Ball Vucevic vs. Lopez: Tip to Simmons
"=""0021800682""",2018-2019 Regular Season,2019-01-19,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Jonathan Isaac,Jonathon Simmons,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:47,00:00:13,00:00:13,7,ORL,shot,Nikola Vucevic,,,,,,,,,Evan Fournier,2,,,made,,unknown,10,67,80,31.7,81.0,Fournier 10' Driving Floating Jump Shot (2 PTS) (Vucevic 1 AST)
"=""0021800682""",2018-2019 Regular Season,2019-01-19,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Jonathan Isaac,Jonathon Simmons,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:31,00:00:29,00:00:16,9,ORL,foul,,,,,,,,Eric Bledsoe,,D.J. Augustin,,,s.foul,,,s.foul,,,,,,Augustin S.FOUL (P1.T1) (S.Wright)
"=""0021800682""",2018-2019 Regular Season,2019-01-19,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Jonathan Isaac,Jonathon Simmons,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:31,00:00:29,00:00:00,11,MIL,free throw,,,,,,,1,,2,Eric Bledsoe,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Bledsoe Free Throw 1 of 2
"=""0021800682""",2018-2019 Regular Season,2019-01-19,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Jonathan Isaac,Jonathon Simmons,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:31,00:00:29,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Bucks Rebound
"=""0021800682""",2018-2019 Regular Season,2019-01-19,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Jonathan Isaac,Jonathon Simmons,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,1,2,00:11:31,00:00:29,00:00:00,13,MIL,free throw,,,,,,,2,,2,Eric Bledsoe,1,,,made,,Free Throw 2 of 2,,,,,,Bledsoe Free Throw 2 of 2 (1 PTS)
"=""0021800682""",2018-2019 Regular Season,2019-01-19,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Jonathan Isaac,Jonathon Simmons,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,1,2,00:11:19,00:00:41,00:00:12,14,ORL,miss,,,,Brook Lopez,,,,,,Evan Fournier,0,,,missed,,unknown,10,60,79,31.0,81.1,"Lopez BLOCK (1 BLK), MISS Fournier 10' Driving Floating Jump Shot"
"=""0021800682""",2018-2019 Regular Season,2019-01-19,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Jonathan Isaac,Jonathon Simmons,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,1,2,00:11:19,00:00:41,00:00:00,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,MAGIC Rebound
"=""0021800682""",2018-2019 Regular Season,2019-01-19,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Jonathan Isaac,Jonathon Simmons,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,1,2,00:11:11,00:00:49,00:00:08,17,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Jump Shot,13,-39,120,21.1,77.0,MISS Vucevic 13' Jump Shot
