game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800685,2018-2019 Regular Season,1/19/2019,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800685,2018-2019 Regular Season,1/19/2019,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,0:12:00,0:00:00,0:00:00,4,CHI,jump ball,,Hassan Whiteside,Robin Lopez,,,,,,,Robin Lopez,,Lauri Markkanen,,,,jump ball,,,,,,Jump Ball Lopez vs. Whiteside: Tip to Markkanen
0021800685,2018-2019 Regular Season,1/19/2019,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,0:11:48,0:00:12,0:00:12,7,CHI,miss,,,,,,,,,,Zach LaVine,0,,,missed,,Jump Shot,20,-98,180,15.2,71,MISS LaVine 20' Jump Shot
0021800685,2018-2019 Regular Season,1/19/2019,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,0:11:45,0:00:15,0:00:03,8,MIA,rebound,,,,,,,,,,James Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
0021800685,2018-2019 Regular Season,1/19/2019,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,0:11:39,0:00:21,0:00:06,9,MIA,miss,,,,,,,,,,Rodney McGruder,0,,,missed,,Floating Jump Shot,10,8,95,24.2,14.5,MISS McGruder 10' Floating Jump Shot
0021800685,2018-2019 Regular Season,1/19/2019,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,0:11:34,0:00:26,0:00:05,10,CHI,rebound,,,,,,,,,,Kris Dunn,,,,,,rebound defensive,,,,,,Dunn REBOUND (Off:0 Def:1)
0021800685,2018-2019 Regular Season,1/19/2019,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,3,0:11:15,0:00:45,0:00:19,12,CHI,shot,Zach LaVine,,,,,,,,,Robin Lopez,3,,,made,,Jump Shot,26,-67,248,18.3,64.2,Lopez 26' 3PT Jump Shot (3 PTS) (LaVine 1 AST)
0021800685,2018-2019 Regular Season,1/19/2019,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,3,0:10:55,0:01:05,0:00:20,14,MIA,shot,Rodney McGruder,,,,,,,,,James Johnson,2,,,made,,Layup,2,4,17,24.6,6.7,Johnson 2' Layup (2 PTS) (McGruder 1 AST)
0021800685,2018-2019 Regular Season,1/19/2019,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,3,0:10:55,0:01:05,0:00:00,16,CHI,foul,,,,,,,,James Johnson,,Zach LaVine,,,s.foul,,,s.foul,,,,,,LaVine S.FOUL (P1.T1) (T.Ford)
0021800685,2018-2019 Regular Season,1/19/2019,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,3,0:10:55,0:01:05,0:00:00,18,MIA,free throw,,,,,,,1,,1,James Johnson,1,,,made,,Free Throw 1 of 1,,,,,,Johnson Free Throw 1 of 1 (3 PTS)
