game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800687""",2018-2019 Regular Season,2019-01-19,Rodney Hood,Cedi Osman,Ante Zizic,Cameron Payne,Collin Sexton,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800687""",2018-2019 Regular Season,2019-01-19,Rodney Hood,Cedi Osman,Ante Zizic,Cameron Payne,Collin Sexton,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Ante Zizic,Nikola Jokic,,,,,,,Nikola Jokic,,Cedi Osman,,,,jump ball,,,,,,Jump Ball Jokic vs. Zizic: Tip to Osman
"=""0021800687""",2018-2019 Regular Season,2019-01-19,Rodney Hood,Cedi Osman,Ante Zizic,Cameron Payne,Collin Sexton,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:11:42,00:00:18,00:00:18,7,CLE,miss,,,,,,,,,,Cedi Osman,0,,,missed,,unknown,7,29,64,22.1,11.4,MISS Osman 7' Driving Floating Jump Shot
"=""0021800687""",2018-2019 Regular Season,2019-01-19,Rodney Hood,Cedi Osman,Ante Zizic,Cameron Payne,Collin Sexton,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:11:39,00:00:21,00:00:03,8,DEN,rebound,,,,,,,,,,Jamal Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
"=""0021800687""",2018-2019 Regular Season,2019-01-19,Rodney Hood,Cedi Osman,Ante Zizic,Cameron Payne,Collin Sexton,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:11:30,00:00:30,00:00:09,9,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,Jump Shot,25,143,201,39.3,68.9,MISS Jokic 25' 3PT Jump Shot
"=""0021800687""",2018-2019 Regular Season,2019-01-19,Rodney Hood,Cedi Osman,Ante Zizic,Cameron Payne,Collin Sexton,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:11:29,00:00:31,00:00:01,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,NUGGETS Rebound
"=""0021800687""",2018-2019 Regular Season,2019-01-19,Rodney Hood,Cedi Osman,Ante Zizic,Cameron Payne,Collin Sexton,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,0,00:11:29,00:00:31,00:00:00,11,CLE,foul,,,,,,,,Paul Millsap,,Cedi Osman,,,l.b.foul,,,l.b.foul,,,,,,Osman L.B.FOUL (P1.T1) (R.Mott)
"=""0021800687""",2018-2019 Regular Season,2019-01-19,Rodney Hood,Cedi Osman,Ante Zizic,Cameron Payne,Collin Sexton,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,0,2,00:11:22,00:00:38,00:00:07,13,DEN,shot,Nikola Jokic,,,,,,,,,Jamal Murray,2,,,made,,Turnaround Fadeaway ,12,58,108,30.8,78.2,Murray 12' Turnaround Fadeaway (2 PTS) (Jokic 1 AST)
"=""0021800687""",2018-2019 Regular Season,2019-01-19,Rodney Hood,Cedi Osman,Ante Zizic,Cameron Payne,Collin Sexton,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,2,00:11:02,00:00:58,00:00:20,15,CLE,shot,,,,,,,,,,Cedi Osman,2,,,made,,Pullup Jump Shot,16,-54,153,30.4,20.3,Osman 16' Pullup Jump Shot (2 PTS)
"=""0021800687""",2018-2019 Regular Season,2019-01-19,Rodney Hood,Cedi Osman,Ante Zizic,Cameron Payne,Collin Sexton,Torrey Craig,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,1,2,5,00:10:37,00:01:23,00:00:25,16,DEN,shot,Nikola Jokic,,,,,,,,,Malik Beasley,3,,,made,,Jump Shot,25,-118,220,13.2,67.0,Beasley 25' 3PT Jump Shot (3 PTS) (Jokic 2 AST)
