game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800693,2018-2019 Regular Season,1/21/2019,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800693,2018-2019 Regular Season,1/21/2019,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,0:12:00,0:00:00,0:00:00,4,WAS,jump ball,,Zaza Pachulia,Thomas Bryant,,,,,,,Thomas Bryant,,Jeff Green,,,,jump ball,,,,,,Jump Ball Bryant vs. Pachulia: Tip to Green
0021800693,2018-2019 Regular Season,1/21/2019,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,2,0:11:47,0:00:13,0:00:13,7,WAS,shot,Bradley Beal,,,,,,,,,Tomas Satoransky,2,,,made,,unknown,1,14,2,26.4,88.8,Satoransky 1' Cutting Layup Shot (2 PTS) (Beal 1 AST)
0021800693,2018-2019 Regular Season,1/21/2019,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,2,0:11:27,0:00:33,0:00:20,9,DET,miss,,,,,,,,,,Bruce Brown,0,,,missed,,unknown,17,123,122,12.7,17.2,MISS Brown 17' Driving Floating Jump Shot
0021800693,2018-2019 Regular Season,1/21/2019,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,2,0:11:24,0:00:36,0:00:03,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,WIZARDS Rebound
0021800693,2018-2019 Regular Season,1/21/2019,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,2,0:11:14,0:00:46,0:00:10,11,WAS,miss,,,,,,,,,,Jeff Green,0,,,missed,,Jump Shot,15,145,50,39.5,84,MISS Green 15' Jump Shot
0021800693,2018-2019 Regular Season,1/21/2019,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,2,0:11:11,0:00:49,0:00:03,12,WAS,rebound,,,,,,,,,,Thomas Bryant,,,,,,rebound offensive,,,,,,Bryant REBOUND (Off:1 Def:0)
0021800693,2018-2019 Regular Season,1/21/2019,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,4,0:11:09,0:00:51,0:00:02,13,WAS,shot,Bradley Beal,,,,,,,,,Jeff Green,2,,,made,,Alley Oop Layup,2,14,10,26.4,88,Green 2' Alley Oop Layup (2 PTS) (Beal 2 AST)
0021800693,2018-2019 Regular Season,1/21/2019,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,4,0:10:56,0:01:04,0:00:13,15,DET,turnover,,,,,,,,,,Blake Griffin,,,,,,unknown,,,,,,Griffin Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
0021800693,2018-2019 Regular Season,1/21/2019,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,4,0:10:46,0:01:14,0:00:10,16,WAS,turnover,,,,,,,,,,Jeff Green,,,bad pass ,,Bruce Brown,bad pass ,,,,,,"Brown STEAL (1 STL), Green Bad Pass Turnover (P1.T1)"
