game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800694,2018-2019 Regular Season,1/21/2019,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Jalen Brunson,Luka Doncic,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800694,2018-2019 Regular Season,1/21/2019,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Jalen Brunson,Luka Doncic,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,0:12:00,0:00:00,0:00:00,4,DAL,jump ball,,DeAndre Jordan,Brook Lopez,,,,,,,Brook Lopez,,Jalen Brunson,,,,jump ball,,,,,,Jump Ball Lopez vs. Jordan: Tip to Brunson
0021800694,2018-2019 Regular Season,1/21/2019,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Jalen Brunson,Luka Doncic,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,0:11:41,0:00:19,0:00:19,7,DAL,miss,,,,Brook Lopez,,,,,,Luka Doncic,0,,,missed,,Layup,2,6,18,24.4,6.8,"MISS Doncic 2' Layup, Lopez BLOCK (1 BLK)"
0021800694,2018-2019 Regular Season,1/21/2019,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Jalen Brunson,Luka Doncic,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,0:11:38,0:00:22,0:00:03,9,MIL,rebound,,,,,,,,,,Brook Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
0021800694,2018-2019 Regular Season,1/21/2019,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Jalen Brunson,Luka Doncic,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,0:11:34,0:00:26,0:00:04,10,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Running Finger Roll Layup,2,2,24,25.2,86.6,Antetokounmpo 2' Running Finger Roll Layup (2 PTS)
0021800694,2018-2019 Regular Season,1/21/2019,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Jalen Brunson,Luka Doncic,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,0:11:24,0:00:36,0:00:10,11,DAL,miss,,,,,,,,,,Luka Doncic,0,,,missed,,unknown,18,-20,175,27,22.5,MISS Doncic 18' Driving Floating Jump Shot
0021800694,2018-2019 Regular Season,1/21/2019,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Jalen Brunson,Luka Doncic,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,0:11:21,0:00:39,0:00:03,12,MIL,rebound,,,,,,,,,,Brook Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:2)
0021800694,2018-2019 Regular Season,1/21/2019,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Jalen Brunson,Luka Doncic,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,0:11:18,0:00:42,0:00:03,13,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Running Jump Shot,27,157,221,40.7,66.9,MISS Bledsoe 27' 3PT Running Jump Shot
0021800694,2018-2019 Regular Season,1/21/2019,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Jalen Brunson,Luka Doncic,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,0:11:15,0:00:45,0:00:03,14,DAL,rebound,,,,,,,,,,Wesley Matthews,,,,,,rebound defensive,,,,,,Matthews REBOUND (Off:0 Def:1)
0021800694,2018-2019 Regular Season,1/21/2019,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Jalen Brunson,Luka Doncic,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,0:11:07,0:00:53,0:00:08,15,DAL,miss,,,,Brook Lopez,,,,,,Wesley Matthews,0,,,missed,,unknown,5,-18,46,26.8,9.6,"MISS Matthews 5' Driving Layup, Lopez BLOCK (2 BLK)"
