game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Jahlil Okafor,Jaren Jackson Jr.,,,,,,,Jaren Jackson Jr.,,Marc Gasol,,,,jump ball,,,,,,Jump Ball Jackson Jr. vs. Okafor: Tip to Gasol
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,0,2,00:11:38,00:00:22,00:00:22,7,MEM,shot,Mike Conley,,,,,,,,,Marc Gasol,2,,,made,,Jump Shot,19,-109,152,14.1,73.8,Gasol 19' Jump Shot (2 PTS) (Conley 1 AST)
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,0,2,00:11:15,00:00:45,00:00:23,9,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,Jump Shot,26,-94,238,34.4,28.8,MISS Randle 26' 3PT Jump Shot
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,0,2,00:11:12,00:00:48,00:00:03,10,MEM,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,0,2,00:11:01,00:00:59,00:00:11,11,MEM,miss,,,,,,,,,,Garrett Temple,0,,,missed,,Jump Shot,23,229,-13,47.9,90.3,MISS Temple  3PT Jump Shot
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,0,2,00:10:58,00:01:02,00:00:03,12,NOP,rebound,,,,,,,,,,Jrue Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,0,2,00:10:48,00:01:12,00:00:10,13,MEM,foul,,,,,,,,Jahlil Okafor,,Marc Gasol,,,p.foul,,,p.foul,,,,,,Gasol P.FOUL (P1.T1) (S.Foster)
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,2,2,00:10:36,00:01:24,00:00:12,15,NOP,shot,Julius Randle,,,,,,,,,E'Twaun Moore,2,,,made,,unknown,7,-24,62,27.4,11.2,Moore 7' Driving Floating Jump Shot (2 PTS) (Randle 1 AST)
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,2,5,00:10:27,00:01:33,00:00:09,17,MEM,shot,Mike Conley,,,,,,,,,Justin Holiday,3,,,made,,Running Jump Shot,23,223,69,47.3,82.1,Holiday  3PT Running Jump Shot (3 PTS) (Conley 2 AST)
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,2,5,00:10:14,00:01:46,00:00:13,19,NOP,miss,,,,,,,,,,Jrue Holiday,0,,,missed,,unknown,8,-57,60,30.7,11.0,MISS Holiday 8' Driving Floating Bank Jump Shot
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,2,5,00:10:11,00:01:49,00:00:03,20,MEM,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:2)
"=""0021800697""",2018-2019 Regular Season,2019-01-21,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,1,2,7,00:10:06,00:01:54,00:00:05,21,MEM,shot,Mike Conley,,,,,,,,,Jaren Jackson Jr.,2,,,made,,unknown,0,0,-2,25.0,89.2,Jackson Jr.  Driving Dunk (2 PTS) (Conley 3 AST)
