game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800701""",2018-2019 Regular Season,2019-01-21,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800701""",2018-2019 Regular Season,2019-01-21,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,DeMarcus Cousins,Tyson Chandler,,,,,,,Tyson Chandler,,Draymond Green,,,,jump ball,,,,,,Jump Ball Chandler vs. Cousins: Tip to Green
"=""0021800701""",2018-2019 Regular Season,2019-01-21,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,1,0,0,00:11:48,00:00:12,00:00:12,7,LAL,violation,,,,,,,,,,Tyson Chandler,,,,,,violation:kicked ball,,,,,,Chandler Violation:Kicked Ball (J.Phillips)
"=""0021800701""",2018-2019 Regular Season,2019-01-21,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,1,2,0,00:11:46,00:00:14,00:00:02,8,GSW,shot,Kevin Durant,,,,,,,,,Klay Thompson,2,,,made,,Pullup Jump Shot,20,113,170,13.7,22.0,Thompson 20' Pullup Jump Shot (2 PTS) (Durant 1 AST)
"=""0021800701""",2018-2019 Regular Season,2019-01-21,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,1,2,0,00:11:24,00:00:36,00:00:22,10,LAL,miss,,,,Kevin Durant,,,,,,Tyson Chandler,0,,,missed,,Layup,6,-3,56,24.7,83.4,"Durant BLOCK (1 BLK), MISS Chandler 6' Layup"
"=""0021800701""",2018-2019 Regular Season,2019-01-21,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,1,2,0,00:11:24,00:00:36,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,LAKERS Rebound
"=""0021800701""",2018-2019 Regular Season,2019-01-21,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,1,2,0,00:11:19,00:00:41,00:00:05,14,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Fadeaway Jumper,18,-97,147,15.3,74.3,MISS Kuzma 18' Fadeaway Jumper
"=""0021800701""",2018-2019 Regular Season,2019-01-21,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,1,2,0,00:11:18,00:00:42,00:00:01,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,LAKERS Rebound
"=""0021800701""",2018-2019 Regular Season,2019-01-21,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,1,2,0,00:11:18,00:00:42,00:00:00,16,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,LAKERS Turnover: Shot Clock (T#1)
"=""0021800701""",2018-2019 Regular Season,2019-01-21,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,1,2,0,00:11:01,00:00:59,00:00:17,17,LAL,foul,,,,,,,,DeMarcus Cousins,,Tyson Chandler,,,s.foul,,,s.foul,,,,,,Chandler S.FOUL (P1.T1) (T.Ford)
