game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800702""",2018-2019 Regular Season,2019-01-22,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800702""",2018-2019 Regular Season,2019-01-22,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,Willie Cauley-Stein,Serge Ibaka,,,,,,,Serge Ibaka,,Yogi Ferrell,,,,jump ball,,,,,,Jump Ball Ibaka vs. Cauley-Stein: Tip to Ferrell
"=""0021800702""",2018-2019 Regular Season,2019-01-22,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:49,00:00:11,00:00:11,7,TOR,foul,,,,,,,,Yogi Ferrell,,Kyle Lowry,,,p.foul,,,p.foul,,,,,,Lowry P.FOUL (P1.T1) (K.Fitzgerald)
"=""0021800702""",2018-2019 Regular Season,2019-01-22,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:39,00:00:21,00:00:10,9,SAC,miss,,,,,,,,,,Buddy Hield,0,,,missed,,Driving Finger Roll Layup,2,22,8,22.8,5.8,MISS Hield 2' Driving Finger Roll Layup
"=""0021800702""",2018-2019 Regular Season,2019-01-22,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:38,00:00:22,00:00:01,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Kings Rebound
"=""0021800702""",2018-2019 Regular Season,2019-01-22,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:32,00:00:28,00:00:06,12,SAC,miss,,,,,,,,,,Yogi Ferrell,0,,,missed,,unknown,17,-156,63,40.6,11.3,MISS Ferrell 17' Driving Floating Jump Shot
"=""0021800702""",2018-2019 Regular Season,2019-01-22,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:30,00:00:30,00:00:02,13,TOR,rebound,,,,,,,,,,Serge Ibaka,,,,,,rebound defensive,,,,,,Ibaka REBOUND (Off:0 Def:1)
"=""0021800702""",2018-2019 Regular Season,2019-01-22,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:11,00:00:49,00:00:19,14,TOR,miss,,,,,,,,,,Pascal Siakam,0,,,missed,,Driving Finger Roll Layup,4,21,28,27.1,86.2,MISS Siakam 4' Driving Finger Roll Layup
"=""0021800702""",2018-2019 Regular Season,2019-01-22,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,0,0,00:11:09,00:00:51,00:00:02,15,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021800702""",2018-2019 Regular Season,2019-01-22,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,1,2,0,00:11:02,00:00:58,00:00:07,16,SAC,shot,Bogdan Bogdanovic,,,,,,,,,Marvin Bagley III,2,,,made,,Hook Shot,2,-24,6,27.4,5.6,Bagley III 2' Hook Shot (2 PTS) (Bogdanovic 1 AST)
