game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800708""",2018-2019 Regular Season,2019-01-23,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800708""",2018-2019 Regular Season,2019-01-23,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Nikola Vucevic,Jarrett Allen,,,,,,,Jarrett Allen,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Allen vs. Vucevic: Tip to Russell
"=""0021800708""",2018-2019 Regular Season,2019-01-23,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:47,00:00:13,00:00:13,7,BKN,turnover,,,,,,,,,,D'Angelo Russell,,,bad pass ,,D.J. Augustin,bad pass ,,,,,,"Augustin STEAL (1 STL), Russell Bad Pass Turnover (P1.T1)"
"=""0021800708""",2018-2019 Regular Season,2019-01-23,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,3,0,00:11:33,00:00:27,00:00:14,9,ORL,shot,Aaron Gordon,,,,,,,,,Jonathan Isaac,3,,,made,,Jump Shot,23,-228,-18,47.8,3.2,Isaac  3PT Jump Shot (3 PTS) (Gordon 1 AST)
"=""0021800708""",2018-2019 Regular Season,2019-01-23,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,3,0,00:11:24,00:00:36,00:00:09,11,BKN,miss,,,,,,,,,,Joe Harris,0,,,missed,,Pullup Jump Shot,26,-47,258,20.3,63.2,MISS Harris 26' 3PT Pullup Jump Shot
"=""0021800708""",2018-2019 Regular Season,2019-01-23,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,3,0,00:11:20,00:00:40,00:00:04,12,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021800708""",2018-2019 Regular Season,2019-01-23,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,5,0,00:11:14,00:00:46,00:00:06,13,ORL,shot,,,,,,,,,,D.J. Augustin,2,,,made,,Driving Reverse Layup,3,27,4,22.3,5.4,Augustin 3' Driving Reverse Layup (2 PTS)
"=""0021800708""",2018-2019 Regular Season,2019-01-23,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,5,0,00:10:58,00:01:02,00:00:16,14,BKN,miss,,,,,,,,,,Rodions Kurucs,0,,,missed,,Jump Shot,26,-122,226,12.8,66.4,MISS Kurucs 26' 3PT Jump Shot
"=""0021800708""",2018-2019 Regular Season,2019-01-23,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,5,0,00:10:55,00:01:05,00:00:03,15,ORL,rebound,,,,,,,,,,Aaron Gordon,,,,,,rebound defensive,,,,,,Gordon REBOUND (Off:0 Def:1)
"=""0021800708""",2018-2019 Regular Season,2019-01-23,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,5,0,00:10:49,00:01:11,00:00:06,17,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,Pullup Jump Shot,10,58,84,19.2,13.4,MISS Gordon 10' Pullup Jump Shot
