game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800709""",2018-2019 Regular Season,2019-01-23,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800709""",2018-2019 Regular Season,2019-01-23,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Marcin Gortat,Hassan Whiteside,,,,,,,Hassan Whiteside,,Tobias Harris,,,,jump ball,,,,,,Jump Ball Whiteside vs. Gortat: Tip to Harris
"=""0021800709""",2018-2019 Regular Season,2019-01-23,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,0,00:11:44,00:00:16,00:00:16,7,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,26,-165,200,41.5,25.0,MISS Harris 26' 3PT Jump Shot
"=""0021800709""",2018-2019 Regular Season,2019-01-23,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,0,00:11:40,00:00:20,00:00:04,8,LAC,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound offensive,,,,,,Gortat REBOUND (Off:1 Def:0)
"=""0021800709""",2018-2019 Regular Season,2019-01-23,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,0,00:11:37,00:00:23,00:00:03,9,LAC,miss,,,,,,,,,,Marcin Gortat,0,,,missed,,Turnaround Jump Shot,5,-9,53,25.9,10.3,MISS Gortat 5' Turnaround Jump Shot
"=""0021800709""",2018-2019 Regular Season,2019-01-23,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,0,00:11:34,00:00:26,00:00:03,10,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:0 Def:1)
"=""0021800709""",2018-2019 Regular Season,2019-01-23,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,2,00:11:19,00:00:41,00:00:15,11,MIA,shot,Josh Richardson,,,,,,,,,Justise Winslow,2,,,made,,Layup,3,-29,14,22.1,87.6,Winslow 3' Layup (2 PTS) (Richardson 1 AST)
"=""0021800709""",2018-2019 Regular Season,2019-01-23,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,2,00:11:07,00:00:53,00:00:12,13,LAC,turnover,,,,,,,,,,Avery Bradley,,,lost ball ,,Josh Richardson,lost ball ,,,,,,"Bradley Lost Ball Turnover (P1.T1), Richardson STEAL (1 STL)"
"=""0021800709""",2018-2019 Regular Season,2019-01-23,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,4,00:10:53,00:01:07,00:00:14,14,MIA,shot,Justise Winslow,,,,,,,,,Hassan Whiteside,2,,,made,,Alley Oop Layup,4,18,35,26.8,85.5,Whiteside 4' Alley Oop Layup (2 PTS) (Winslow 1 AST)
"=""0021800709""",2018-2019 Regular Season,2019-01-23,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,4,00:10:40,00:01:20,00:00:13,16,LAC,shot,,,,,,,,,,Tobias Harris,2,,,made,,Pullup Jump Shot,19,103,155,14.7,20.5,Harris 19' Pullup Jump Shot (2 PTS)
