game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800710""",2018-2019 Regular Season,2019-01-23,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800710""",2018-2019 Regular Season,2019-01-23,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,4,HOU,jump ball,,Kenneth Faried,Noah Vonleh,,,,,,,Noah Vonleh,,PJ Tucker,,,,jump ball,,,,,,Jump Ball Vonleh vs. Faried: Tip to Tucker
"=""0021800710""",2018-2019 Regular Season,2019-01-23,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,1,0,0,00:11:47,00:00:13,00:00:13,7,HOU,miss,,,,,,,,,,PJ Tucker,0,,,missed,,Jump Shot,24,241,14,0.9,6.4,MISS Tucker 24' 3PT Jump Shot
"=""0021800710""",2018-2019 Regular Season,2019-01-23,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,1,0,0,00:11:45,00:00:15,00:00:02,8,NYK,rebound,,,,,,,,,,Lance Thomas,,,,,,rebound defensive,,,,,,Thomas REBOUND (Off:0 Def:1)
"=""0021800710""",2018-2019 Regular Season,2019-01-23,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,1,0,0,00:11:31,00:00:29,00:00:14,9,NYK,miss,,,,Kenneth Faried,,,,,,Lance Thomas,0,,,missed,,Layup,1,-5,2,24.5,88.8,"Faried BLOCK (1 BLK), MISS Thomas 1' Layup"
"=""0021800710""",2018-2019 Regular Season,2019-01-23,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,1,0,0,00:11:29,00:00:31,00:00:02,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,KNICKS Rebound
"=""0021800710""",2018-2019 Regular Season,2019-01-23,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,1,0,0,00:11:27,00:00:33,00:00:02,13,NYK,miss,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,Jump Shot,18,-174,-25,7.6,91.5,MISS Hardaway Jr. 18' Jump Shot
"=""0021800710""",2018-2019 Regular Season,2019-01-23,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,1,0,0,00:11:25,00:00:35,00:00:02,14,HOU,rebound,,,,,,,,,,James Harden,,,,,,rebound defensive,,,,,,Harden REBOUND (Off:0 Def:1)
"=""0021800710""",2018-2019 Regular Season,2019-01-23,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,1,3,0,00:11:05,00:00:55,00:00:20,15,HOU,shot,,,,,,,,,,James Harden,3,,,made,,Jump Shot,26,74,253,17.6,30.3,Harden 26' 3PT Jump Shot (3 PTS)
"=""0021800710""",2018-2019 Regular Season,2019-01-23,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,1,3,0,00:11:05,00:00:55,00:00:00,16,NYK,foul,,,,,,,,James Harden,,Emmanuel Mudiay,,,s.foul,,,s.foul,,,,,,Mudiay S.FOUL (P1.T1) (B.Barnaky)
