game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,LaMarcus Aldridge,Joel Embiid,,,,,,,Joel Embiid,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Embiid vs. Aldridge: Tip to Simmons
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:47,00:00:13,00:00:13,7,PHI,miss,,,,,,,,,,Wilson Chandler,0,,,missed,,Jump Shot,17,-27,164,22.3,72.6,MISS Chandler 17' Jump Shot
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:43,00:00:17,00:00:04,8,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound offensive,,,,,,Simmons REBOUND (Off:1 Def:0)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:41,00:00:19,00:00:02,9,PHI,miss,,,,LaMarcus Aldridge,,,,,,Ben Simmons,0,,,missed,,Driving Finger Roll Layup,2,-20,0,23.0,89.0,"Aldridge BLOCK (1 BLK), MISS Simmons 2' Driving Finger Roll Layup"
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:38,00:00:22,00:00:03,11,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound offensive,,,,,,Simmons REBOUND (Off:2 Def:0)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:35,00:00:25,00:00:03,12,PHI,miss,,,,,,,,,,Ben Simmons,0,,,missed,,Driving Hook Shot,5,41,34,29.1,85.6,MISS Simmons 5' Driving Hook Shot
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:30,00:00:30,00:00:05,13,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound offensive,,,,,,Embiid REBOUND (Off:1 Def:0)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:30,00:00:30,00:00:00,14,PHI,shot,,,,,,,,,,Joel Embiid,2,,,made,,unknown,1,0,-6,25.0,89.6,Embiid 1' Tip Layup Shot (2 PTS)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:20,00:00:40,00:00:10,15,SAS,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Pullup Jump Shot,15,-63,136,31.3,18.6,MISS DeRozan 15' Pullup Jump Shot
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:17,00:00:43,00:00:03,16,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:1 Def:1)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,5,00:11:12,00:00:48,00:00:05,17,PHI,shot,Ben Simmons,,,,,,,,,Joel Embiid,3,,,made,,Jump Shot,26,-57,252,19.3,63.8,Embiid 26' 3PT Jump Shot (5 PTS) (Simmons 1 AST)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,5,00:11:00,00:01:00,00:00:12,19,SAS,shot,Rudy Gay,,,,,,,,,Bryn Forbes,3,,,made,,Jump Shot,26,158,206,9.2,25.6,Forbes 26' 3PT Jump Shot (3 PTS) (Gay 1 AST)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,8,00:10:50,00:01:10,00:00:10,21,PHI,shot,Ben Simmons,,,,,,,,,JJ Redick,3,,,made,,Pullup Jump Shot,25,-110,221,14.0,66.9,Redick 25' 3PT Pullup Jump Shot (3 PTS) (Simmons 2 AST)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,8,00:10:32,00:01:28,00:00:18,23,SAS,turnover,,,,,,,,,,DeMar DeRozan,,,lost ball ,,Wilson Chandler,lost ball ,,,,,,"DeRozan Lost Ball Turnover (P1.T1), Chandler STEAL (1 STL)"
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:10:27,00:01:33,00:00:05,25,PHI,shot,Ben Simmons,,,,,,,,,Joel Embiid,2,,,made,,Running Dunk,1,-9,2,24.1,88.8,Embiid 1' Running Dunk (7 PTS) (Simmons 3 AST)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:10:08,00:01:52,00:00:19,27,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Jump Shot,17,-55,166,30.5,21.6,MISS Aldridge 17' Jump Shot
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:10:06,00:01:54,00:00:02,28,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:1 Def:2)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:09:57,00:02:03,00:00:09,29,SAS,foul,,,,,,,,JJ Redick,,Bryn Forbes,,,p.foul,,,p.foul,,,,,,Forbes P.FOUL (P1.T1) (T.Washington)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:09:42,00:02:18,00:00:15,31,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,unknown,3,26,2,27.6,88.8,MISS Embiid 3' Driving Layup
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:09:38,00:02:22,00:00:04,32,SAS,rebound,,,,,,,,,,Rudy Gay,,,,,,rebound defensive,,,,,,Gay REBOUND (Off:0 Def:1)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:09:30,00:02:30,00:00:08,33,SAS,miss,,,,,,,,,,Bryn Forbes,0,,,missed,,unknown,8,25,72,22.5,12.2,MISS Forbes 8' Driving Floating Jump Shot
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:09:28,00:02:32,00:00:02,34,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:1 Def:3)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:09:22,00:02:38,00:00:06,35,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,Layup,4,37,18,28.7,87.2,MISS Embiid 4' Layup
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:09:20,00:02:40,00:00:02,36,SAS,rebound,,,,,,,,,,DeMar DeRozan,,,,,,rebound defensive,,,,,,DeRozan REBOUND (Off:0 Def:1)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:09:14,00:02:46,00:00:06,37,SAS,miss,,,,,,,,,,Rudy Gay,0,,,missed,,unknown,9,-90,4,34.0,5.4,MISS Gay 9' Driving Floating Jump Shot
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:09:11,00:02:49,00:00:03,38,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:2 Def:1)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:08:58,00:03:02,00:00:13,39,SAS,foul,,,,,,,,Ben Simmons,,Rudy Gay,,,s.foul,,,s.foul,,,,,,Gay S.FOUL (P1.T2) (C.Blair)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:08:58,00:03:02,00:00:00,41,PHI,free throw,,,,,,,1,,2,Ben Simmons,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Simmons Free Throw 1 of 2
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,10,00:08:58,00:03:02,00:00:00,42,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,76ERS Rebound
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,11,00:08:58,00:03:02,00:00:00,43,PHI,free throw,,,,,,,2,,2,Ben Simmons,1,,,made,,Free Throw 2 of 2,,,,,,Simmons Free Throw 2 of 2 (1 PTS)
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,11,00:08:34,00:03:26,00:00:24,44,SAS,miss,,,,,,,,,,Rudy Gay,0,,,missed,,Jump Shot,22,-223,6,47.3,5.6,MISS Gay  3PT Jump Shot
"=""0021800711""",2018-2019 Regular Season,2019-01-23,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,3,11,00:08:30,00:03:30,00:00:04,45,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:1 Def:4)
