game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800715""",2018-2019 Regular Season,2019-01-23,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800715""",2018-2019 Regular Season,2019-01-23,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Nikola Jokic,Rudy Gobert,,,,,,,Rudy Gobert,,Joe Ingles,,,,jump ball,,,,,,Jump Ball Gobert vs. Jokic: Tip to Ingles
"=""0021800715""",2018-2019 Regular Season,2019-01-23,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,3,00:11:46,00:00:14,00:00:14,7,UTA,shot,Ricky Rubio,,,,,,,,,Joe Ingles,3,,,made,,Jump Shot,24,-231,80,1.9,81.0,Ingles 24' 3PT Jump Shot (3 PTS) (Rubio 1 AST)
"=""0021800715""",2018-2019 Regular Season,2019-01-23,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,3,00:11:20,00:00:40,00:00:26,9,DEN,miss,,,,Rudy Gobert,,,,,,Paul Millsap,0,,,missed,,unknown,3,16,30,23.4,8.0,"MISS Millsap 3' Driving Layup, Gobert BLOCK (1 BLK)"
"=""0021800715""",2018-2019 Regular Season,2019-01-23,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,3,00:11:18,00:00:42,00:00:02,11,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
"=""0021800715""",2018-2019 Regular Season,2019-01-23,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:11:14,00:00:46,00:00:04,12,UTA,shot,Donovan Mitchell,,,,,,,,,Ricky Rubio,2,,,made,,Driving Reverse Layup,2,-24,6,22.6,88.4,Rubio 2' Driving Reverse Layup (2 PTS) (Mitchell 1 AST)
"=""0021800715""",2018-2019 Regular Season,2019-01-23,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:11:14,00:00:46,00:00:00,13,DEN,foul,,,,,,,,Ricky Rubio,,Jamal Murray,,,s.foul,,,s.foul,,,,,,Murray S.FOUL (P1.T1) (T.Ford)
"=""0021800715""",2018-2019 Regular Season,2019-01-23,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,6,00:11:14,00:00:46,00:00:00,15,UTA,free throw,,,,,,,1,,1,Ricky Rubio,1,,,made,,Free Throw 1 of 1,,,,,,Rubio Free Throw 1 of 1 (3 PTS)
"=""0021800715""",2018-2019 Regular Season,2019-01-23,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,6,00:11:02,00:00:58,00:00:12,16,DEN,miss,,,,,,,,,,Torrey Craig,0,,,missed,,Jump Shot,25,236,92,1.4,14.2,MISS Craig 25' 3PT Jump Shot
"=""0021800715""",2018-2019 Regular Season,2019-01-23,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,6,00:10:58,00:01:02,00:00:04,17,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
