game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,4,OKC,jump ball,,Jahlil Okafor,Steven Adams,,,,,,,Steven Adams,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Adams vs. Okafor: Tip to Westbrook
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:48,00:00:12,00:00:12,7,NOP,foul,,,,,,,,Steven Adams,,Solomon Hill,,,s.foul,,,s.foul,,,,,,S. Hill S.FOUL (P1.T1) (E.Dalen)
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,1,00:11:48,00:00:12,00:00:00,9,OKC,free throw,,,,,,,1,,2,Steven Adams,1,,,made,,Free Throw 1 of 2,,,,,,Adams Free Throw 1 of 2 (1 PTS)
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,2,00:11:48,00:00:12,00:00:00,10,OKC,free throw,,,,,,,2,,2,Steven Adams,1,,,made,,Free Throw 2 of 2,,,,,,Adams Free Throw 2 of 2 (2 PTS)
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,2,2,00:11:33,00:00:27,00:00:15,11,NOP,shot,Jrue Holiday,,,,,,,,,Solomon Hill,2,,,made,,unknown,1,-7,-6,25.7,4.4,S. Hill 1' Driving Layup (2 PTS) (Holiday 1 AST)
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,2,2,00:11:16,00:00:44,00:00:17,12,OKC,turnover,,,,,,,,,,Steven Adams,,,lost ball ,,Jrue Holiday,lost ball ,,,,,,"Holiday STEAL (1 STL), Adams Lost Ball Turnover (P1.T1)"
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,4,2,00:10:58,00:01:02,00:00:18,14,NOP,shot,Solomon Hill,,,,,,,,,Jrue Holiday,2,,,made,,Floating Jump Shot,7,70,13,18.0,6.3,Holiday 7' Floating Jump Shot (2 PTS) (S. Hill 1 AST)
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,4,2,00:10:38,00:01:22,00:00:20,16,OKC,miss,,,,,,,,,,Jerami Grant,0,,,missed,,Jump Shot,26,110,240,36.0,65.0,MISS Grant 26' 3PT Jump Shot
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,4,2,00:10:36,00:01:24,00:00:02,17,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Pelicans Rebound
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,4,2,00:10:27,00:01:33,00:00:09,19,NOP,miss,,,,,,,,,,Jrue Holiday,0,,,missed,,Jump Shot,22,-219,-24,46.9,2.6,MISS Holiday  3PT Jump Shot
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,4,2,00:10:26,00:01:34,00:00:01,20,NOP,rebound,,,,,,,,,,Jahlil Okafor,,,,,,rebound offensive,,,,,,Okafor REBOUND (Off:1 Def:0)
"=""0021800717""",2018-2019 Regular Season,2019-01-24,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,6,2,00:10:26,00:01:34,00:00:00,21,NOP,shot,,,,,,,,,,Jahlil Okafor,2,,,made,,unknown,1,0,-6,25.0,4.4,Okafor 1' Tip Layup Shot (2 PTS)
