game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Karl-Anthony Towns,Ivica Zubac,,,,,,,Ivica Zubac,,Taj Gibson,,,,jump ball,,,,,,Jump Ball Zubac vs. Towns: Tip to Gibson
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:42,00:00:18,00:00:18,7,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Fadeaway Jumper,15,140,59,11.0,10.9,MISS Wiggins 15' Fadeaway Jumper
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:39,00:00:21,00:00:03,8,LAL,rebound,,,,,,,,,,Kentavious Caldwell-Pope,,,,,,rebound defensive,,,,,,Caldwell-Pope REBOUND (Off:0 Def:1)
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:28,00:00:32,00:00:11,9,LAL,foul,,,,,,,,Derrick Rose,,Ivica Zubac,,,off.foul,,,off.foul,,,,,,Zubac OFF.Foul (P1) (M.Ayotte)
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:28,00:00:32,00:00:00,11,LAL,turnover,,,,,,,,,,Ivica Zubac,,,offensive foul turnover,,,offensive foul turnover,,,,,,Zubac Offensive Foul Turnover (P1.T1)
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,2,0,00:11:11,00:00:49,00:00:17,12,MIN,shot,,,,,,,,,,Karl-Anthony Towns,2,,,made,,Turnaround Hook Shot,7,-67,28,31.7,7.8,Towns 7' Turnaround Hook Shot (2 PTS)
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,2,2,00:10:55,00:01:05,00:00:16,13,LAL,shot,Rajon Rondo,,,,,,,,,Ivica Zubac,2,,,made,,Layup,1,11,6,26.1,88.4,Zubac 1' Layup (2 PTS) (Rondo 1 AST)
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,5,2,00:10:45,00:01:15,00:00:10,15,MIN,shot,Derrick Rose,,,,,,,,,Karl-Anthony Towns,3,,,made,,Jump Shot,25,19,246,23.1,29.6,Towns 25' 3PT Jump Shot (5 PTS) (Rose 1 AST)
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,5,2,00:10:31,00:01:29,00:00:14,17,LAL,miss,,,,,,,,,,Ivica Zubac,0,,,missed,,unknown,3,-9,25,24.1,86.5,MISS Zubac 3' Cutting Layup Shot
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,5,2,00:10:28,00:01:32,00:00:03,18,MIN,rebound,,,,,,,,,,Andrew Wiggins,,,,,,rebound defensive,,,,,,Wiggins REBOUND (Off:0 Def:1)
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,5,2,00:10:14,00:01:46,00:00:14,19,MIN,miss,,,,,,,,,,Josh Okogie,0,,,missed,,Jump Shot,25,97,230,15.3,28.0,MISS Okogie 25' 3PT Jump Shot
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,5,2,00:10:10,00:01:50,00:00:04,20,LAL,rebound,,,,,,,,,,Ivica Zubac,,,,,,rebound defensive,,,,,,Zubac REBOUND (Off:0 Def:1)
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,5,2,00:09:55,00:02:05,00:00:15,21,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Floating Jump Shot,5,-53,1,19.7,88.9,MISS Kuzma 5' Floating Jump Shot
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,5,2,00:09:51,00:02:09,00:00:04,22,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,5,2,00:09:49,00:02:11,00:00:02,23,MIN,turnover,,,,,,,,,,Karl-Anthony Towns,,,bad pass ,,Rajon Rondo,bad pass ,,,,,,"Towns Bad Pass Turnover (P1.T1), Rondo STEAL (1 STL)"
"=""0021800719""",2018-2019 Regular Season,2019-01-24,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,5,2,00:09:46,00:02:14,00:00:03,25,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Jump Shot,25,-108,230,14.2,66.0,MISS Kuzma 25' 3PT Jump Shot
