game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Hassan Whiteside,Ante Zizic,,,,,,,Ante Zizic,,Justise Winslow,,,,jump ball,,,,,,Jump Ball Zizic vs. Whiteside: Tip to Winslow
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,0,00:11:39,00:00:21,00:00:21,7,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Jump Shot,25,39,251,21.1,30.1,MISS Richardson 25' 3PT Jump Shot
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,0,00:11:35,00:00:25,00:00:04,8,CLE,rebound,,,,,,,,,,Ante Zizic,,,,,,rebound defensive,,,,,,Zizic REBOUND (Off:0 Def:1)
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,0,00:11:24,00:00:36,00:00:11,9,CLE,miss,,,,,,,,,,Rodney Hood,0,,,missed,,Jump Shot,25,127,214,37.7,67.6,MISS Hood 25' 3PT Jump Shot
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,0,00:11:21,00:00:39,00:00:03,10,CLE,rebound,,,,,,,,,,Ante Zizic,,,,,,rebound offensive,,,,,,Zizic REBOUND (Off:1 Def:1)
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,2,00:11:15,00:00:45,00:00:06,11,CLE,shot,,,,,,,,,,Alec Burks,2,,,made,,Fadeaway Jumper,12,-105,48,14.5,84.2,Burks 12' Fadeaway Jumper (2 PTS)
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,2,00:11:03,00:00:57,00:00:12,12,MIA,turnover,,,,,,,,,,Tyler Johnson,,,bad pass ,,Alec Burks,bad pass ,,,,,,"Johnson Bad Pass Turnover (P1.T1), Burks STEAL (1 STL)"
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,4,00:10:58,00:01:02,00:00:05,14,CLE,shot,,,,,,,,,,Alec Burks,2,,,made,,Running Dunk,1,-1,-6,24.9,89.6,Burks 1' Running Dunk (4 PTS)
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,4,00:10:51,00:01:09,00:00:07,15,CLE,foul,,,,,,,,Josh Richardson,,Rodney Hood,,,p.foul,,,p.foul,,,,,,Hood P.FOUL (P1.T1) (J.Goble)
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,4,00:10:45,00:01:15,00:00:06,17,MIA,miss,,,,,,,,,,Justise Winslow,0,,,missed,,unknown,12,94,74,15.6,12.4,MISS Winslow 12' Turnaround Fadeaway Bank Jump Shot
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,4,00:10:42,00:01:18,00:00:03,18,CLE,rebound,,,,,,,,,,Alec Burks,,,,,,rebound defensive,,,,,,Burks REBOUND (Off:0 Def:1)
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,4,00:10:26,00:01:34,00:00:16,19,MIA,foul,,,,,,,,Ante Zizic,,Hassan Whiteside,,,s.foul,,,s.foul,,,,,,Whiteside S.FOUL (P1.T1) (J.Goble)
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,5,00:10:26,00:01:34,00:00:00,21,CLE,free throw,,,,,,,1,,2,Ante Zizic,1,,,made,,Free Throw 1 of 2,,,,,,Zizic Free Throw 1 of 2 (1 PTS)
"=""0021800722""",2018-2019 Regular Season,2019-01-25,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,1,0,6,00:10:26,00:01:34,00:00:00,22,CLE,free throw,,,,,,,2,,2,Ante Zizic,1,,,made,,Free Throw 2 of 2,,,,,,Zizic Free Throw 2 of 2 (2 PTS)
