game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800726""",2018-2019 Regular Season,2019-01-25,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800726""",2018-2019 Regular Season,2019-01-25,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Andre Drummond,DeAndre Jordan,,,,,,,DeAndre Jordan,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Jordan vs. Drummond: Tip to Griffin
"=""0021800726""",2018-2019 Regular Season,2019-01-25,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,1,0,0,00:11:48,00:00:12,00:00:12,7,DET,miss,,,,,,,,,,Reggie Bullock,0,,,missed,,Jump Shot,25,-174,173,42.4,22.3,MISS Bullock 25' 3PT Jump Shot
"=""0021800726""",2018-2019 Regular Season,2019-01-25,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,1,0,0,00:11:44,00:00:16,00:00:04,8,DAL,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021800726""",2018-2019 Regular Season,2019-01-25,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,1,0,0,00:11:30,00:00:30,00:00:14,9,DAL,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Floating Jump Shot,6,-57,31,19.3,85.9,MISS Barnes 6' Floating Jump Shot
"=""0021800726""",2018-2019 Regular Season,2019-01-25,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,1,0,0,00:11:27,00:00:33,00:00:03,10,DET,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound defensive,,,,,,Griffin REBOUND (Off:0 Def:1)
"=""0021800726""",2018-2019 Regular Season,2019-01-25,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,1,3,0,00:11:09,00:00:51,00:00:18,11,DET,shot,Blake Griffin,,,,,,,,,Reggie Bullock,3,,,made,,Jump Shot,25,-96,227,34.6,27.7,Bullock 25' 3PT Jump Shot (3 PTS) (Griffin 1 AST)
"=""0021800726""",2018-2019 Regular Season,2019-01-25,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,1,3,0,00:10:58,00:01:02,00:00:11,13,DET,foul,,,,,,,,Luka Doncic,,Bruce Brown,,,p.foul,,,p.foul,,,,,,Brown P.FOUL (P1.T1) (M.Boland)
"=""0021800726""",2018-2019 Regular Season,2019-01-25,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,1,3,0,00:10:50,00:01:10,00:00:08,15,DAL,miss,,,,,,,,,,Wesley Matthews,0,,,missed,,Jump Shot,26,63,253,31.3,63.7,MISS Matthews 26' 3PT Jump Shot
"=""0021800726""",2018-2019 Regular Season,2019-01-25,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,1,3,0,00:10:46,00:01:14,00:00:04,16,DET,rebound,,,,,,,,,,Reggie Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:1)
