game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800730""",2018-2019 Regular Season,2019-01-26,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Derrick White,Bryn Forbes,E'Twaun Moore,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800730""",2018-2019 Regular Season,2019-01-26,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Derrick White,Bryn Forbes,E'Twaun Moore,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Pau Gasol,Jahlil Okafor,,,,,,,Jahlil Okafor,,Derrick White,,,,jump ball,,,,,,Jump Ball Okafor vs. Gasol: Tip to White
"=""0021800730""",2018-2019 Regular Season,2019-01-26,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Derrick White,Bryn Forbes,E'Twaun Moore,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,1,2,0,00:11:35,00:00:25,00:00:25,7,SAS,shot,Derrick White,,,,,,,,,Pau Gasol,2,,,made,,Layup,2,15,12,23.5,6.2,Gasol 2' Layup (2 PTS) (White 1 AST)
"=""0021800730""",2018-2019 Regular Season,2019-01-26,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Derrick White,Bryn Forbes,E'Twaun Moore,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,1,2,2,00:11:18,00:00:42,00:00:17,9,NOP,shot,,,,,,,,,,Jrue Holiday,2,,,made,,Pullup Jump Shot,7,66,31,31.6,85.9,Holiday 7' Pullup Jump Shot (2 PTS)
"=""0021800730""",2018-2019 Regular Season,2019-01-26,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Derrick White,Bryn Forbes,E'Twaun Moore,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,1,2,2,00:10:58,00:01:02,00:00:20,10,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Fadeaway Jumper,13,-134,2,38.4,5.2,MISS Aldridge 13' Fadeaway Jumper
"=""0021800730""",2018-2019 Regular Season,2019-01-26,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Derrick White,Bryn Forbes,E'Twaun Moore,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,1,2,2,00:10:52,00:01:08,00:00:06,11,NOP,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound defensive,,,,,,Payton REBOUND (Off:0 Def:1)
"=""0021800730""",2018-2019 Regular Season,2019-01-26,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Derrick White,Bryn Forbes,E'Twaun Moore,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,1,2,2,00:10:38,00:01:22,00:00:14,106,NOP,miss,,,,Derrick White,,,,,,Solomon Hill,0,,,missed,,unknown,2,0,17,25.0,87.3,"White BLOCK (1 BLK), MISS S. Hill 2' Driving Layup"
"=""0021800730""",2018-2019 Regular Season,2019-01-26,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Derrick White,Bryn Forbes,E'Twaun Moore,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,1,2,2,00:10:38,00:01:22,00:00:00,108,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PELICANS Rebound
"=""0021800730""",2018-2019 Regular Season,2019-01-26,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Derrick White,Bryn Forbes,E'Twaun Moore,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,1,2,2,00:10:34,00:01:26,00:00:04,13,NOP,miss,,,,,,,,,,E'Twaun Moore,0,,,missed,,Fadeaway Jumper,7,-74,-1,17.6,89.1,MISS Moore 7' Fadeaway Jumper
"=""0021800730""",2018-2019 Regular Season,2019-01-26,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Derrick White,Bryn Forbes,E'Twaun Moore,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,1,2,2,00:10:31,00:01:29,00:00:03,14,SAS,rebound,,,,,,,,,,Pau Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
