game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800735,2018-2019 Regular Season,1/27/2019,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800735,2018-2019 Regular Season,1/27/2019,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,0:12:00,0:00:00,0:00:00,4,CHI,jump ball,,Ante Zizic,Robin Lopez,,,,,,,Robin Lopez,,Kris Dunn,,,,jump ball,,,,,,Jump Ball Lopez vs. Zizic: Tip to Dunn
0021800735,2018-2019 Regular Season,1/27/2019,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,2,0:11:40,0:00:20,0:00:20,7,CHI,shot,,,,,,,,,,Kris Dunn,2,,,made,,Pullup Jump Shot,9,92,4,34.2,88.6,Dunn 9' Pullup Jump Shot (2 PTS)
0021800735,2018-2019 Regular Season,1/27/2019,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,2,0:11:19,0:00:41,0:00:21,8,CLE,shot,Ante Zizic,,,,,,,,,Collin Sexton,2,,,made,,unknown,1,-9,6,25.9,5.6,Sexton 1' Driving Layup (2 PTS) (Zizic 1 AST)
0021800735,2018-2019 Regular Season,1/27/2019,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,4,0:10:53,0:01:07,0:00:26,10,CHI,shot,,,,,,,,,,Wayne Selden,2,,,made,,unknown,10,-83,48,16.7,84.2,Selden 10' Driving Floating Bank Jump Shot (2 PTS)
0021800735,2018-2019 Regular Season,1/27/2019,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,4,0:10:26,0:01:34,0:00:27,11,CLE,miss,,,,,,,,,,Ante Zizic,0,,,missed,,unknown,9,81,29,16.9,7.9,MISS Zizic 9' Turnaround Fadeaway Bank Jump Shot
0021800735,2018-2019 Regular Season,1/27/2019,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,4,0:10:24,0:01:36,0:00:02,12,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:1)
0021800735,2018-2019 Regular Season,1/27/2019,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,6,0:10:09,0:01:51,0:00:15,13,CHI,shot,Lauri Markkanen,,,,,,,,,Robin Lopez,2,,,made,,Floating Jump Shot,12,-12,117,23.8,77.3,Lopez 12' Floating Jump Shot (2 PTS) (Markkanen 1 AST)
0021800735,2018-2019 Regular Season,1/27/2019,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,6,0:09:47,0:02:13,0:00:22,15,CLE,shot,Rodney Hood,,,,,,,,,Alec Burks,3,,,made,,Jump Shot,26,176,195,7.4,24.5,Burks 26' 3PT Jump Shot (3 PTS) (Hood 1 AST)
0021800735,2018-2019 Regular Season,1/27/2019,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,8,0:09:29,0:02:31,0:00:18,17,CHI,shot,Zach LaVine,,,,,,,,,Robin Lopez,2,,,made,,Driving Hook Shot,8,25,71,27.5,81.9,Lopez 8' Driving Hook Shot (4 PTS) (LaVine 1 AST)
