game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Brook Lopez,Steven Adams,,,,,,,Steven Adams,,Malcolm Brogdon,,,,jump ball,,,,,,Jump Ball Adams vs. Lopez: Tip to Brogdon
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:46,00:00:14,00:00:14,7,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,unknown,2,17,6,23.3,5.6,MISS Bledsoe 2' Driving Layup
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:44,00:00:16,00:00:02,8,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:40,00:00:20,00:00:04,9,OKC,miss,,,,,,,,,,Terrance Ferguson,0,,,missed,,Jump Shot,23,-232,-14,1.8,90.4,MISS Ferguson  3PT Jump Shot
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:37,00:00:23,00:00:03,10,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:1)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,0,00:11:28,00:00:32,00:00:09,11,MIL,shot,Malcolm Brogdon,,,,,,,,,Brook Lopez,3,,,made,,Jump Shot,24,177,167,7.3,21.7,Lopez 24' 3PT Jump Shot (3 PTS) (Brogdon 1 AST)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,0,00:11:09,00:00:51,00:00:19,13,OKC,miss,,,,,,,,,,Jerami Grant,0,,,missed,,Pullup Jump Shot,21,-144,158,10.6,73.2,MISS Grant 21' Pullup Jump Shot
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,0,00:11:06,00:00:54,00:00:03,14,MIL,rebound,,,,,,,,,,Eric Bledsoe,,,,,,rebound defensive,,,,,,Bledsoe REBOUND (Off:0 Def:1)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,0,00:10:51,00:01:09,00:00:15,15,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Jump Shot,25,-2,252,25.2,30.2,MISS Bledsoe 25' 3PT Jump Shot
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,0,00:10:49,00:01:11,00:00:02,16,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:2)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,0,00:10:34,00:01:26,00:00:15,18,OKC,turnover,,,,,,,,,,Steven Adams,,,lost ball ,,Khris Middleton,lost ball ,,,,,,"Middleton STEAL (1 STL), Adams Lost Ball Turnover (P1.T1)"
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,6,0,00:10:27,00:01:33,00:00:07,20,MIL,shot,Malcolm Brogdon,,,,,,,,,Khris Middleton,3,,,made,,Jump Shot,23,228,27,2.2,7.7,Middleton  3PT Jump Shot (3 PTS) (Brogdon 2 AST)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,6,0,00:10:08,00:01:52,00:00:19,22,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Jump Shot,26,-99,236,15.1,65.4,MISS George 26' 3PT Jump Shot
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,6,0,00:10:06,00:01:54,00:00:02,23,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:2)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,6,0,00:10:01,00:01:59,00:00:05,24,MIL,turnover,,,,,,,,,,Giannis Antetokounmpo,,,traveling ,,,traveling ,,,,,,Antetokounmpo Traveling Turnover (P1.T1)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,6,0,00:09:51,00:02:09,00:00:10,25,OKC,miss,,,,Brook Lopez,,,,,,Paul George,0,,,missed,,unknown,4,-14,38,23.6,85.2,"Lopez BLOCK (1 BLK), MISS George 4' Driving Layup"
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,6,0,00:09:48,00:02:12,00:00:03,27,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:3)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,6,0,00:09:48,00:02:12,00:00:00,28,OKC,foul,,,,,,,,Giannis Antetokounmpo,,Jerami Grant,,,s.foul,,,s.foul,,,,,,Grant S.FOUL (P1.T1) (D.Collins)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,7,0,00:09:48,00:02:12,00:00:00,30,MIL,free throw,,,,,,,1,,2,Giannis Antetokounmpo,1,,,made,,Free Throw 1 of 2,,,,,,Antetokounmpo Free Throw 1 of 2 (1 PTS)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,8,0,00:09:48,00:02:12,00:00:00,31,MIL,free throw,,,,,,,2,,2,Giannis Antetokounmpo,1,,,made,,Free Throw 2 of 2,,,,,,Antetokounmpo Free Throw 2 of 2 (2 PTS)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,8,0,00:09:33,00:02:27,00:00:15,32,OKC,jump ball,,Eric Bledsoe,Steven Adams,,,,,,,Steven Adams,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Adams vs. Bledsoe: Tip to Westbrook
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,8,0,00:09:32,00:02:28,00:00:01,35,OKC,miss,,,,,,,,,,Russell Westbrook,0,,,missed,,Jump Shot,25,-126,215,12.4,67.5,MISS Westbrook 25' 3PT Jump Shot
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,8,0,00:09:27,00:02:33,00:00:05,36,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:1 Def:0)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,8,2,00:09:27,00:02:33,00:00:00,37,OKC,shot,,,,,,,,,,Steven Adams,2,,,made,,unknown,1,0,-6,25.0,89.6,Adams 1' Tip Layup Shot (2 PTS)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,8,2,00:09:10,00:02:50,00:00:17,38,MIL,miss,,,,,,,,,,Malcolm Brogdon,0,,,missed,,Jump Shot,24,235,30,1.5,8.0,MISS Brogdon 24' 3PT Jump Shot
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,8,2,00:09:08,00:02:52,00:00:02,39,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:1 Def:1)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,8,5,00:09:03,00:02:57,00:00:05,40,OKC,shot,,,,,,,,,,Paul George,3,,,made,,Pullup Jump Shot,26,52,259,30.2,63.1,George 26' 3PT Pullup Jump Shot (3 PTS)
"=""0021800738""",2018-2019 Regular Season,2019-01-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,8,5,00:08:55,00:03:05,00:00:08,41,MIL,foul,,,,,,,,Paul George,,Khris Middleton,,,offensive charge foul,,,offensive charge foul,,,,,,Middleton Offensive Charge Foul (P1.T1) (J.DeRosa)
