game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800743""",2018-2019 Regular Season,2019-01-27,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Brandon Ingram,Michael Beasley,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800743""",2018-2019 Regular Season,2019-01-27,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Brandon Ingram,Michael Beasley,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Dragan Bender,Ivica Zubac,,,,,,,Ivica Zubac,,Kentavious Caldwell-Pope,,,,jump ball,,,,,,Jump Ball Zubac vs. Bender: Tip to Caldwell-Pope
"=""0021800743""",2018-2019 Regular Season,2019-01-27,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Brandon Ingram,Michael Beasley,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:41,00:00:19,00:00:19,7,LAL,miss,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,Jump Shot,24,-172,171,7.8,71.9,MISS Caldwell-Pope 24' 3PT Jump Shot
"=""0021800743""",2018-2019 Regular Season,2019-01-27,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Brandon Ingram,Michael Beasley,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:37,00:00:23,00:00:04,8,LAL,rebound,,,,,,,,,,Michael Beasley,,,,,,rebound offensive,,,,,,Beasley REBOUND (Off:1 Def:0)
"=""0021800743""",2018-2019 Regular Season,2019-01-27,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Brandon Ingram,Michael Beasley,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:11:34,00:00:26,00:00:03,9,LAL,shot,Michael Beasley,,,,,,,,,Kentavious Caldwell-Pope,2,,,made,,unknown,2,-10,13,24.0,87.7,Caldwell-Pope 2' Cutting Layup Shot (2 PTS) (Beasley 1 AST)
"=""0021800743""",2018-2019 Regular Season,2019-01-27,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Brandon Ingram,Michael Beasley,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:11:11,00:00:49,00:00:23,11,PHX,miss,,,,,,,,,,Josh Jackson,0,,,missed,,Floating Jump Shot,6,0,58,25.0,10.8,MISS Jackson 6' Floating Jump Shot
"=""0021800743""",2018-2019 Regular Season,2019-01-27,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Brandon Ingram,Michael Beasley,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:11:06,00:00:54,00:00:05,12,PHX,rebound,,,,,,,,,,Josh Jackson,,,,,,rebound offensive,,,,,,Jackson REBOUND (Off:1 Def:0)
"=""0021800743""",2018-2019 Regular Season,2019-01-27,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Brandon Ingram,Michael Beasley,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:11:05,00:00:55,00:00:01,13,PHX,miss,,,,Ivica Zubac,,,,,,Josh Jackson,0,,,missed,,Layup,2,0,18,25.0,6.8,"MISS Jackson 2' Layup, Zubac BLOCK (1 BLK)"
"=""0021800743""",2018-2019 Regular Season,2019-01-27,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Brandon Ingram,Michael Beasley,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:11:03,00:00:57,00:00:02,15,PHX,rebound,,,,,,,,,,Elie Okobo,,,,,,rebound offensive,,,,,,Okobo REBOUND (Off:1 Def:0)
"=""0021800743""",2018-2019 Regular Season,2019-01-27,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Brandon Ingram,Michael Beasley,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:11:01,00:00:59,00:00:02,16,PHX,turnover,,,,,,,,,,Dragan Bender,,,step out of bounds turnover,,,step out of bounds turnover,,,,,,Bender Step Out of Bounds Turnover (P1.T1)
