game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,,jump ball,,Jordan Bell,Myles Turner,,,,,,,Myles Turner,,,,,,jump ball,,,,,,Jump Ball Turner vs. Bell: Tip to
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,0,0,00:11:39,00:00:21,00:00:21,7,IND,miss,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,Turnaround Fadeaway ,19,-185,21,6.5,86.9,MISS Bogdanovic 19' Turnaround Fadeaway Shot
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,0,0,00:11:36,00:00:24,00:00:03,8,GSW,rebound,,,,,,,,,,Jordan Bell,,,,,,rebound defensive,,,,,,Bell REBOUND (Off:0 Def:1)
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,0,0,00:11:23,00:00:37,00:00:13,9,GSW,miss,,,,Myles Turner,,,,,,DeMarcus Cousins,0,,,missed,,unknown,3,-3,25,25.3,7.5,"MISS Cousins 3' Cutting Layup Shot, Turner BLOCK (1 BLK)"
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,0,0,00:11:21,00:00:39,00:00:02,11,IND,rebound,,,,,,,,,,Thaddeus Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,0,0,00:11:18,00:00:42,00:00:03,12,IND,miss,,,,,,,,,,Edmond Sumner,0,,,missed,,Jump Shot,23,-230,15,2.0,87.5,MISS Sumner  3PT Jump Shot
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,0,0,00:11:16,00:00:44,00:00:02,13,GSW,rebound,,,,,,,,,,DeMarcus Cousins,,,,,,rebound defensive,,,,,,Cousins REBOUND (Off:0 Def:1)
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,2,0,00:11:08,00:00:52,00:00:08,14,GSW,shot,DeMarcus Cousins,,,,,,,,,Stephen Curry,2,,,made,,unknown,0,0,5,25.0,5.5,Curry 1' Cutting Finger Roll Layup Shot (2 PTS) (Cousins 1 AST)
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,2,0,00:10:57,00:01:03,00:00:11,16,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Jump Shot,27,225,141,47.5,74.9,MISS Young 27' 3PT Jump Shot
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,2,0,00:10:54,00:01:06,00:00:03,17,GSW,rebound,,,,,,,,,,DeMarcus Cousins,,,,,,rebound defensive,,,,,,Cousins REBOUND (Off:0 Def:2)
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,2,0,00:10:48,00:01:12,00:00:06,18,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Pullup Jump Shot,26,-21,256,27.1,30.6,MISS Thompson 26' 3PT Pullup Jump Shot
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,2,0,00:10:45,00:01:15,00:00:03,19,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,2,0,00:10:33,00:01:27,00:00:12,20,GSW,foul,,,,,,,,Myles Turner,,Klay Thompson,,,s.foul,,,s.foul,,,,,,Thompson S.FOUL (P1.T1) (E.Lewis)
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,2,1,00:10:33,00:01:27,00:00:00,22,IND,free throw,,,,,,,1,,2,Myles Turner,1,,,made,,Free Throw 1 of 2,,,,,,Turner Free Throw 1 of 2 (1 PTS)
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,2,2,00:10:33,00:01:27,00:00:00,23,IND,free throw,,,,,,,2,,2,Myles Turner,1,,,made,,Free Throw 2 of 2,,,,,,Turner Free Throw 2 of 2 (2 PTS)
"=""0021800745""",2018-2019 Regular Season,2019-01-28,Kevin Durant,Jordan Bell,DeMarcus Cousins,Klay Thompson,Stephen Curry,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Edmond Sumner,Darren Collison,1,4,2,00:10:16,00:01:44,00:00:17,24,GSW,shot,Kevin Durant,,,,,,,,,Jordan Bell,2,,,made,,unknown,2,-5,19,25.5,6.9,Bell 2' Cutting Dunk Shot (2 PTS) (Durant 1 AST)
