game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Dewayne Dedmon,Marcin Gortat,,,,,,,Marcin Gortat,,Tobias Harris,,,,jump ball,,,,,,Jump Ball Gortat vs. Dedmon: Tip to Harris
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:11:43,00:00:17,00:00:17,7,ATL,foul,,,,,,,,Shai Gilgeous-Alexander,,John Collins,,,p.foul,,,p.foul,,,,,,Collins P.FOUL (P1.T1) (M.Davis)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:11:35,00:00:25,00:00:08,9,LAC,turnover,,,,,,,,,,Tobias Harris,,,bad pass ,,DeAndre' Bembry,bad pass ,,,,,,"Bembry STEAL (1 STL), Harris Bad Pass Turnover (P1.T1)"
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,2,0,00:11:30,00:00:30,00:00:05,11,ATL,shot,DeAndre' Bembry,,,,,,,,,Dewayne Dedmon,2,,,made,,Running Dunk,1,4,-6,24.6,4.4,Dedmon 1' Running Dunk (2 PTS) (Bembry 1 AST)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,2,2,00:11:14,00:00:46,00:00:16,13,LAC,shot,Patrick Beverley,,,,,,,,,Marcin Gortat,2,,,made,,Layup,1,-10,3,24.0,88.7,Gortat 1' Layup (2 PTS) (Beverley 1 AST)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,4,2,00:10:52,00:01:08,00:00:22,15,ATL,shot,Trae Young,,,,,,,,,Dewayne Dedmon,2,,,made,,Turnaround Fadeaway ,10,-51,88,30.1,13.8,Dedmon 10' Turnaround Fadeaway (4 PTS) (Young 1 AST)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,4,2,00:10:34,00:01:26,00:00:18,17,LAC,miss,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,Pullup Jump Shot,12,-6,120,24.4,77.0,MISS Gilgeous-Alexander 12' Pullup Jump Shot
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,4,2,00:10:30,00:01:30,00:00:04,18,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,4,2,00:10:21,00:01:39,00:00:09,19,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Jump Shot,23,-228,6,47.8,5.6,MISS Collins  3PT Jump Shot
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,4,2,00:10:18,00:01:42,00:00:03,20,LAC,rebound,,,,,,,,,,Patrick Beverley,,,,,,rebound defensive,,,,,,Beverley REBOUND (Off:0 Def:1)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,4,4,00:10:09,00:01:51,00:00:09,21,LAC,shot,,,,,,,,,,Tobias Harris,2,,,made,,Pullup Jump Shot,16,123,96,37.3,79.4,Harris 16' Pullup Jump Shot (2 PTS)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,4,4,00:09:49,00:02:11,00:00:20,22,ATL,miss,,,,,,,,,,DeAndre' Bembry,0,,,missed,,Jump Shot,26,-223,138,47.3,18.8,MISS Bembry 26' 3PT Jump Shot
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,4,4,00:09:46,00:02:14,00:00:03,23,LAC,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,4,7,00:09:37,00:02:23,00:00:09,24,LAC,shot,Patrick Beverley,,,,,,,,,Shai Gilgeous-Alexander,3,,,made,,Jump Shot,24,236,10,48.6,88.0,Gilgeous-Alexander 24' 3PT Jump Shot (3 PTS) (Beverley 2 AST)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,7,7,00:09:22,00:02:38,00:00:15,26,ATL,shot,Trae Young,,,,,,,,,John Collins,3,,,made,,Jump Shot,26,-160,205,41.0,25.5,Collins 26' 3PT Jump Shot (3 PTS) (Young 2 AST)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,7,7,00:09:08,00:02:52,00:00:14,28,ATL,foul,,,,,,,,Patrick Beverley,,Dewayne Dedmon,,,p.foul,,,p.foul,,,,,,Dedmon P.FOUL (P1.T2) (M.Boland)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,7,7,00:08:54,00:03:06,00:00:14,30,LAC,miss,,,,,,,,,,Patrick Beverley,0,,,missed,,unknown,9,45,83,29.5,80.7,MISS Beverley 9' Driving Floating Jump Shot
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,7,7,00:08:52,00:03:08,00:00:02,31,LAC,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound offensive,,,,,,Gortat REBOUND (Off:1 Def:0)
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,7,7,00:08:48,00:03:12,00:00:04,32,LAC,turnover,,,,,,,,,,Marcin Gortat,,,lost ball ,,John Collins,lost ball ,,,,,,"Collins STEAL (1 STL), Gortat Lost Ball Turnover (P1.T2)"
"=""0021800748""",2018-2019 Regular Season,2019-01-28,Kevin Huerter,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,9,7,00:08:41,00:03:19,00:00:07,35,ATL,shot,Dewayne Dedmon,,,,,,,,,John Collins,2,,,made,,unknown,1,8,2,24.2,5.2,Collins 1' Cutting Layup Shot (5 PTS) (Dedmon 1 AST)
