game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800751""",2018-2019 Regular Season,2019-01-29,Paul George,Jerami Grant,Nerlens Noel,Hamidou Diallo,Russell Westbrook,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800751""",2018-2019 Regular Season,2019-01-29,Paul George,Jerami Grant,Nerlens Noel,Hamidou Diallo,Russell Westbrook,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Nerlens Noel,Nikola Vucevic,,,,,,,Nikola Vucevic,,Jonathan Isaac,,,,jump ball,,,,,,Jump Ball Vucevic vs. Noel: Tip to Isaac
"=""0021800751""",2018-2019 Regular Season,2019-01-29,Paul George,Jerami Grant,Nerlens Noel,Hamidou Diallo,Russell Westbrook,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:44,00:00:16,00:00:16,7,ORL,shot,Nikola Vucevic,,,,,,,,,Aaron Gordon,2,,,made,,unknown,2,17,4,26.7,88.6,Gordon 2' Cutting Dunk Shot (2 PTS) (Vucevic 1 AST)
"=""0021800751""",2018-2019 Regular Season,2019-01-29,Paul George,Jerami Grant,Nerlens Noel,Hamidou Diallo,Russell Westbrook,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:44,00:00:16,00:00:00,9,OKC,foul,,,,,,,,Aaron Gordon,,Nerlens Noel,,,s.foul,,,s.foul,,,,,,Noel S.FOUL (P1.T1) (P.Fraher)
"=""0021800751""",2018-2019 Regular Season,2019-01-29,Paul George,Jerami Grant,Nerlens Noel,Hamidou Diallo,Russell Westbrook,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,3,00:11:44,00:00:16,00:00:00,11,ORL,free throw,,,,,,,1,,1,Aaron Gordon,1,,,made,,Free Throw 1 of 1,,,,,,Gordon Free Throw 1 of 1 (3 PTS)
"=""0021800751""",2018-2019 Regular Season,2019-01-29,Paul George,Jerami Grant,Nerlens Noel,Hamidou Diallo,Russell Westbrook,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,3,00:11:35,00:00:25,00:00:09,12,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Step Back Jump Shot,15,24,146,22.6,19.6,MISS George 15' Step Back Jump Shot
"=""0021800751""",2018-2019 Regular Season,2019-01-29,Paul George,Jerami Grant,Nerlens Noel,Hamidou Diallo,Russell Westbrook,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,3,00:11:31,00:00:29,00:00:04,13,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021800751""",2018-2019 Regular Season,2019-01-29,Paul George,Jerami Grant,Nerlens Noel,Hamidou Diallo,Russell Westbrook,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,3,00:11:19,00:00:41,00:00:12,14,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Turnaround Hook Shot,8,73,36,32.3,85.4,MISS Vucevic 8' Turnaround Hook Shot
"=""0021800751""",2018-2019 Regular Season,2019-01-29,Paul George,Jerami Grant,Nerlens Noel,Hamidou Diallo,Russell Westbrook,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,3,00:11:17,00:00:43,00:00:02,15,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
"=""0021800751""",2018-2019 Regular Season,2019-01-29,Paul George,Jerami Grant,Nerlens Noel,Hamidou Diallo,Russell Westbrook,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,3,00:11:09,00:00:51,00:00:08,16,OKC,turnover,,,,,,,,,,Jerami Grant,,,bad pass ,,Jonathan Isaac,bad pass ,,,,,,"Grant Bad Pass Turnover (P1.T1), Isaac STEAL (1 STL)"
