game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800752""",2018-2019 Regular Season,2019-01-29,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800752""",2018-2019 Regular Season,2019-01-29,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Robin Lopez,Jarrett Allen,,,,,,,Jarrett Allen,,Kris Dunn,,,,jump ball,,,,,,Jump Ball Allen vs. Lopez: Tip to Dunn
"=""0021800752""",2018-2019 Regular Season,2019-01-29,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:43,00:00:17,00:00:17,7,CHI,miss,,,,,,,,,,Zach LaVine,0,,,missed,,Driving Finger Roll Layup,3,-16,22,26.6,7.2,MISS LaVine 3' Driving Finger Roll Layup
"=""0021800752""",2018-2019 Regular Season,2019-01-29,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:37,00:00:23,00:00:06,8,CHI,rebound,,,,,,,,,,Zach LaVine,,,,,,rebound offensive,,,,,,LaVine REBOUND (Off:1 Def:0)
"=""0021800752""",2018-2019 Regular Season,2019-01-29,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,2,0,00:11:37,00:00:23,00:00:00,9,CHI,shot,,,,,,,,,,Zach LaVine,2,,,made,,Putback Layup,1,0,-6,25.0,4.4,LaVine 1' Putback Layup (2 PTS)
"=""0021800752""",2018-2019 Regular Season,2019-01-29,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,2,2,00:11:24,00:00:36,00:00:13,10,BKN,shot,Jarrett Allen,,,,,,,,,D'Angelo Russell,2,,,made,,Pullup Jump Shot,11,-113,-7,13.7,89.7,Russell 11' Pullup Jump Shot (2 PTS) (Allen 1 AST)
"=""0021800752""",2018-2019 Regular Season,2019-01-29,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,2,2,00:11:13,00:00:47,00:00:11,12,BKN,foul,,,,,,,,Zach LaVine,,Treveon Graham,,,p.foul,,,p.foul,,,,,,Graham P.FOUL (P1.T1) (K.Lane)
"=""0021800752""",2018-2019 Regular Season,2019-01-29,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,2,2,00:11:03,00:00:57,00:00:10,14,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Driving Hook Shot,3,20,18,23.0,6.8,MISS Markkanen 3' Driving Hook Shot
"=""0021800752""",2018-2019 Regular Season,2019-01-29,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,2,2,00:11:00,00:01:00,00:00:03,15,BKN,rebound,,,,,,,,,,Joe Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021800752""",2018-2019 Regular Season,2019-01-29,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,2,2,00:10:57,00:01:03,00:00:03,16,BKN,miss,,,,,,,,,,Treveon Graham,0,,,missed,,Jump Shot,26,131,225,38.1,66.5,MISS Graham 26' 3PT Jump Shot
