game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,DAL,jump ball,,DeAndre Jordan,Noah Vonleh,,,,,,,Noah Vonleh,,Dennis Smith Jr.,,,,jump ball,,,,,,Jump Ball Vonleh vs. Jordan: Tip to Smith Jr.
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,2,0,00:11:45,00:00:15,00:00:15,7,DAL,shot,Luka Doncic,,,,,,,,,DeAndre Jordan,2,,,made,,Hook Shot,4,11,37,23.9,8.7,Jordan 4' Hook Shot (2 PTS) (Doncic 1 AST)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,2,3,00:11:29,00:00:31,00:00:16,9,NYK,shot,Kevin Knox,,,,,,,,,Tim Hardaway Jr.,3,,,made,,Jump Shot,25,174,173,42.4,71.7,Hardaway Jr. 25' 3PT Jump Shot (3 PTS) (Knox 1 AST)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,2,3,00:11:19,00:00:41,00:00:10,11,DAL,miss,,,,,,,,,,Luka Doncic,0,,,missed,,Jump Shot,26,-118,229,36.8,27.9,MISS Doncic 26' 3PT Jump Shot
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,2,3,00:11:18,00:00:42,00:00:01,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,KNICKS Rebound
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,2,3,00:11:08,00:00:52,00:00:10,14,NYK,miss,,,,,,,,,,Kevin Knox,0,,,missed,,Jump Shot,21,8,207,25.8,68.3,MISS Knox 21' Jump Shot
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,2,3,00:11:06,00:00:54,00:00:02,15,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,4,3,00:11:00,00:01:00,00:00:06,16,DAL,shot,,,,,,,,,,Luka Doncic,2,,,made,,Running Jump Shot,15,18,146,23.2,19.6,Doncic 15' Running Jump Shot (2 PTS)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,4,3,00:10:41,00:01:19,00:00:19,17,NYK,miss,,,,,,,,,,Trey Burke,0,,,missed,,Jump Shot,23,-231,-4,1.9,89.4,MISS Burke  3PT Jump Shot
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,4,3,00:10:39,00:01:21,00:00:02,18,DAL,rebound,,,,,,,,,,Dennis Smith Jr.,,,,,,rebound defensive,,,,,,Smith Jr. REBOUND (Off:0 Def:1)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:10:33,00:01:27,00:00:06,19,DAL,shot,Dennis Smith Jr.,,,,,,,,,Wesley Matthews,3,,,made,,Jump Shot,22,-223,-6,47.3,4.4,Matthews  3PT Jump Shot (3 PTS) (Smith Jr. 1 AST)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:10:20,00:01:40,00:00:13,21,NYK,miss,,,,,,,,,,Lance Thomas,0,,,missed,,Jump Shot,24,-240,12,1.0,87.8,MISS Thomas 24' 3PT Jump Shot
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:10:18,00:01:42,00:00:02,22,DAL,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:10:09,00:01:51,00:00:09,23,DAL,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Jump Shot,20,-33,195,28.3,24.5,MISS Barnes 20' Jump Shot
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:10:07,00:01:53,00:00:02,24,NYK,rebound,,,,,,,,,,Noah Vonleh,,,,,,rebound defensive,,,,,,Vonleh REBOUND (Off:0 Def:1)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:09:59,00:02:01,00:00:08,25,NYK,miss,,,,,,,,,,Noah Vonleh,0,,,missed,,unknown,1,11,4,26.1,88.6,MISS Vonleh 1' Driving Layup
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:09:57,00:02:03,00:00:02,26,DAL,rebound,,,,,,,,,,Dennis Smith Jr.,,,,,,rebound defensive,,,,,,Smith Jr. REBOUND (Off:0 Def:2)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:09:45,00:02:15,00:00:12,27,DAL,miss,,,,,,,,,,Dennis Smith Jr.,0,,,missed,,Jump Shot,27,85,256,16.5,30.6,MISS Smith Jr. 27' 3PT Jump Shot
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:09:43,00:02:17,00:00:02,28,NYK,rebound,,,,,,,,,,Tim Hardaway Jr.,,,,,,rebound defensive,,,,,,Hardaway Jr. REBOUND (Off:0 Def:1)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:09:37,00:02:23,00:00:06,29,NYK,miss,,,,,,,,,,Kevin Knox,0,,,missed,,Jump Shot,26,-172,189,7.8,70.1,MISS Knox 26' 3PT Jump Shot
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,7,3,00:09:36,00:02:24,00:00:01,30,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Mavericks Rebound
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,9,3,00:09:24,00:02:36,00:00:12,32,DAL,shot,,,,,,,,,,Luka Doncic,2,,,made,,unknown,1,5,6,24.5,5.6,Doncic 1' Driving Dunk (4 PTS)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,9,3,00:09:17,00:02:43,00:00:07,33,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,KNICKS Timeout: Regular (Full 1 Short 0)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,9,3,00:09:04,00:02:56,00:00:13,34,NYK,miss,,,,,,,,,,Kevin Knox,0,,,missed,,Jump Shot,22,-214,40,3.6,85.0,MISS Knox 22' Jump Shot
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,9,3,00:09:02,00:02:58,00:00:02,35,NYK,rebound,,,,,,,,,,Noah Vonleh,,,,,,rebound offensive,,,,,,Vonleh REBOUND (Off:1 Def:1)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,9,5,00:09:00,00:03:00,00:00:02,36,NYK,shot,,,,,,,,,,Noah Vonleh,2,,,made,,Dunk,0,2,4,25.2,88.6,Vonleh  Dunk (2 PTS)
"=""0021800758""",2018-2019 Regular Season,2019-01-30,Harrison Barnes,Wesley Matthews,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,Kevin Knox,Lance Thomas,Noah Vonleh,Trey Burke,Tim Hardaway Jr.,1,9,5,00:08:32,00:03:28,00:00:28,37,DAL,miss,,,,,,,,,,Luka Doncic,0,,,missed,,Running Jump Shot,4,-29,25,27.9,7.5,MISS Doncic 4' Running Jump Shot
