game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Dewayne Dedmon,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Trae Young,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Dedmon: Tip to Young
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:46,00:00:14,00:00:14,7,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,Jump Shot,26,-39,253,28.9,30.3,MISS Young 26' 3PT Jump Shot
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:43,00:00:17,00:00:03,8,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:28,00:00:32,00:00:15,9,ATL,foul,,,,,,,,Buddy Hield,,DeAndre' Bembry,,,s.foul,,,s.foul,,,,,,Bembry S.FOUL (P1.T1) (B.Barnaky)
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,1,00:11:28,00:00:32,00:00:00,11,SAC,free throw,,,,,,,1,,2,Buddy Hield,1,,,made,,Free Throw 1 of 2,,,,,,Hield Free Throw 1 of 2 (1 PTS)
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,2,00:11:28,00:00:32,00:00:00,12,SAC,free throw,,,,,,,2,,2,Buddy Hield,1,,,made,,Free Throw 2 of 2,,,,,,Hield Free Throw 2 of 2 (2 PTS)
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,2,00:11:15,00:00:45,00:00:13,13,ATL,shot,John Collins,,,,,,,,,Kevin Huerter,2,,,made,,unknown,2,-14,7,26.4,5.7,Huerter 2' Driving Layup (2 PTS) (Collins 1 AST)
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,2,00:11:06,00:00:54,00:00:09,15,SAC,miss,,,,,,,,,,Nemanja Bjelica,0,,,missed,,Jump Shot,23,-225,-7,2.5,89.7,MISS Bjelica  3PT Jump Shot
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,2,00:11:02,00:00:58,00:00:04,16,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,4,2,00:10:50,00:01:10,00:00:12,17,ATL,shot,DeAndre' Bembry,,,,,,,,,Dewayne Dedmon,2,,,made,,unknown,1,0,6,25.0,5.6,Dedmon 1' Cutting Dunk Shot (2 PTS) (Bembry 1 AST)
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,4,2,00:10:41,00:01:19,00:00:09,19,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Jump Shot,25,-184,167,6.6,72.3,MISS Fox 25' 3PT Jump Shot
"=""0021800762""",2018-2019 Regular Season,2019-01-30,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,4,2,00:10:39,00:01:21,00:00:02,20,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound defensive,,,,,,Collins REBOUND (Off:0 Def:1)
