game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800763""",2018-2019 Regular Season,2019-01-30,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Maurice Harkless,Al-Farouq Aminu,Meyers Leonard,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800763""",2018-2019 Regular Season,2019-01-30,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Maurice Harkless,Al-Farouq Aminu,Meyers Leonard,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Rudy Gobert,Meyers Leonard,,,,,,,Meyers Leonard,,Derrick Favors,,,,jump ball,,,,,,Jump Ball Leonard vs. Gobert: Tip to Favors
"=""0021800763""",2018-2019 Regular Season,2019-01-30,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Maurice Harkless,Al-Farouq Aminu,Meyers Leonard,CJ McCollum,Damian Lillard,1,2,0,00:11:40,00:00:20,00:00:20,7,UTA,shot,Ricky Rubio,,,,,,,,,Joe Ingles,2,,,made,,Driving Finger Roll Layup,1,-9,1,25.9,5.1,Ingles 1' Driving Finger Roll Layup (2 PTS) (Rubio 1 AST)
"=""0021800763""",2018-2019 Regular Season,2019-01-30,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Maurice Harkless,Al-Farouq Aminu,Meyers Leonard,CJ McCollum,Damian Lillard,1,2,2,00:11:20,00:00:40,00:00:20,9,POR,shot,Damian Lillard,,,,,,,,,CJ McCollum,2,,,made,,Pullup Jump Shot,15,-147,8,10.3,88.2,McCollum 15' Pullup Jump Shot (2 PTS) (Lillard 1 AST)
"=""0021800763""",2018-2019 Regular Season,2019-01-30,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Maurice Harkless,Al-Farouq Aminu,Meyers Leonard,CJ McCollum,Damian Lillard,1,2,2,00:11:12,00:00:48,00:00:08,11,POR,foul,,,,,,,,Joe Ingles,,Meyers Leonard,,,p.foul,,,p.foul,,,,,,Leonard P.FOUL (P1.T1) (M.Boland)
"=""0021800763""",2018-2019 Regular Season,2019-01-30,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Maurice Harkless,Al-Farouq Aminu,Meyers Leonard,CJ McCollum,Damian Lillard,1,4,2,00:11:06,00:00:54,00:00:06,13,UTA,shot,Ricky Rubio,,,,,,,,,Derrick Favors,2,,,made,,Turnaround Hook Shot,2,24,5,22.6,5.5,Favors 2' Turnaround Hook Shot (2 PTS) (Rubio 2 AST)
"=""0021800763""",2018-2019 Regular Season,2019-01-30,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Maurice Harkless,Al-Farouq Aminu,Meyers Leonard,CJ McCollum,Damian Lillard,1,4,4,00:10:46,00:01:14,00:00:20,15,POR,shot,,,,,,,,,,CJ McCollum,2,,,made,,Turnaround Fadeaway ,12,96,68,34.6,82.2,McCollum 12' Turnaround Fadeaway (4 PTS)
"=""0021800763""",2018-2019 Regular Season,2019-01-30,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Maurice Harkless,Al-Farouq Aminu,Meyers Leonard,CJ McCollum,Damian Lillard,1,4,4,00:10:28,00:01:32,00:00:18,17,UTA,turnover,,,,,,,,,,Ricky Rubio,,,traveling ,,,traveling ,,,,,,Rubio Traveling Turnover (P1.T1)
"=""0021800763""",2018-2019 Regular Season,2019-01-30,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Maurice Harkless,Al-Farouq Aminu,Meyers Leonard,CJ McCollum,Damian Lillard,1,4,6,00:10:11,00:01:49,00:00:17,18,POR,shot,Al-Farouq Aminu,,,,,,,,,Meyers Leonard,2,,,made,,Fadeaway Jumper,9,30,88,28.0,80.2,Leonard 9' Fadeaway Jumper (2 PTS) (Aminu 1 AST)
"=""0021800763""",2018-2019 Regular Season,2019-01-30,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Maurice Harkless,Al-Farouq Aminu,Meyers Leonard,CJ McCollum,Damian Lillard,1,7,6,00:10:00,00:02:00,00:00:11,20,UTA,shot,Ricky Rubio,,,,,,,,,Joe Ingles,3,,,made,,Jump Shot,23,232,34,1.8,8.4,Ingles  3PT Jump Shot (5 PTS) (Rubio 3 AST)
