game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Joel Embiid,DeMarcus Cousins,,,,,,,DeMarcus Cousins,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Cousins vs. Embiid: Tip to Simmons
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,3,0,00:11:45,00:00:15,00:00:15,7,PHI,shot,Jimmy Butler,,,,,,,,,JJ Redick,3,,,made,,Jump Shot,25,27,247,22.3,29.7,Redick 25' 3PT Jump Shot (3 PTS) (Butler 1 AST)
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,3,0,00:11:29,00:00:31,00:00:16,9,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Jump Shot,19,134,132,38.4,75.8,MISS Durant 19' Jump Shot
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,3,0,00:11:28,00:00:32,00:00:01,10,PHI,rebound,,,,,,,,,,Wilson Chandler,,,,,,rebound defensive,,,,,,Chandler REBOUND (Off:0 Def:1)
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,3,0,00:11:21,00:00:39,00:00:07,11,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,Jump Shot,26,-2,263,25.2,31.3,MISS Embiid 26' 3PT Jump Shot
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,3,0,00:11:19,00:00:41,00:00:02,12,GSW,rebound,,,,,,,,,,Alfonzo McKinnie,,,,,,rebound defensive,,,,,,McKinnie REBOUND (Off:0 Def:1)
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,3,0,00:11:14,00:00:46,00:00:05,13,GSW,turnover,,,,,,,,,,Kevin Durant,,,bad pass ,,Ben Simmons,bad pass ,,,,,,"Simmons STEAL (1 STL), Durant Bad Pass Turnover (P1.T1)"
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,3,0,00:11:10,00:00:50,00:00:04,15,PHI,turnover,,,,,,,,,,Wilson Chandler,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Chandler Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,3,2,00:10:59,00:01:01,00:00:11,16,GSW,shot,DeMarcus Cousins,,,,,,,,,Alfonzo McKinnie,2,,,made,,unknown,2,-6,15,24.4,87.5,McKinnie 2' Cutting Layup Shot (2 PTS) (Cousins 1 AST)
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,5,2,00:10:47,00:01:13,00:00:12,18,PHI,shot,JJ Redick,,,,,,,,,Ben Simmons,2,,,made,,Turnaround Hook Shot,6,3,58,24.7,10.8,Simmons 6' Turnaround Hook Shot (2 PTS) (Redick 1 AST)
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,5,4,00:10:38,00:01:22,00:00:09,20,GSW,shot,DeMarcus Cousins,,,,,,,,,Stephen Curry,2,,,made,,unknown,3,-1,31,24.9,85.9,Curry 3' Cutting Layup Shot (2 PTS) (Cousins 2 AST)
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,5,4,00:10:38,00:01:22,00:00:00,22,PHI,foul,,,,,,,,Stephen Curry,,JJ Redick,,,s.foul,,,s.foul,,,,,,Redick S.FOUL (P1.T1) (B.Taylor)
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,5,4,00:10:38,00:01:22,00:00:00,24,GSW,free throw,,,,,,,1,,1,Stephen Curry,0,,,missed,,Free Throw 1 of 1,,,,,,MISS Curry Free Throw 1 of 1
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,5,4,00:10:37,00:01:23,00:00:01,25,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,5,4,00:10:34,00:01:26,00:00:03,27,PHI,turnover,,,,,,,,,,Joel Embiid,,,lost ball ,,DeMarcus Cousins,lost ball ,,,,,,"Embiid Lost Ball Turnover (P1.T2), Cousins STEAL (1 STL)"
"=""0021800768""",2018-2019 Regular Season,2019-01-31,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,5,4,00:10:28,00:01:32,00:00:06,29,GSW,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Jump Shot,26,-3,262,24.7,62.8,MISS Cousins 26' 3PT Jump Shot
