game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Dewayne Dedmon,Rudy Gobert,,,,,,,Rudy Gobert,,Derrick Favors,,,,jump ball,,,,,,Jump Ball Gobert vs. Dedmon: Tip to Favors
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:47,00:00:13,00:00:13,7,UTA,shot,Ricky Rubio,,,,,,,,,Joe Ingles,2,,,made,,Layup,2,18,6,26.8,88.4,Ingles 2' Layup (2 PTS) (Rubio 1 AST)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,2,00:11:22,00:00:38,00:00:25,9,ATL,shot,Trae Young,,,,,,,,,Kevin Huerter,3,,,made,,Step Back Jump Shot,25,-231,104,48.1,15.4,Huerter 25' 3PT Step Back Jump Shot (3 PTS) (Young 1 AST)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,2,00:11:01,00:00:59,00:00:21,11,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,unknown,4,-41,13,20.9,87.7,MISS Ingles 4' Driving Floating Bank Jump Shot
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,2,00:10:58,00:01:02,00:00:03,12,UTA,rebound,,,,,,,,,,Joe Ingles,,,,,,rebound offensive,,,,,,Ingles REBOUND (Off:1 Def:0)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,4,00:10:58,00:01:02,00:00:00,13,UTA,shot,,,,,,,,,,Joe Ingles,2,,,made,,unknown,1,0,-6,25.0,89.6,Ingles 1' Tip Layup Shot (4 PTS)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,4,00:10:45,00:01:15,00:00:13,14,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Jump Shot,25,92,231,15.8,28.1,MISS Collins 25' 3PT Jump Shot
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,4,00:10:42,00:01:18,00:00:03,15,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,6,00:10:35,00:01:25,00:00:07,16,UTA,shot,,,,,,,,,,Ricky Rubio,2,,,made,,Fadeaway Jumper,13,63,111,31.3,77.9,Rubio 13' Fadeaway Jumper (2 PTS)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,6,00:10:20,00:01:40,00:00:15,17,ATL,shot,,,,,,,,,,Trae Young,2,,,made,,unknown,7,63,36,18.7,8.6,Young 7' Driving Floating Bank Jump Shot (2 PTS)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,6,00:10:20,00:01:40,00:00:00,18,UTA,foul,,,,,,,,Trae Young,,Ricky Rubio,,,s.foul,,,s.foul,,,,,,Rubio S.FOUL (P1.T1) (K.Fitzgerald)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,6,00:10:20,00:01:40,00:00:00,20,ATL,free throw,,,,,,,1,,1,Trae Young,1,,,made,,Free Throw 1 of 1,,,,,,Young Free Throw 1 of 1 (3 PTS)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,9,00:10:12,00:01:48,00:00:08,21,UTA,shot,Ricky Rubio,,,,,,,,,Joe Ingles,3,,,made,,Jump Shot,26,-224,122,2.6,76.8,Ingles 26' 3PT Jump Shot (7 PTS) (Rubio 2 AST)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,9,00:10:02,00:01:58,00:00:10,23,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,Pullup Jump Shot,29,132,253,11.8,30.3,MISS Young 29' 3PT Pullup Jump Shot
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,9,00:09:59,00:02:01,00:00:03,24,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:2)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,9,00:09:45,00:02:15,00:00:14,25,ATL,foul,,,,,,,,Rudy Gobert,,DeAndre' Bembry,,,s.foul,,,s.foul,,,,,,Bembry S.FOUL (P1.T1) (T.Maddox)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,10,00:09:45,00:02:15,00:00:00,27,UTA,free throw,,,,,,,1,,2,Rudy Gobert,1,,,made,,Free Throw 1 of 2,,,,,,Gobert Free Throw 1 of 2 (1 PTS)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,11,00:09:45,00:02:15,00:00:00,28,UTA,free throw,,,,,,,2,,2,Rudy Gobert,1,,,made,,Free Throw 2 of 2,,,,,,Gobert Free Throw 2 of 2 (2 PTS)
"=""0021800773""",2018-2019 Regular Season,2019-02-01,DeAndre' Bembry,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,11,00:09:34,00:02:26,00:00:11,29,ATL,miss,,,,,,,,,,Kevin Huerter,0,,,missed,,Floating Jump Shot,9,89,9,16.1,5.9,MISS Huerter 9' Floating Jump Shot
