game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,0,00:12:00,00:00:00,00:00:00,4,IND,jump ball,,Myles Turner,Hassan Whiteside,,,,,,,Hassan Whiteside,,Thaddeus Young,,,,jump ball,,,,,,Jump Ball Whiteside vs. Turner: Tip to Young
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,0,00:11:38,00:00:22,00:00:22,7,IND,miss,,,,,,,,,,Darren Collison,0,,,missed,,Jump Shot,17,-85,148,33.5,19.8,MISS Collison 17' Jump Shot
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,0,00:11:35,00:00:25,00:00:03,8,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:0 Def:1)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,0,3,00:11:18,00:00:42,00:00:17,9,MIA,shot,Justise Winslow,,,,,,,,,Josh Richardson,3,,,made,,Jump Shot,29,-9,290,24.1,60.0,Richardson 29' 3PT Jump Shot (3 PTS) (Winslow 1 AST)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,3,00:11:03,00:00:57,00:00:15,11,IND,shot,Darren Collison,,,,,,,,,Bojan Bogdanovic,2,,,made,,unknown,3,19,18,23.1,6.8,Bogdanovic 3' Cutting Layup Shot (2 PTS) (Collison 1 AST)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,5,00:10:46,00:01:14,00:00:17,13,MIA,shot,Josh Richardson,,,,,,,,,Hassan Whiteside,2,,,made,,Layup,2,12,11,26.2,87.9,Whiteside 2' Layup (2 PTS) (Richardson 1 AST)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,5,00:10:46,00:01:14,00:00:00,14,IND,foul,,,,,,,,Hassan Whiteside,,Myles Turner,,,s.foul,,,s.foul,,,,,,Turner S.FOUL (P1.T1) (D.Taylor)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,6,00:10:46,00:01:14,00:00:00,17,MIA,free throw,,,,,,,1,,1,Hassan Whiteside,1,,,made,,Free Throw 1 of 1,,,,,,Whiteside Free Throw 1 of 1 (3 PTS)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,6,00:10:32,00:01:28,00:00:14,18,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Hook Shot,5,-8,53,25.8,10.3,MISS Young 5' Hook Shot
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,6,00:10:30,00:01:30,00:00:02,19,IND,rebound,,,,,,,,,,Thaddeus Young,,,,,,rebound offensive,,,,,,Young REBOUND (Off:1 Def:0)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,6,00:10:29,00:01:31,00:00:01,20,IND,miss,,,,Hassan Whiteside,,,,,,Thaddeus Young,0,,,missed,,Hook Shot,4,5,42,24.5,9.2,"MISS Young 4' Hook Shot, Whiteside BLOCK (1 BLK)"
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,6,00:10:25,00:01:35,00:00:04,22,MIA,rebound,,,,,,,,,,Josh Richardson,,,,,,rebound defensive,,,,,,Richardson REBOUND (Off:0 Def:1)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,6,00:10:23,00:01:37,00:00:02,23,MIA,miss,,,,,,,,,,Tyler Johnson,0,,,missed,,Jump Shot,25,-167,189,8.3,70.1,MISS Johnson 25' 3PT Jump Shot
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,2,6,00:10:20,00:01:40,00:00:03,24,IND,rebound,,,,,,,,,,Cory Joseph,,,,,,rebound defensive,,,,,,Joseph REBOUND (Off:0 Def:1)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,4,6,00:10:15,00:01:45,00:00:05,25,IND,shot,Cory Joseph,,,,,,,,,Darren Collison,2,,,made,,unknown,2,-16,7,26.6,5.7,Collison 2' Driving Layup (2 PTS) (Joseph 1 AST)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,4,6,00:09:54,00:02:06,00:00:21,27,MIA,turnover,,,,,,,,,,Justise Winslow,,,bad pass ,,Thaddeus Young,bad pass ,,,,,,"Young STEAL (1 STL), Winslow Bad Pass Turnover (P1.T1)"
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,4,6,00:09:53,00:02:07,00:00:01,29,MIA,foul,,,,,,,,Thaddeus Young,,James Johnson,,,personal take foul,,,personal take foul,,,,,,Johnson Personal Take Foul (P1.T1) (D.Taylor)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,6,6,00:09:38,00:02:22,00:00:15,31,IND,shot,,,,,,,,,,Bojan Bogdanovic,2,,,made,,Driving Finger Roll Layup,2,-17,6,26.7,5.6,Bogdanovic 2' Driving Finger Roll Layup (4 PTS)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,6,9,00:09:19,00:02:41,00:00:19,32,MIA,shot,Josh Richardson,,,,,,,,,Justise Winslow,3,,,made,,Jump Shot,23,-232,37,1.8,85.3,Winslow  3PT Jump Shot (3 PTS) (Richardson 2 AST)
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,6,9,00:09:04,00:02:56,00:00:15,51,IND,miss,,,,Tyler Johnson,,,,,,Darren Collison,0,,,missed,,Jump Shot,7,-30,63,28.0,11.3,"MISS Collison 7' Jump Shot, Johnson BLOCK (1 BLK)"
"=""0021800781""",2018-2019 Regular Season,2019-02-02,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,1,6,9,00:09:03,00:02:57,00:00:01,53,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:0 Def:2)
