game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Nikola Jokic,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Taj Gibson,,,,jump ball,,,,,,Jump Ball Towns vs. Jokic: Tip to Gibson
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,0,2,00:11:43,00:00:17,00:00:17,7,MIN,shot,Jerryd Bayless,,,,,,,,,Karl-Anthony Towns,2,,,made,,Hook Shot,6,12,61,26.2,82.9,Towns 6' Hook Shot (2 PTS) (Bayless 1 AST)
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,2,2,00:11:25,00:00:35,00:00:18,9,DEN,shot,Monte Morris,,,,,,,,,Nikola Jokic,2,,,made,,Turnaround Hook Shot,7,67,7,18.3,5.7,Jokic 7' Turnaround Hook Shot (2 PTS) (Morris 1 AST)
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,2,2,00:11:08,00:00:52,00:00:17,11,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Jump Shot,25,22,248,27.2,64.2,MISS Towns 25' 3PT Jump Shot
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,2,2,00:11:05,00:00:55,00:00:03,12,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,2,2,00:10:59,00:01:01,00:00:06,13,DEN,miss,,,,,,,,,,Will Barton,0,,,missed,,Jump Shot,26,-157,205,40.7,25.5,MISS Barton 26' 3PT Jump Shot
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,2,2,00:10:56,00:01:04,00:00:03,14,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,2,4,00:10:44,00:01:16,00:00:12,15,MIN,shot,,,,,,,,,,Andrew Wiggins,2,,,made,,Turnaround Fadeaway ,14,137,30,38.7,86.0,Wiggins 14' Turnaround Fadeaway (2 PTS)
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,2,4,00:10:26,00:01:34,00:00:18,16,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,Layup,4,-39,11,28.9,6.1,MISS Jokic 4' Layup
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,2,4,00:10:22,00:01:38,00:00:04,18,MIN,rebound,,,,,,,,,,Josh Okogie,,,,,,rebound defensive,,,,,,Okogie REBOUND (Off:0 Def:1)
"=""0021800783""",2018-2019 Regular Season,2019-02-02,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Monte Morris,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,1,2,6,00:10:12,00:01:48,00:00:10,19,MIN,shot,Jerryd Bayless,,,,,,,,,Karl-Anthony Towns,2,,,made,,unknown,3,13,29,26.3,86.1,Towns 3' Cutting Layup Shot (4 PTS) (Bayless 2 AST)
