game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Dewayne Dedmon,Deandre Ayton,,,,,,,Deandre Ayton,,Trae Young,,,,jump ball,,,,,,Jump Ball Ayton vs. Dedmon: Tip to Young
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,0,0,00:11:40,00:00:20,00:00:20,7,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Layup,1,-5,10,25.5,6.0,MISS Collins 1' Layup
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,0,0,00:11:35,00:00:25,00:00:05,8,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound offensive,,,,,,Collins REBOUND (Off:1 Def:0)
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,2,0,00:11:35,00:00:25,00:00:00,9,ATL,shot,,,,,,,,,,John Collins,2,,,made,,unknown,1,0,-6,25.0,4.4,Collins 1' Tip Dunk Shot (2 PTS)
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,2,2,00:11:21,00:00:39,00:00:14,10,PHX,shot,Elie Okobo,,,,,,,,,Deandre Ayton,2,,,made,,Alley Oop Dunk,1,-1,6,24.9,88.4,Ayton 1' Alley Oop Dunk (2 PTS) (Okobo 1 AST)
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,4,2,00:11:08,00:00:52,00:00:13,12,ATL,shot,,,,,,,,,,Trae Young,2,,,made,,unknown,1,-4,5,25.4,5.5,Young 1' Driving Layup (2 PTS)
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,4,2,00:10:59,00:01:01,00:00:09,13,ATL,foul,,,,,,,,Josh Jackson,,John Collins,,,s.foul,,,s.foul,,,,,,Collins S.FOUL (P1.T1) (R.Garretson)
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,4,3,00:10:59,00:01:01,00:00:00,15,PHX,free throw,,,,,,,1,,2,Josh Jackson,1,,,made,,Free Throw 1 of 2,,,,,,Jackson Free Throw 1 of 2 (1 PTS)
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,4,4,00:10:59,00:01:01,00:00:00,16,PHX,free throw,,,,,,,2,,2,Josh Jackson,1,,,made,,Free Throw 2 of 2,,,,,,Jackson Free Throw 2 of 2 (2 PTS)
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,4,4,00:10:46,00:01:14,00:00:13,17,ATL,turnover,,,,,,,,,,Trae Young,,,bad pass ,,Josh Jackson,bad pass ,,,,,,"Young Bad Pass Turnover (P1.T1), Jackson STEAL (1 STL)"
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,4,6,00:10:44,00:01:16,00:00:02,19,PHX,shot,,,,,,,,,,Josh Jackson,2,,,made,,Running Dunk,1,9,0,25.9,89.0,Jackson 1' Running Dunk (4 PTS)
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,4,6,00:10:30,00:01:30,00:00:14,20,ATL,turnover,,,,,,,,,,Kevin Huerter,,,traveling ,,,traveling ,,,,,,Huerter Traveling Turnover (P1.T2)
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,4,6,00:10:14,00:01:46,00:00:16,21,PHX,miss,,,,Dewayne Dedmon,,,,,,Deandre Ayton,0,,,missed,,Layup,1,11,-3,26.1,89.3,"Dedmon BLOCK (1 BLK), MISS Ayton 1' Layup"
"=""0021800784""",2018-2019 Regular Season,2019-02-02,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Mikal Bridges,Josh Jackson,Deandre Ayton,Devin Booker,Elie Okobo,1,4,6,00:10:14,00:01:46,00:00:00,23,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,SUNS Rebound
