game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800787""",2018-2019 Regular Season,2019-02-03,Bruno Caboclo,Jaren Jackson Jr.,Marc Gasol,Mike Conley,Justin Holiday,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800787""",2018-2019 Regular Season,2019-02-03,Bruno Caboclo,Jaren Jackson Jr.,Marc Gasol,Mike Conley,Justin Holiday,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Marc Gasol,DeAndre Jordan,,,,,,,DeAndre Jordan,,Jaren Jackson Jr.,,,,jump ball,,,,,,Jump Ball Jordan vs. Gasol: Tip to Jackson Jr.
"=""0021800787""",2018-2019 Regular Season,2019-02-03,Bruno Caboclo,Jaren Jackson Jr.,Marc Gasol,Mike Conley,Justin Holiday,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,0,00:11:40,00:00:20,00:00:20,7,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Jump Shot,19,-95,161,34.5,21.1,MISS Gasol 19' Jump Shot
"=""0021800787""",2018-2019 Regular Season,2019-02-03,Bruno Caboclo,Jaren Jackson Jr.,Marc Gasol,Mike Conley,Justin Holiday,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,0,00:11:36,00:00:24,00:00:04,8,NYK,rebound,,,,,,,,,,Kevin Knox,,,,,,rebound defensive,,,,,,Knox REBOUND (Off:0 Def:1)
"=""0021800787""",2018-2019 Regular Season,2019-02-03,Bruno Caboclo,Jaren Jackson Jr.,Marc Gasol,Mike Conley,Justin Holiday,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,2,00:11:25,00:00:35,00:00:11,9,NYK,shot,DeAndre Jordan,,,,,,,,,Dennis Smith Jr.,2,,,made,,Reverse Layup,1,11,2,26.1,88.8,Smith Jr. 1' Reverse Layup (2 PTS) (Jordan 1 AST)
"=""0021800787""",2018-2019 Regular Season,2019-02-03,Bruno Caboclo,Jaren Jackson Jr.,Marc Gasol,Mike Conley,Justin Holiday,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,2,00:11:07,00:00:53,00:00:18,11,MEM,miss,,,,DeAndre Jordan,,,,,,Bruno Caboclo,0,,,missed,,Layup,3,19,26,23.1,7.6,"MISS Caboclo 3' Layup, Jordan BLOCK (1 BLK)"
"=""0021800787""",2018-2019 Regular Season,2019-02-03,Bruno Caboclo,Jaren Jackson Jr.,Marc Gasol,Mike Conley,Justin Holiday,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,2,00:11:04,00:00:56,00:00:03,13,NYK,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021800787""",2018-2019 Regular Season,2019-02-03,Bruno Caboclo,Jaren Jackson Jr.,Marc Gasol,Mike Conley,Justin Holiday,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,2,00:11:03,00:00:57,00:00:01,14,NYK,turnover,,,,,,,,,,Kevin Knox,,,lost ball ,,Bruno Caboclo,lost ball ,,,,,,"Caboclo STEAL (1 STL), Knox Lost Ball Turnover (P1.T1)"
"=""0021800787""",2018-2019 Regular Season,2019-02-03,Bruno Caboclo,Jaren Jackson Jr.,Marc Gasol,Mike Conley,Justin Holiday,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,2,00:11:02,00:00:58,00:00:01,16,MEM,turnover,,,,,,,,,,Justin Holiday,,,step out of bounds turnover,,,step out of bounds turnover,,,,,,Holiday Step Out of Bounds Turnover (P1.T1)
"=""0021800787""",2018-2019 Regular Season,2019-02-03,Bruno Caboclo,Jaren Jackson Jr.,Marc Gasol,Mike Conley,Justin Holiday,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,2,00:10:52,00:01:08,00:00:10,17,NYK,miss,,,,,,,,,,Kevin Knox,0,,,missed,,unknown,1,9,2,25.9,88.8,MISS Knox 1' Driving Layup
