game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Mason Plumlee,Andre Drummond,,,,,,,Andre Drummond,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Drummond vs. Plumlee: Tip to Griffin
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,0,2,00:11:47,00:00:13,00:00:13,7,DET,shot,Andre Drummond,,,,,,,,,Reggie Bullock,2,,,made,,unknown,2,22,4,27.2,88.6,Bullock 2' Cutting Layup Shot (2 PTS) (Drummond 1 AST)
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,2,2,00:11:24,00:00:36,00:00:23,9,DEN,shot,,,,,,,,,,Nikola Jokic,2,,,made,,Reverse Layup,2,-19,-4,26.9,4.6,Jokic 2' Reverse Layup (2 PTS)
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,2,4,00:11:02,00:00:58,00:00:22,10,DET,shot,Reggie Bullock,,,,,,,,,Blake Griffin,2,,,made,,unknown,2,-23,7,22.7,88.3,Griffin 2' Driving Layup (2 PTS) (Bullock 1 AST)
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,4,4,00:10:46,00:01:14,00:00:16,12,DEN,shot,,,,,,,,,,Monte Morris,2,,,made,,Pullup Jump Shot,16,-161,1,41.1,5.1,Morris 16' Pullup Jump Shot (2 PTS)
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,4,4,00:10:32,00:01:28,00:00:14,13,DET,turnover,,,,,,,,,,Reggie Bullock,,,bad pass ,,Nikola Jokic,bad pass ,,,,,,"Jokic STEAL (1 STL), Bullock Bad Pass Turnover (P1.T1)"
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,6,4,00:10:28,00:01:32,00:00:04,15,DEN,shot,Will Barton,,,,,,,,,Monte Morris,2,,,made,,unknown,4,-36,22,28.6,7.2,Morris 4' Driving Layup (4 PTS) (Barton 1 AST)
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,6,7,00:10:08,00:01:52,00:00:20,16,DET,shot,Bruce Brown,,,,,,,,,Reggie Bullock,3,,,made,,Jump Shot,27,-196,179,5.4,71.1,Bullock 27' 3PT Jump Shot (5 PTS) (Brown 1 AST)
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,9,7,00:09:56,00:02:04,00:00:12,18,DEN,shot,Nikola Jokic,,,,,,,,,Malik Beasley,3,,,made,,Jump Shot,24,-185,158,43.5,20.8,Beasley 24' 3PT Jump Shot (3 PTS) (Jokic 1 AST)
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,9,7,00:09:30,00:02:30,00:00:26,20,DEN,foul,,,,,,,,Blake Griffin,,Nikola Jokic,,,s.foul,,,s.foul,,,,,,Jokic S.FOUL (P1.T1) (J.DeRosa)
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,9,8,00:09:30,00:02:30,00:00:00,22,DET,free throw,,,,,,,1,,2,Blake Griffin,1,,,made,,Free Throw 1 of 2,,,,,,Griffin Free Throw 1 of 2 (3 PTS)
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,9,8,00:09:30,00:02:30,00:00:00,23,DET,free throw,,,,,,,2,,2,Blake Griffin,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Griffin Free Throw 2 of 2
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,9,8,00:09:27,00:02:33,00:00:03,24,DEN,rebound,,,,,,,,,,Will Barton,,,,,,rebound defensive,,,,,,Barton REBOUND (Off:0 Def:1)
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,9,8,00:09:20,00:02:40,00:00:07,25,DEN,miss,,,,,,,,,,Will Barton,0,,,missed,,unknown,4,-5,40,25.5,9.0,MISS Barton 4' Driving Layup
"=""0021800790""",2018-2019 Regular Season,2019-02-04,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Monte Morris,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,9,8,00:09:17,00:02:43,00:00:03,26,DET,rebound,,,,,,,,,,Reggie Bullock,,,,,,rebound defensive,,,,,,Bullock REBOUND (Off:0 Def:1)
