game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800791""",2018-2019 Regular Season,2019-02-04,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Trevor Ariza,Otto Porter Jr.,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800791""",2018-2019 Regular Season,2019-02-04,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Trevor Ariza,Otto Porter Jr.,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,Dewayne Dedmon,Thomas Bryant,,,,,,,Thomas Bryant,,Trevor Ariza,,,,jump ball,,,,,,Jump Ball Bryant vs. Dedmon: Tip to Ariza
"=""0021800791""",2018-2019 Regular Season,2019-02-04,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Trevor Ariza,Otto Porter Jr.,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,2,00:11:54,00:00:06,00:00:06,7,WAS,shot,,,,,,,,,,Trevor Ariza,2,,,made,,Layup,1,-7,6,24.3,88.4,Ariza 1' Layup (2 PTS)
"=""0021800791""",2018-2019 Regular Season,2019-02-04,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Trevor Ariza,Otto Porter Jr.,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,2,00:11:38,00:00:22,00:00:16,8,ATL,miss,,,,Thomas Bryant,,,,,,Dewayne Dedmon,0,,,missed,,unknown,4,-4,35,25.4,8.5,"MISS Dedmon 4' Driving Dunk, Bryant BLOCK (1 BLK)"
"=""0021800791""",2018-2019 Regular Season,2019-02-04,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Trevor Ariza,Otto Porter Jr.,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,2,00:11:37,00:00:23,00:00:01,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,WIZARDS Rebound
"=""0021800791""",2018-2019 Regular Season,2019-02-04,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Trevor Ariza,Otto Porter Jr.,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,4,00:11:14,00:00:46,00:00:23,12,WAS,shot,Bradley Beal,,,,,,,,,Tomas Satoransky,2,,,made,,unknown,5,-7,54,24.3,83.6,Satoransky 5' Driving Floating Jump Shot (2 PTS) (Beal 1 AST)
"=""0021800791""",2018-2019 Regular Season,2019-02-04,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Trevor Ariza,Otto Porter Jr.,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,4,00:11:00,00:01:00,00:00:14,14,WAS,foul,,,,,,,,Kevin Huerter,,Tomas Satoransky,,,p.foul,,,p.foul,,,,,,Satoransky P.FOUL (P1.T1) (E.Lewis)
"=""0021800791""",2018-2019 Regular Season,2019-02-04,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Trevor Ariza,Otto Porter Jr.,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,4,00:10:56,00:01:04,00:00:04,16,WAS,violation,,,,,,,,,,Thomas Bryant,,,,,,violation:kicked ball,,,,,,Bryant Violation:Kicked Ball (E.Lewis)
"=""0021800791""",2018-2019 Regular Season,2019-02-04,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Trevor Ariza,Otto Porter Jr.,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,4,00:10:45,00:01:15,00:00:11,17,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,unknown,5,-8,53,25.8,10.3,MISS Young 5' Driving Floating Jump Shot
"=""0021800791""",2018-2019 Regular Season,2019-02-04,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Trevor Ariza,Otto Porter Jr.,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,4,00:10:43,00:01:17,00:00:02,18,WAS,rebound,,,,,,,,,,Thomas Bryant,,,,,,rebound defensive,,,,,,Bryant REBOUND (Off:0 Def:1)
