game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Brook Lopez,Jarrett Allen,,,,,,,Jarrett Allen,,Rodions Kurucs,,,,jump ball,,,,,,Jump Ball Allen vs. Lopez: Tip to Kurucs
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,0,2,00:11:55,00:00:05,00:00:05,7,BKN,shot,,,,,,,,,,Rodions Kurucs,2,,,made,,unknown,1,-4,4,24.6,88.6,Kurucs 1' Driving Layup (2 PTS)
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,2,00:11:35,00:00:25,00:00:20,8,MIL,shot,Eric Bledsoe,,,,,,,,,Giannis Antetokounmpo,2,,,made,,unknown,1,-2,11,25.2,6.1,Antetokounmpo 1' Cutting Dunk Shot (2 PTS) (Bledsoe 1 AST)
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,2,00:11:15,00:00:45,00:00:20,10,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Pullup Jump Shot,16,101,119,35.1,77.1,MISS Russell 16' Pullup Jump Shot
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,2,00:11:10,00:00:50,00:00:05,11,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound offensive,,,,,,Allen REBOUND (Off:1 Def:0)
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,4,00:11:10,00:00:50,00:00:00,12,BKN,shot,,,,,,,,,,Jarrett Allen,2,,,made,,unknown,1,0,-6,25.0,89.6,Allen 1' Tip Dunk Shot (2 PTS)
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,4,00:10:58,00:01:02,00:00:12,13,MIL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,25,-171,181,42.1,23.1,MISS Lopez 25' 3PT Jump Shot
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,4,00:10:55,00:01:05,00:00:03,14,BKN,rebound,,,,,,,,,,Rodions Kurucs,,,,,,rebound defensive,,,,,,Kurucs REBOUND (Off:0 Def:1)
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,4,00:10:54,00:01:06,00:00:01,15,BKN,turnover,,,,,,,,,,Rodions Kurucs,,,lost ball ,,Eric Bledsoe,lost ball ,,,,,,"Bledsoe STEAL (1 STL), Kurucs Lost Ball Turnover (P1.T1)"
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,4,00:10:48,00:01:12,00:00:06,17,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,Pullup Jump Shot,24,154,189,9.6,23.9,MISS Middleton 24' 3PT Pullup Jump Shot
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,4,00:10:47,00:01:13,00:00:01,18,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound defensive,,,,,,Allen REBOUND (Off:1 Def:1)
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,4,00:10:34,00:01:26,00:00:13,19,MIL,foul,,,,,,,,Shabazz Napier,,Eric Bledsoe,,,s.foul,,,s.foul,,,,,,Bledsoe S.FOUL (P1.T1) (N.Buchert)
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,5,00:10:34,00:01:26,00:00:00,21,BKN,free throw,,,,,,,1,,3,Shabazz Napier,1,,,made,,Free Throw 1 of 3,,,,,,Napier Free Throw 1 of 3 (1 PTS)
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,6,00:10:34,00:01:26,00:00:00,22,BKN,free throw,,,,,,,2,,3,Shabazz Napier,1,,,made,,Free Throw 2 of 3,,,,,,Napier Free Throw 2 of 3 (2 PTS)
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,7,00:10:34,00:01:26,00:00:00,23,BKN,free throw,,,,,,,3,,3,Shabazz Napier,1,,,made,,Free Throw 3 of 3,,,,,,Napier Free Throw 3 of 3 (3 PTS)
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,7,00:10:25,00:01:35,00:00:09,24,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Pullup Jump Shot,11,-3,106,25.3,15.6,MISS Bledsoe 11' Pullup Jump Shot
"=""0021800792""",2018-2019 Regular Season,2019-02-04,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Rodions Kurucs,Treveon Graham,Jarrett Allen,Shabazz Napier,D'Angelo Russell,1,2,7,00:10:22,00:01:38,00:00:03,25,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound offensive,,,,,,Antetokounmpo REBOUND (Off:1 Def:0)
